seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.24018187585915196,20266,0.6963386953518208,0.06978135937755711,0.061636615432767716,0.7539680888395922,4864,,,,,,,
0,expgrad_dp,0.24018187585915196,20266,0.6948583834994572,0.018926714714697757,0.0725162959769699,0.9194819829774504,4524,0.050854644662859355,0.9549847860009149,0.6801346801346801,2.511111111111111,404.0,190.0,-6.990131578947368
0,expgrad_dp_floor,0.24018187585915196,20266,0.6955491956972268,0.017985409551796505,0.07542595925298873,0.9284163741359089,4864,0.05179594982576061,0.6250863515247217,0.4798890429958391,1.0,346.0,375.0,0.0
1,baseline,0.2358464629375066,20266,0.6993980065133721,0.07130717513034399,0.05606222825661278,0.7477691263313065,4826,,,,,,,
1,expgrad_dp,0.2358464629375066,20266,0.7002368498963781,0.019110857368361683,0.06877248240843054,0.9186530564230745,4519,0.0521963177619823,0.9153084451903792,0.6584967320261438,2.2329317269076303,403.0,209.0,-6.361375880646498
1,expgrad_dp_floor,0.2358464629375066,20266,0.7003848810816146,0.0215642226491225,0.06245873600367685,0.9143965706959076,4832,0.049742952481221486,0.619134505972641,0.4682651622002821,0.9873684210526316,332.0,377.0,0.12432656444260257
2,baseline,0.23605794649466005,20266,0.6967827889075299,0.06917422056042699,0.0591844980270614,0.7514961097786647,4765,,,,,,,
2,expgrad_dp,0.23605794649466005,20266,0.6992006315997237,0.0208736357506209,0.0652058318824712,0.91095009296282,4486,0.04830058480980609,0.910111890681054,0.6642335766423357,2.303738317757009,364.0,184.0,-5.855194123819517
2,expgrad_dp_floor,0.23605794649466005,20266,0.6994473502417843,0.018747081083358902,0.07006013589095456,0.9242338712386378,4777,0.05042713947706809,0.6133441677108905,0.4943342776203966,0.9745222929936306,349.0,357.0,0.2518363064008394
3,baseline,0.23487363857460083,20266,0.6988058817724268,0.0742543303029656,0.05652820811326706,0.7375886503991012,4794,,,,,,,
3,expgrad_dp,0.23487363857460083,20266,0.6990526004144874,0.024953656808794106,0.05642389467147191,0.8953654059419329,4517,0.0493006734941715,0.9023282592194065,0.647887323943662,2.2043478260869565,368.0,200.0,-5.778055903212349
3,expgrad_dp_floor,0.23487363857460083,20266,0.6991512878713115,0.025063951235068993,0.05975823626465798,0.9006075670751282,4793,0.04919037906789661,0.6260894689909233,0.47295208655332305,1.0024213075060533,306.0,341.0,-0.020859407592824362
4,baseline,0.23322406682880406,20266,0.701421099378269,0.06243595422091447,0.058582061946906766,0.7709375276820337,4733,,,,,,,
4,expgrad_dp,0.23322406682880406,20266,0.7004835685384387,0.009449227702136576,0.09050991749674059,0.9574420675276623,4380,0.052986726518777894,0.9538165312104786,0.6768,2.4647302904564317,423.0,202.0,-7.4582717092753015
4,expgrad_dp_floor,0.23322406682880406,20266,0.7011743807362084,0.009927807435739372,0.0900953767407826,0.9578359525451382,4646,0.0525081467851751,0.7068432718254462,0.5323741007194245,1.2106537530266344,370.0,325.0,-1.8381576167335727
