seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.14647351168446654,20266,0.6868646994966939,0.03374369453746698,0.02964741989601427,0.8027810837725584,3040,,,,,,,
0,expgrad_dp,0.14647351168446654,20266,0.6864206059409849,0.017608916577102646,0.050657515502376904,0.8884132208900535,2975,0.016134777960364333,0.8238707633503246,0.5888324873096447,1.6770833333333333,116.0,81.0,-2.138157894736842
0,expgrad_dp_floor,0.14647351168446654,20266,0.6907628540412514,0.01842274315952222,0.07041763759769848,0.9178062228267471,4309,0.015320951377944758,-3.4619438733162258,0.13707451701931922,0.1483221476510067,149.0,938.0,41.74342105263158
1,baseline,0.14296288463571957,20266,0.6876048554228757,0.03561196741900985,0.024768743304563988,0.7920217306305636,3019,,,,,,,
1,expgrad_dp,0.14296288463571957,20266,0.6867660120398698,0.02216155382322288,0.044492412615596444,0.8607249909438813,2944,0.01345041359578697,0.9002287926514453,0.6258064516129033,2.1904761904761907,97.0,58.0,-2.4842663133487908
1,expgrad_dp_floor,0.14296288463571957,20266,0.6933780716470936,0.01834845857513398,0.07088097300068208,0.9225060654508794,4566,0.01726350884387587,-3.7966536634333115,0.08955223880597014,0.09213615023474178,108.0,1098.0,51.2421331566744
2,baseline,0.14630432483874378,20266,0.6849896378170335,0.034741746889169395,0.024947913831260514,0.7908337615975364,2926,,,,,,,
2,expgrad_dp,0.14630432483874378,20266,0.6854830751011547,0.018002011896671,0.04655241390905157,0.8826935794246087,2882,0.016739734992498395,0.7547851819486314,0.5631578947368421,1.4680851063829787,107.0,83.0,-1.5037593984962405
2,expgrad_dp_floor,0.14630432483874378,20266,0.6954505082404027,0.014979325405377747,0.07528366697818295,0.9359522147270343,4550,0.019762421483791648,-3.429791994583009,0.07983870967741935,0.07464387464387465,99.0,1141.0,55.50239234449761
3,baseline,0.14552183567727608,20266,0.6839040757919669,0.03684756420951685,0.027148987768726714,0.780932869433561,2942,,,,,,,
3,expgrad_dp,0.14552183567727608,20266,0.6844468568045001,0.026187445834590095,0.03400986897690694,0.835424141065992,2893,0.010660118374926753,0.8518983443334252,0.616,1.875,77.0,48.0,-1.6655336505778382
3,expgrad_dp_floor,0.14552183567727608,20266,0.6942662587585118,0.021874888053650787,0.06045198744139374,0.9081230517238039,4548,0.01497267615586606,-4.6676233153984805,0.09446254071661238,0.0869812393405344,116.0,1112.0,54.58871515975527
4,baseline,0.14342814846145713,20266,0.6855817625579789,0.024633765570568372,0.045226408688940345,0.841919467225356,2846,,,,,,,
4,expgrad_dp,0.14342814846145713,20266,0.6850389815454456,0.01134195735453955,0.06517639631317662,0.9221533947788695,2809,0.013291808216028822,0.7624429791238713,0.5340909090909091,1.3737373737373737,94.0,82.0,-1.3000702740688685
4,expgrad_dp_floor,0.14342814846145713,20266,0.7015691305635053,0.005559167390950026,0.0979743992380463,0.9762036316414432,4664,0.019074598179618346,-4.077864526312692,0.031981279251170044,0.029364655632674853,41.0,1241.0,63.87912860154603
