seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.05182291666666667,6584,0.7674665856622114,0.05171996871943813,0.0759343842472224,0.2817834303333085,311,,,,,,,
0,expgrad_dp,0.05182291666666667,6584,0.7591130012150669,0.015218400069512361,0.005156776575191081,0.7000051020780035,286,0.03650156864992577,0.5830653207793721,0.5870967741935483,1.3048780487804879,91.0,64.0,-8.038585209003216
0,expgrad_dp_floor,0.05182291666666667,6584,0.7597205346294046,0.01184002543856568,0.016856783703807804,0.8038102065010614,360,0.03987994328087245,0.29242287277194445,0.40718562874251496,0.6141732283464567,68.0,99.0,15.755627009646302
1,baseline,0.052473958333333334,6584,0.7695929526123937,0.06393935416362395,0.09475245746765668,0.24375177661644765,355,,,,,,,
1,expgrad_dp,0.052473958333333334,6584,0.7609356014580801,0.022510542399766326,0.018429250696835542,0.704171799114182,430,0.041428811763857626,0.20408044874226305,0.28104575163398693,0.3951612903225806,43.0,110.0,21.12676056338028
1,expgrad_dp_floor,0.052473958333333334,6584,0.7623025516403402,0.02348722802827083,0.01739551370638434,0.690149261011658,425,0.04045212613535312,0.2162149810337734,0.2866666666666667,0.4166666666666667,43.0,107.0,19.718309859154928
2,baseline,0.05319010416666667,6584,0.7706561360874848,0.055940071472016656,0.09057534802738934,0.2840505778021749,338,,,,,,,
2,expgrad_dp,0.05319010416666667,6584,0.7645808019441069,0.02096906884866457,0.006603881826064549,0.676018440761624,360,0.034971002623352086,0.38349139890675715,0.42424242424242425,0.7441860465116279,56.0,76.0,6.508875739644971
2,expgrad_dp_floor,0.05319010416666667,6584,0.7657958687727825,0.022339349726664827,0.0056574457951732715,0.6485139010896314,348,0.03360072174535183,0.43383768913342513,0.4728682170542636,0.8734177215189873,61.0,68.0,2.9585798816568047
3,baseline,0.051041666666666666,6584,0.7724787363304981,0.05345463486599459,0.07562207699935196,0.31071655041217505,342,,,,,,,
3,expgrad_dp,0.051041666666666666,6584,0.7623025516403402,0.018115549508144597,0.009526476998926343,0.7201065999417299,369,0.03533908535784999,0.3629971802692084,0.417910447761194,0.7,56.0,78.0,7.894736842105263
3,expgrad_dp_floor,0.051041666666666666,6584,0.7627582017010935,0.015972683121622595,0.010803958191089369,0.7498342323873721,370,0.037481951744371994,0.36557925265359276,0.4225352112676056,0.7052631578947368,60.0,82.0,8.187134502923977
4,baseline,0.05084635416666667,6584,0.7705042527339003,0.0516434311744446,0.07868112649224306,0.29145212428662015,317,,,,,,,
4,expgrad_dp,0.05084635416666667,6584,0.7621506682867558,0.02135545403957398,0.024859656930488208,0.5975318277157211,282,0.030287977134870622,0.6545525572083428,0.6451612903225806,1.625,80.0,44.0,-11.041009463722398
4,expgrad_dp_floor,0.05084635416666667,6584,0.7650364520048603,0.018472724718114446,0.01070033704232069,0.6953776645041705,341,0.033170706456330155,0.36914794007490637,0.47368421052631576,0.7362637362637363,63.0,70.0,7.570977917981073
