seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,,6681,0.5410866636731029,0.07641792872677289,0.015771887971963494,0.9038710975937023,5067,,,,,,,
0,postprocess_dp,,6681,0.7736865738661877,0.005541469980905878,0.14342084277010425,1.0217357770792113,1721,0.08195939870767877,6.588698112773475,1.0,,1883.0,0.0,-66.03512926781133
1,baseline,,6681,0.5279149827870079,0.07152965868933703,0.014139738641317567,0.9113946998757662,5165,,,,,,,
1,postprocess_dp,,6681,0.7671007334231402,0.010139189500531415,0.08691611640988012,0.9601854124005034,1669,0.06139046918880561,9.001788704688217,1.0,,1927.0,0.0,-67.68635043562439
2,baseline,,6681,0.52896273013022,0.06845400727166417,0.011788143038334753,0.9147807485339904,5148,,,,,,,
2,postprocess_dp,,6681,0.7720401137554258,0.007243650672082158,0.14114963794698399,1.027514825592103,1782,0.07569765794374633,7.133717875269398,1.0,,1883.0,0.0,-65.38461538461539
3,baseline,,6681,0.5376440652596917,0.06316564665716962,0.0034472125639308793,0.9203116462034912,5094,,,,,,,
3,postprocess_dp,,6681,0.7705433318365514,0.006112425093005802,0.1553159590417557,1.0243588871992129,1696,0.06927807175017542,7.819594262704076,1.0,,1889.0,0.0,-66.70592854338437
4,baseline,,6681,0.5412363418649903,0.07315812430785495,0.014808960672974547,0.9077387416052477,5064,,,,,,,
4,postprocess_dp,,6681,0.7711420446041012,0.01089025720185488,0.15375397407679137,1.0426677829919866,1740,0.08404838150970984,6.397642526816417,1.0,,1875.0,0.0,-65.63981042654028
