seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.2994803361775839,6681,0.7850621164496333,0.12864995109305716,0.0656650398205153,0.6307799345995965,1917,,,,,,,
0,expgrad_dp,0.2994803361775839,6681,0.7775782068552611,0.009360646997462085,0.08755409529277913,0.9669963841454496,1865,0.11928930409559507,0.5433191176758381,0.5305719921104537,1.1850533807829182,269.0,238.0,-2.712571726656234
0,expgrad_dp_floor,0.2994803361775839,6681,0.7748839994012873,0.009197593925662495,0.08441204929450175,0.9685259960561481,1923,0.11945235716739466,0.4705539244647091,0.49500998003992014,0.980327868852459,248.0,253.0,0.3129890453834116
1,baseline,0.30153332905626484,6681,0.7840143691064212,0.1396238897172232,0.11139642944485206,0.6142087928336313,1972,,,,,,,
1,expgrad_dp,0.30153332905626484,6681,0.7715910791797636,0.02163694509654701,0.07121165557382292,0.9278699545395226,1935,0.11798694462067619,0.5250103304448674,0.5069033530571992,1.127147766323024,257.0,250.0,-1.8762677484787018
1,expgrad_dp_floor,0.30153332905626484,6681,0.7696452626852268,0.025880814310026035,0.07348712861138225,0.9169766333955283,2000,0.11374307540719716,0.44122603924342313,0.46107784431137727,0.9141104294478528,231.0,270.0,1.4198782961460445
2,baseline,0.3013408609738885,6681,0.791049244125131,0.1292920174567348,0.06026029538422284,0.642756525458293,2005,,,,,,,
2,expgrad_dp,0.3013408609738885,6681,0.7780272414309235,0.012867904205961178,0.1076281008431954,0.9575894310338501,1986,0.11642411325077362,0.5024990919053481,0.4888888888888889,1.0652920962199313,242.0,253.0,-0.9476309226932669
2,expgrad_dp_floor,0.3013408609738885,6681,0.7736865738661877,0.012675939741474684,0.09068763490595122,0.9598537675944394,2069,0.11661607771526011,0.3959273457452171,0.4342629482071713,0.8123167155425219,218.0,284.0,3.1920199501246884
3,baseline,0.2965933149419388,6681,0.7891034276305943,0.12749502176345492,0.04528586770444565,0.643484249487436,1982,,,,,,,
3,expgrad_dp,0.2965933149419388,6681,0.7702439754527766,0.023828554363923338,0.0870064967516242,0.920563891905353,1928,0.10366646739953159,0.5560397130392533,0.5208333333333334,1.1935483870967742,250.0,230.0,-2.7245206861755804
3,expgrad_dp_floor,0.2965933149419388,6681,0.7709923664122137,0.030371866952284887,0.08670133018597082,0.9011141922851378,1955,0.09712315481117004,0.5196823169305551,0.5064655172413793,1.09375,235.0,229.0,-1.3622603430877902
4,baseline,0.29672162699685634,6681,0.7911989223170184,0.12499553310004294,0.06106840196922814,0.643614534816149,1944,,,,,,,
4,expgrad_dp,0.29672162699685634,6681,0.77413560844185,0.01939792832811882,0.08550724637681162,0.9339447499217282,1900,0.10559760477192412,0.5404394727958978,0.5104602510460251,1.157706093189964,244.0,234.0,-2.263374485596708
4,expgrad_dp_floor,0.29672162699685634,6681,0.770393653644664,0.01380716532055104,0.08923304305294166,0.9544937755455941,1983,0.1111883677794919,0.4255716036881095,0.45010183299389,0.8803680981595092,221.0,270.0,2.006172839506173
