seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.755629691409508,6681,0.5433318365514145,0.15201754960058977,0.1240298034628553,0.8083306099908343,5057,,,,,,,
0,expgrad_dp,0.755629691409508,6681,0.3333333333333333,0.007693818001306418,0.007328072153325871,0.9921140689434857,6506,0.14432373159928336,-1.2646203971556196,0.024390243902439025,0.008891928864569083,13.0,520.0,28.653351789598577
0,expgrad_dp_floor,0.755629691409508,6681,0.3337823679089957,0.008283208963978383,0.006152974488318308,0.99151508681291,6509,0.1437343406366114,-1.27390660384815,0.018867924528301886,0.006839945280437756,10.0,520.0,28.71267549930789
1,baseline,0.7553730672996728,6681,0.547223469540488,0.15853777202066144,0.133318430664631,0.7992144166247408,5023,,,,,,,
1,expgrad_dp,0.7553730672996728,6681,0.3382727136656189,0.011110507409680448,0.008065483638463045,0.9885637042031803,6473,0.147427264610981,-1.2340006734266191,0.048824593128390596,0.0196078431372549,27.0,526.0,28.86721083018117
1,expgrad_dp_floor,0.7553730672996728,6681,0.33812303547373146,0.011306971063904436,0.00836705179286601,0.9883638328517441,6474,0.147230800956757,-1.2369817068312337,0.048824593128390596,0.019594594594594596,27.0,526.0,28.88711925144336
2,baseline,0.7522294219541926,6681,0.5478221823080377,0.13017316215104857,0.09453610991608574,0.8333966820847781,5013,,,,,,,
2,expgrad_dp,0.7522294219541926,6681,0.331537195030684,0.005808952370838338,0.0018740808849373458,0.9940651209218051,6530,0.12436420978021023,-1.587643043316369,0.013461538461538462,0.005245901639344262,7.0,513.0,30.26132056652703
2,expgrad_dp_floor,0.7522294219541926,6681,0.33168687322257145,0.006005416025062327,0.0018740808849373458,0.9938656296272191,6531,0.12416774612598624,-1.5917373256399074,0.011560693641618497,0.0045901639344262295,6.0,513.0,30.281268701376423
3,baseline,0.7504972092128055,6681,0.5449782966621763,0.15830216381685291,0.13387540619144955,0.7996125307565826,5026,,,,,,,
3,expgrad_dp,0.7504972092128055,6681,0.334231402484658,0.02010795004809718,0.020823667687358882,0.9794396412726367,6502,0.13819421376875574,-1.3605180127653527,0.017045454545454544,0.006060606060606061,9.0,519.0,29.367290091524076
3,expgrad_dp_floor,0.7504972092128055,6681,0.33408172429277055,0.01983319729470412,0.019872802442163162,0.9797409242965996,6509,0.1384689665221488,-1.3649125873502244,0.009505703422053232,0.003360215053763441,5.0,521.0,29.50656585754079
4,baseline,0.7569128119586835,6681,0.544529262086514,0.15091705677441503,0.12071255376442347,0.8091508524268888,5043,,,,,,,
4,expgrad_dp,0.7569128119586835,6681,0.33991917377638076,0.01802439804450129,0.016612492185471672,0.9814470806781574,6462,0.13289265872991374,-1.360094407121419,0.038461538461538464,0.014583333333333334,20.0,500.0,28.13801308744795
4,expgrad_dp_floor,0.7569128119586835,6681,0.34006885196826825,0.0178279343902773,0.01631092403106882,0.9816455934371943,6461,0.13308912238413773,-1.356610480236708,0.038461538461538464,0.014593467685892982,20.0,500.0,28.1181836208606
