seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.03990504907936101,6681,0.7202514593623709,0.028177037091004286,0.0476992226903222,0.3844587176257004,261,,,,,,,
0,expgrad_dp,0.03990504907936101,6681,0.7076784912438258,0.012146788356410507,0.03361419331869697,0.6506940523495509,213,0.01603024873459378,0.6863252603685216,0.8181818181818182,3.2857142857142856,63.0,14.0,-18.39080459770115
0,expgrad_dp_floor,0.03990504907936101,6681,0.7019907199521029,0.007434624280240401,0.03981486975612651,0.8256118083574947,273,0.020742412810763885,0.15154545887507728,0.6534653465346535,0.8588235294117647,66.0,35.0,4.597701149425287
1,baseline,0.04028998524411368,6681,0.7214488848974704,0.030024239984490362,0.052301519017385625,0.3935580098370796,283,,,,,,,
1,expgrad_dp,0.04028998524411368,6681,0.7096243077383625,0.01607532053458859,0.029290037382068472,0.5479371186681993,212,0.013948919449901773,1.0,0.8764044943820225,4.944444444444445,78.0,11.0,-25.08833922261484
1,expgrad_dp_floor,0.04028998524411368,6681,0.705732674749289,0.01713815062378136,0.02346021479855219,0.6173983040568108,272,0.012886089360709,0.36590835042260017,0.7692307692307693,1.1375,80.0,24.0,-3.8869257950530036
2,baseline,0.040931545518701484,6681,0.7190540338272714,0.026290689647933678,0.04037115053699637,0.3833197681659797,243,,,,,,,
2,expgrad_dp,0.040931545518701484,6681,0.7076784912438258,0.01140007828909917,0.031359401886904406,0.6586682441675602,205,0.014890611358834509,0.6201083035484752,0.7916666666666666,2.52,57.0,15.0,-15.637860082304528
2,expgrad_dp_floor,0.040931545518701484,6681,0.7021403981439904,0.011441445557587557,0.026000563697857942,0.7291304284273458,264,0.01484924409034612,0.026461098360110756,0.6881720430107527,0.7692307692307693,64.0,29.0,8.641975308641975
3,baseline,0.038108680310515175,6681,0.7230953450082322,0.028924488064616907,0.03810894202812555,0.4248998271527341,290,,,,,,,
3,expgrad_dp,0.038108680310515175,6681,0.7118694806166741,0.01352277484227957,0.02242553254613422,0.655845380263985,241,0.015401713222337337,0.7143338197328544,0.8441558441558441,3.3333333333333335,65.0,12.0,-16.896551724137932
3,expgrad_dp_floor,0.038108680310515175,6681,0.7105223768896872,0.013013154791379312,0.02862620898356376,0.7029732830129117,272,0.015911333273237595,0.40746431980629066,0.7674418604651163,1.3396226415094339,66.0,20.0,-6.206896551724138
4,baseline,0.0411881696285366,6681,0.717257895524622,0.0282944707397579,0.050239571589627954,0.35705867827960847,249,,,,,,,
4,expgrad_dp,0.0411881696285366,6681,0.7076784912438258,0.014307147646572874,0.030795704028956275,0.5766082469706051,203,0.013987323093185025,0.7303835016597217,0.8382352941176471,3.875,57.0,11.0,-18.473895582329316
4,expgrad_dp_floor,0.0411881696285366,6681,0.7052836401736267,0.012226559268182152,0.023274787871595565,0.6934325779554328,247,0.016067911471575748,0.2567686999023985,0.7241379310344828,1.0303030303030303,63.0,24.0,-0.8032128514056225
