seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,,6681,0.9202215237239935,0.030674987640828565,0.03337313093410654,0.3099117296543923,199,,,,,,,
0,expgrad_eo,,6681,0.920071845532106,0.021000804670500813,0.008111130062349564,0.4366938008766436,182,0.009674182970327752,0.7410947970226273,0.7555555555555555,1.85,34.0,11.0,-8.542713567839195
1,baseline,,6681,0.921418949259093,0.03821017648699284,0.07517956298444103,0.2514669358980673,219,,,,,,,
1,expgrad_eo,,6681,0.9229157311779673,0.029475254631254937,0.010302970357229869,0.32823390261969954,199,0.008734921855737904,0.8207842935704374,0.7567567567567568,2.6666666666666665,28.0,9.0,-9.132420091324201
2,baseline,,6681,0.9238138003292921,0.03430049424115585,0.05776337483654556,0.25246360363180964,197,,,,,,,
2,expgrad_eo,,6681,0.9241131567130669,0.02791242326135234,0.020713703640532904,0.30971191551535016,181,0.006388070979803512,0.852966393523269,0.7631578947368421,1.8421052631578947,29.0,9.0,-8.121827411167512
3,baseline,,6681,0.9247118694806167,0.030338196852106016,0.04445960543521518,0.2653521359493495,179,,,,,,,
3,expgrad_eo,,6681,0.9221673402185302,0.020037839805385028,0.03407432675725358,0.4128407781396841,164,0.010300357046720988,0.6960425383542539,0.7083333333333334,1.6521739130434783,34.0,14.0,-8.379888268156424
4,baseline,,6681,0.9230654093698548,0.031093304965450885,0.03369530198798493,0.2819711628177004,190,,,,,,,
4,expgrad_eo,,6681,0.9227660529860799,0.02822551029954896,0.010610406676591976,0.3019691176274664,180,0.0028677946659019238,1.0,0.75,2.0,15.0,5.0,-5.2631578947368425
