seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.10399692051068198,6681,0.867235443795839,0.09333800704252794,0.07511455419482083,0.40390177553608986,748,,,,,,,
0,expgrad_dp,0.10399692051068198,6681,0.8576560395150427,0.03960241268265581,0.017882453522119646,0.6317503652682112,592,0.05373559435987213,0.9126034497451038,0.7304964539007093,2.4054054054054053,206.0,76.0,-20.855614973262032
0,expgrad_dp_floor,0.10399692051068198,6681,0.8549618320610687,0.038387056746599174,0.04363183669183984,0.6992007485946262,730,0.054950950295928766,0.5271014599315376,0.5520833333333334,1.0962566844919786,159.0,129.0,-2.406417112299465
1,baseline,0.10194392763200102,6681,0.8705283640173627,0.07242680973196984,0.022577113159295947,0.4781977571583082,696,,,,,,,
1,expgrad_dp,0.10194392763200102,6681,0.8536147283340817,0.018372920691740083,0.08935227196028289,0.809892063940363,587,0.05405388904022976,0.779899140233612,0.6824817518248175,1.858267716535433,187.0,87.0,-15.660919540229886
1,expgrad_dp_floor,0.10194392763200102,6681,0.8524173027989822,0.016352445320206244,0.09523184569118737,0.8537923670985662,695,0.0560743644117636,0.4807414251105237,0.5392491467576792,1.0050251256281406,158.0,135.0,-0.14367816091954022
2,baseline,0.10669147366395072,6681,0.8687322257147133,0.09459556283747542,0.11485417307245227,0.36809439154353113,698,,,,,,,
2,expgrad_dp,0.10669147366395072,6681,0.856757970363718,0.03590839865183122,0.02861417547227829,0.6147305043109678,508,0.058687164185644194,0.9626560714291177,0.7628865979381443,3.021276595744681,222.0,69.0,-27.22063037249284
2,expgrad_dp_floor,0.10669147366395072,6681,0.8636431671905404,0.044596182367318715,0.055537223551292536,0.6521098704365987,714,0.0499993804701567,0.4301745300044713,0.5209125475285171,0.9148936170212766,137.0,126.0,2.292263610315186
3,baseline,0.10829537435042022,6681,0.8651399491094147,0.08338225224777102,0.06225298665846729,0.41380259357262605,684,,,,,,,
3,expgrad_dp,0.10829537435042022,6681,0.8477772788504715,0.027947081017803133,0.05199748018268674,0.7150541768740365,566,0.05543517122996788,0.7966790193842646,0.6819787985865724,1.9147286821705427,193.0,90.0,-17.251461988304094
3,expgrad_dp_floor,0.10829537435042022,6681,0.8510701990719952,0.026758032653352942,0.08300773193943439,0.7729799030115774,702,0.056624219594418074,0.4304916665477419,0.5170068027210885,0.9138755980861244,152.0,142.0,2.6315789473684212
4,baseline,0.11150317572335922,6681,0.8619967070797785,0.08227993806138158,0.044768004319686805,0.4545434524333886,745,,,,,,,
4,expgrad_dp,0.11150317572335922,6681,0.8482263134261339,0.022314118151344486,0.08428263950863563,0.7642141515341265,561,0.05996581991003709,0.9373469008846058,0.7467105263157895,2.7037037037037037,227.0,77.0,-24.697986577181208
4,expgrad_dp_floor,0.11150317572335922,6681,0.848974704385571,0.019396581524111653,0.12494094178172083,0.8423406065860668,760,0.06288335653726992,0.44236837521167616,0.5261437908496732,0.9282296650717703,161.0,145.0,2.0134228187919465
