seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.2865647324226093,6840,0.7845029239766081,0.1224014294422612,0.02472843109166574,0.6481952421631112,1976,,,,,,,
0,expgrad_dp,0.2865647324226093,6840,0.7646198830409356,0.006544562338599846,0.16241421102326692,1.0234320477664125,1932,0.12894599178086105,0.5321970954301752,0.5330948121645797,1.139240506329114,298.0,261.0,-2.2267206477732793
0,expgrad_dp_floor,0.2865647324226093,6840,0.7656432748538011,0.005463988770869177,0.16199319325244166,1.019156420037275,1969,0.12786541821313038,0.4903136052723017,0.5137614678899083,1.021671826625387,280.0,265.0,-0.354251012145749
1,baseline,0.2893219701717007,6840,0.7821637426900585,0.12403371786731773,0.03433932395487854,0.6460891257307235,1988,,,,,,,
1,expgrad_dp,0.2893219701717007,6840,0.7711988304093568,0.011386555740449722,0.14596457109034788,0.9603151635069562,1925,0.11264716212686801,0.5640743299159444,0.541501976284585,1.2241992882562278,274.0,232.0,-3.1690140845070425
1,expgrad_dp_floor,0.2893219701717007,6840,0.7687134502923977,0.013048377389055899,0.13769395002748064,0.9589659819408108,2132,0.11098534047826183,0.2926215422397461,0.3967611336032389,0.6200527704485488,196.0,298.0,7.2434607645875255
2,baseline,0.2849354555708735,6840,0.789327485380117,0.14142073980468178,0.055658901619244916,0.60413372359812,1977,,,,,,,
2,expgrad_dp,0.2849354555708735,6840,0.7785087719298246,0.03179718054447106,0.10896609309601313,0.8932760034995526,1933,0.10962355926021072,0.5409902888967323,0.5324165029469549,1.1471571906354514,271.0,238.0,-2.225594334850784
2,expgrad_dp_floor,0.2849354555708735,6840,0.7786549707602339,0.03439122481468754,0.10229322566552512,0.891268457974278,2050,0.10702951498999425,0.3825943198914174,0.45233265720081134,0.7902298850574713,223.0,270.0,3.6924633282751644
3,baseline,0.2896352926431884,6840,0.7986842105263158,0.14456102030524687,0.06843036119449253,0.6028777557014127,2013,,,,,,,
3,expgrad_dp,0.2896352926431884,6840,0.7830409356725146,0.033457803743425996,0.09703666906241626,0.8869522108249318,1914,0.11110321656182087,0.6125823553931371,0.5813008130081301,1.3944223107569722,286.0,206.0,-4.918032786885246
3,expgrad_dp_floor,0.2896352926431884,6840,0.7764619883040935,0.025150407571325473,0.10292915627334098,0.9239474011869654,2179,0.1194106127339214,0.27907000084592326,0.4,0.5818639798488665,206.0,309.0,8.246398410332837
4,baseline,0.28662739691690686,6840,0.793859649122807,0.1328995059733727,0.056802167448808394,0.624123681588089,1980,,,,,,,
4,expgrad_dp,0.28662739691690686,6840,0.7779239766081871,0.021796289411551817,0.11331895883538379,0.9236590892123591,1881,0.11110321656182087,0.6125823553931371,0.5869120654396728,1.3991935483870968,287.0,202.0,-5.0
4,expgrad_dp_floor,0.28662739691690686,6840,0.781140350877193,0.017729264916353737,0.1240522696204851,0.9408300404629514,1991,0.11517024105701895,0.46834637662954487,0.5030800821355236,0.9628378378378378,245.0,242.0,0.5555555555555556
