seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.269136832072437,7195,0.7954134815844336,0.11806993203181354,0.05024905521997336,0.6402317168446201,1955,,,,,,,
0,expgrad_dp,0.269136832072437,7195,0.7873523280055594,0.019336305731892378,0.13837759283970497,0.9315848334424844,1967,0.09873362629992116,0.46135661713683523,0.4711111111111111,0.956989247311828,212.0,238.0,0.6138107416879796
0,expgrad_dp_floor,0.269136832072437,7195,0.7861014593467686,0.01880338585272673,0.1344405849656891,0.9340915868430102,1988,0.09926654617908681,0.4320447142076166,0.4563758389261745,0.8846153846153846,204.0,243.0,1.6879795396419437
1,baseline,0.2684219932090308,7195,0.7919388464211258,0.1078260878989564,0.05600516785337151,0.6657480314015836,1950,,,,,,,
1,expgrad_dp,0.2684219932090308,7195,0.7776233495482975,0.008826079073728899,0.11456625004668719,0.96811058629184,1961,0.0990000088252275,0.4628059623062884,0.48577680525164113,0.9614035087719298,222.0,235.0,0.5641025641025641
1,expgrad_dp_floor,0.2684219932090308,7195,0.7785962473940237,0.010811910093536548,0.09765528177024452,0.9610106527462668,1958,0.09701417780541985,0.46678774511603255,0.48322147651006714,0.9711191335740073,216.0,231.0,0.41025641025641024
2,baseline,0.2728897361053196,7195,0.7895760945100765,0.13400473187023446,0.07552213314862166,0.6038946744560156,1973,,,,,,,
2,expgrad_dp,0.2728897361053196,7195,0.7762334954829743,0.03246189630605395,0.08981861581661932,0.8887105399699301,1987,0.1015428355641805,0.45908646995725355,0.49023861171366595,0.951048951048951,226.0,235.0,0.7095793208312214
2,expgrad_dp_floor,0.2728897361053196,7195,0.7752605976372481,0.03500472304500696,0.08530013955241367,0.8803208284963969,1984,0.0990000088252275,0.4628059623062884,0.49019607843137253,0.9616724738675958,225.0,234.0,0.5575266092245311
3,baseline,0.2730088759158873,7195,0.7888811674774149,0.11983799669193315,0.06365508483496485,0.6309500905812001,1924,,,,,,,
3,expgrad_dp,0.2730088759158873,7195,0.7776233495482975,0.002190901438155979,0.1192714752829247,0.9917835724287337,1911,0.11764709525377717,0.49360666654383617,0.5,1.0442176870748299,256.0,256.0,-0.6756756756756757
3,expgrad_dp_floor,0.2730088759158873,7195,0.7772063933287005,0.010133451374622071,0.10986102481044979,0.9644144280071738,2014,0.10970454531731108,0.3642271947837502,0.4279749478079332,0.7264437689969605,205.0,274.0,4.6777546777546775
4,baseline,0.27098349913623637,7195,0.7874913134120918,0.08922746280747207,0.03047064136387867,0.7119863324340068,1922,,,,,,,
4,expgrad_dp,0.27098349913623637,7195,0.775677553856845,0.004275280831899986,0.136126418867758,1.015985462393379,1939,0.09350274363937205,0.45297945145936097,0.4662309368191721,0.9433333333333334,214.0,245.0,0.8844953173777316
4,expgrad_dp_floor,0.27098349913623637,7195,0.7727588603196665,0.0018051460985449852,0.11863398220112531,1.0067094242118197,1942,0.09103260890601705,0.4477134826922013,0.46813186813186813,0.9337748344370861,213.0,242.0,1.0405827263267429
