seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.2325013403228689,7195,0.8002779708130646,0.1172968730670623,0.05740336061829443,0.5937892421644355,1674,,,,,,,
0,expgrad_dp,0.2325013403228689,7195,0.7869353717859625,0.033190519476115926,0.07166726339658669,0.866455294626646,1674,0.08410635359094637,0.4782487838776928,0.48635235732009924,1.0,196.0,207.0,0.0
0,expgrad_dp_floor,0.2325013403228689,7195,0.7856845031271716,0.03144544685610559,0.07785267767118953,0.8866030667648219,1887,0.0858514262109567,0.13342176238314798,0.30392156862745096,0.41643835616438357,124.0,284.0,12.724014336917563
1,baseline,0.23268005003872044,7195,0.8037526059763724,0.11250245209720694,0.06374207275166571,0.5899667910942574,1587,,,,,,,
1,expgrad_dp,0.23268005003872044,7195,0.7897150799166087,0.025829041098774874,0.10431147655674489,0.8894387453993149,1592,0.08667341099843207,0.47023101897544234,0.49047619047619045,0.9812734082397003,206.0,214.0,0.315059861373661
1,expgrad_dp_floor,0.23268005003872044,7195,0.7916608756080612,0.021178920340245044,0.11655267067504554,0.9117584162516317,1654,0.0913235317569619,0.37628139323354876,0.4361948955916473,0.7781456953642384,188.0,243.0,4.221802142407057
2,baseline,0.23130994221719187,7195,0.8001389854065323,0.11494789167637057,0.058974406459498474,0.5978430705003773,1661,,,,,,,
2,expgrad_dp,0.23130994221719187,7195,0.788464211257818,0.03679918597340015,0.07063636101748616,0.8491876155631614,1629,0.07814870570297042,0.5351599376713125,0.5280612244897959,1.1361702127659574,207.0,185.0,-1.926550270921132
2,expgrad_dp_floor,0.23130994221719187,7195,0.7887421820708825,0.03260944791699083,0.09180792704256535,0.8670837486640787,1653,0.08233844375937974,0.49175260058216946,0.5062034739454094,1.0318725099601593,204.0,199.0,-0.481637567730283
3,baseline,0.23125037231190804,7195,0.7990271021542737,0.11613457512025921,0.07570547880374173,0.5933123180956594,1655,,,,,,,
3,expgrad_dp,0.23125037231190804,7195,0.7859624739402363,0.02338282737684666,0.09072249589490972,0.9018130492475589,1633,0.09275174774341255,0.5112150515556846,0.5,1.0846153846153845,219.0,219.0,-1.3293051359516617
3,expgrad_dp_floor,0.23125037231190804,7195,0.7865184155663655,0.022025909939017707,0.10188340308900334,0.9129628779883447,1745,0.0941086651812415,0.34533130424052966,0.4123006833712984,0.7160883280757098,181.0,258.0,5.438066465256798
4,baseline,0.23244177041758504,7195,0.7944405837387074,0.11521396454457103,0.08923993069702169,0.6060899609286706,1708,,,,,,,
4,expgrad_dp,0.23244177041758504,7195,0.7861014593467686,0.019701468873964456,0.10057985686712678,0.9190817131806756,1684,0.09551249567060657,0.513172484000441,0.5092165898617511,1.096,221.0,213.0,-1.405152224824356
4,expgrad_dp_floor,0.23244177041758504,7195,0.7841556636553162,0.016407955896157733,0.10041627056146113,0.932013833957863,1680,0.0988060086484133,0.5176349653067236,0.5167785234899329,1.1098039215686275,231.0,216.0,-1.639344262295082
