seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.21738249594813613,4232,0.7894612476370511,0.06597485244811496,0.03320683111954459,0.7021007621556343,891,,,,,,,
0,expgrad_dp,0.21738249594813613,4232,0.7483459357277883,0.021053792555119077,0.06997153700189757,1.1141949946422818,795,0.08702864500323404,0.4262960968544583,0.8073089700996677,1.5647058823529412,243.0,58.0,-10.774410774410775
0,expgrad_dp_floor,0.21738249594813613,4232,0.750945179584121,0.02789315421469754,0.0870493358633776,1.1257863697727932,958,0.0938680066628125,-0.0030170651402008056,0.6972111553784861,0.7341269841269841,175.0,76.0,7.519640852974186
1,baseline,0.21241896272285252,4232,0.7963137996219282,0.03944763135238691,0.005049642552188094,0.821194369312865,906,,,,,,,
1,expgrad_dp,0.21241896272285252,4232,0.763468809073724,0.035801507010860795,0.10009487666034156,1.2075781958215919,755,0.0752491383632477,0.6398080092774041,0.838006230529595,2.0,269.0,52.0,-16.666666666666668
1,expgrad_dp_floor,0.21241896272285252,4232,0.7582703213610587,0.022952605231592538,0.09013282732447819,1.1095211473956126,903,0.062400236583979446,0.17700301058560752,0.7715355805243446,1.013157894736842,206.0,61.0,-0.33112582781456956
2,baseline,0.21606564019448946,4232,0.7915879017013232,0.08502317561472039,0.11574952561669827,0.6311832517253345,916,,,,,,,
2,expgrad_dp,0.21606564019448946,4232,0.7580340264650284,0.02476294131739623,0.024193548387096808,0.876325394919765,830,0.06026023429732416,0.5028694404591105,0.8353909465020576,1.6323529411764706,203.0,40.0,-9.388646288209607
2,expgrad_dp_floor,0.21606564019448946,4232,0.7542533081285444,0.014934363701812087,0.02265229491856051,0.9313369293865905,910,0.0700888119129083,0.18587090600970682,0.7601809954751131,1.0342857142857143,168.0,53.0,-0.6550218340611353
3,baseline,0.21515397082658022,4232,0.7927693761814745,0.09053013637919047,0.14278937381404166,0.5864658323998427,863,,,,,,,
3,expgrad_dp,0.21515397082658022,4232,0.7632325141776938,0.037350049348929465,0.08776091081593929,0.8091417883486687,802,0.053180087030261,0.4366838102907326,0.7881773399014779,1.5041322314049588,160.0,43.0,-7.068366164542295
3,expgrad_dp_floor,0.21515397082658022,4232,0.7580340264650284,0.02800385095370897,0.06427893738140417,0.8754639827234932,932,0.0625262854254815,-0.09511717614220071,0.6257668711656442,0.625,102.0,61.0,7.995365005793743
4,baseline,0.21049432739059967,4232,0.7979678638941399,0.06929979464542907,0.13401328273244778,0.7048280158106031,945,,,,,,,
4,expgrad_dp,0.21049432739059967,4232,0.7703213610586012,0.024846973878397627,0.026091081593927923,0.8684637709675832,782,0.04445282076703144,1.032090956185075,0.8817204301075269,2.393162393162393,246.0,33.0,-17.24867724867725
4,expgrad_dp_floor,0.21049432739059967,4232,0.7629962192816635,0.032251939313946876,0.05645161290322581,0.8592316468262714,947,0.03704785533148219,0.15288652373994047,0.7658536585365854,0.9891891891891892,157.0,48.0,0.21164021164021163
