seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.5670583468395461,4232,0.6573724007561437,0.1445246928468495,0.10463699665238779,0.7566444013151047,2412,,,,,,,
0,expgrad_dp,0.5670583468395461,4232,0.4137523629489603,0.01899418680519105,0.03605313092979123,1.0228902640304196,3525,0.16351887965204054,-1.4427111257155707,0.2757731958762887,0.08845208845208845,107.0,281.0,46.14427860696517
0,expgrad_dp_floor,0.5670583468395461,4232,0.40406427221172025,0.01992783703824008,0.04245730550284632,1.0237159395288256,3570,0.16445252988508957,-1.498238580251462,0.22580645161290322,0.06763285024154589,84.0,288.0,48.00995024875622
1,baseline,0.5730348460291734,4232,0.6618620037807184,0.1322943191968749,0.11883301707779881,0.7753096483481648,2399,,,,,,,
1,expgrad_dp,0.5730348460291734,4232,0.41091682419659736,0.018672600658282024,0.035341555977229655,0.9774742217545631,3495,0.11362171853859288,-2.1136680415303677,0.2672413793103448,0.08361204013377926,93.0,255.0,45.68570237599
1,expgrad_dp_floor,0.5730348460291734,4232,0.41186200378071836,0.01810618887691695,0.03629032258064524,0.9781425801967885,3493,0.11418813031995795,-2.0982231940051386,0.2672413793103448,0.08375209380234507,93.0,255.0,45.60233430596082
2,baseline,0.5699959481361426,4232,0.6620982986767486,0.14795467574541527,0.1309297912713473,0.7505119579479173,2406,,,,,,,
2,expgrad_dp,0.5699959481361426,4232,0.41257088846880907,0.00011716078216539305,0.027039848197343508,0.9998589035737292,3514,0.14783751496324987,-1.6053201141195637,0.26541554959785524,0.08505367464905036,99.0,274.0,46.051537822111385
2,expgrad_dp_floor,0.5699959481361426,4232,0.4043005671077505,0.010595778737418793,0.017789373814041665,0.987398553478671,3551,0.13735889700799647,-1.8040706480977653,0.23249299719887956,0.07061688311688312,83.0,274.0,47.58935993349959
3,baseline,0.5702998379254457,4232,0.6585538752362949,0.1305845797826547,0.15370018975332078,0.7781067607254313,2399,,,,,,,
3,expgrad_dp,0.5702998379254457,4232,0.42793005671077505,0.0011348435762157383,0.015417457305502813,0.9985964509045122,3421,0.12944973620643896,-1.6998951369773228,0.31129476584022037,0.10350877192982456,113.0,250.0,42.60108378491038
3,expgrad_dp_floor,0.5702998379254457,4232,0.42344045368620037,0.0014665297905529506,0.017976355925845233,1.0018036630757374,3442,0.13205110957320765,-1.7007223342317872,0.296398891966759,0.09618717504332755,107.0,254.0,43.476448520216756
4,baseline,0.5754659643435981,4232,0.6587901701323251,0.1587164995913513,0.12727428626550102,0.7371351031627291,2444,,,,,,,
4,expgrad_dp,0.5754659643435981,4232,0.41540642722117205,0.013270680595063644,0.025379506641366234,0.9839414759488795,3488,0.14544581899628767,-1.530465651144961,0.2727272727272727,0.09138381201044386,99.0,264.0,42.716857610474634
4,expgrad_dp_floor,0.5754659643435981,4232,0.41564272211720227,0.01355388648574618,0.02443074003795065,0.9836043942510553,3489,0.14516261310560513,-1.5354024786327158,0.26869806094182824,0.0897212543554007,97.0,264.0,42.757774140752865
