seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.3340160508276208,10254,0.7952018724400234,0.08302264066472614,0.01825718762168449,0.7771670679731794,3419,,,,,,,
0,expgrad_dp,0.3340160508276208,10254,0.7840842598010532,0.01671673816875896,0.05885755153491393,0.9517121513131638,3469,0.06630590249596718,0.3979831598045673,0.47544204322200395,0.8633879781420765,242.0,267.0,1.4624159110851127
0,expgrad_dp_floor,0.3340160508276208,10254,0.7837916910473961,0.015771769367156407,0.05966377536785106,0.9543444347218907,3466,0.06725087129756974,0.4033669101167914,0.4806201550387597,0.8726287262872628,248.0,268.0,1.374670956420006
1,baseline,0.33518642367497076,10254,0.7872049931733958,0.09238317131896218,0.05691903443497026,0.7573318442183926,3457,,,,,,,
1,expgrad_dp,0.33518642367497076,10254,0.7784279305636824,0.019334972337745338,0.06351428107757222,0.9450570450454945,3515,0.07304819898121684,0.3940904716274298,0.44031311154598823,0.8366197183098592,225.0,286.0,1.6777552791437662
1,expgrad_dp_floor,0.33518642367497076,10254,0.7787204993173396,0.02039138784158462,0.06329132794396262,0.9420246953234276,3508,0.07199178347737756,0.4024366904228338,0.44356435643564357,0.853448275862069,224.0,281.0,1.4752675730402083
2,baseline,0.33384885470657083,10254,0.7896430661205384,0.09193116334136298,0.04772666648270274,0.7597999160333433,3480,,,,,,,
2,expgrad_dp,0.33384885470657083,10254,0.7774527013848255,0.016954669244698628,0.07110629288286045,0.9521721225210714,3553,0.07497649409666435,0.37657124211420134,0.4456140350877193,0.8249400479616307,254.0,316.0,2.0977011494252875
2,expgrad_dp_floor,0.33384885470657083,10254,0.7769650867953969,0.015160110171935193,0.0691927454843263,0.9571675510835679,3556,0.07677105316942778,0.37497986545150125,0.44655172413793104,0.8207547169811321,259.0,321.0,2.1839080459770117
3,baseline,0.33460123725129576,10254,0.7924712307392238,0.08710471963425637,0.02799194238251601,0.7686174138735121,3439,,,,,,,
3,expgrad_dp,0.33460123725129576,10254,0.7841817827189389,0.026564008478346057,0.05498281470852462,0.925259417474477,3516,0.06054071115591031,0.34748669635151247,0.4479166666666667,0.7896174863387978,215.0,265.0,2.2390229717941263
3,expgrad_dp_floor,0.33460123725129576,10254,0.7848644431441388,0.025205389211386764,0.0559887904682187,0.9289344411360536,3515,0.0618993304228696,0.35178466607802605,0.44537815126050423,0.7877094972067039,212.0,264.0,2.2099447513812156
4,baseline,0.3358134091289082,10254,0.7883752681880242,0.0836146058536617,0.030340854389531158,0.7746854554346132,3401,,,,,,,
4,expgrad_dp,0.3358134091289082,10254,0.7795006826604252,0.028238304346058785,0.050432885728735014,0.9189494855660527,3436,0.05537630150760292,0.4098849891826284,0.4598698481561822,0.8964497041420119,212.0,249.0,1.0291090855630698
4,expgrad_dp_floor,0.3358134091289082,10254,0.7787204993173396,0.027455582096239994,0.05282621166489286,0.9211125135845575,3436,0.05615902375742171,0.4107440796784046,0.4636752136752137,0.8979591836734694,217.0,251.0,1.0291090855630698
