seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.5839324527670958,10254,0.7161107860347181,0.06470603165200839,0.021726372440237618,0.89419372796553,5958,,,,,,,
0,expgrad_dp,0.5839324527670958,10254,0.701384825433977,0.02625260654562367,0.06364042933810371,0.9569422291553467,6125,0.03845342510638472,0.047989455222908185,0.34516129032258064,0.44333333333333336,107.0,203.0,2.802954011413226
0,expgrad_dp_floor,0.5839324527670958,10254,0.7135751901696898,0.024150653041416836,0.06808024425775377,0.9593816297854011,5980,0.04055537861059155,0.41862023403282095,0.4642857142857143,0.8829787234042553,130.0,150.0,0.36925142665323935
1,baseline,0.5783313827119211,10254,0.7130875755802614,0.06003820866219489,0.025336080855656973,0.9017078390512283,5973,,,,,,,
1,expgrad_dp,0.5783313827119211,10254,0.6989467524868344,0.013499935975396227,0.08186135202252365,0.9776485936294922,6128,0.046538272686798665,0.14671425513575767,0.34023668639053256,0.4850498338870432,115.0,223.0,2.5950108823037
1,expgrad_dp_floor,0.5783313827119211,10254,0.7120148234835186,0.013450166626178262,0.08445536408444859,0.9772300990480287,5992,0.04658804203601663,0.43175053885357584,0.445859872611465,0.9073170731707317,140.0,174.0,0.31809810815335676
2,baseline,0.5810065206487209,10254,0.7127950068266042,0.052799325518451345,0.038242548100510976,0.913559049853629,6008,,,,,,,
2,expgrad_dp,0.5810065206487209,10254,0.681977764774722,0.013284828573407848,0.08028605556939383,0.9787888962759879,6358,0.0395144969450435,-0.392286784492436,0.20461095100864554,0.18793503480278423,71.0,276.0,5.8255659121171774
2,expgrad_dp_floor,0.5810065206487209,10254,0.6777842793056368,0.013784010566063376,0.08355704128076807,0.9781464150797258,6401,0.03901531495238797,-0.5108218755961215,0.16138328530259366,0.13626373626373625,56.0,291.0,6.541278295605859
3,baseline,0.5828038789500084,10254,0.7181587673103179,0.06301047694417727,0.01640635024871112,0.8961515284183404,5917,,,,,,,
3,expgrad_dp,0.5828038789500084,10254,0.7136727130875756,0.025585987332860993,0.05951452261799628,0.9567258222981355,5939,0.03742448961131628,0.4141944247843572,0.4280155642023346,0.8728323699421965,110.0,147.0,0.3718100388710495
3,expgrad_dp_floor,0.5828038789500084,10254,0.6887068461088356,0.029690889976342394,0.0560565317814361,0.9525523642636982,6273,0.03331958696783488,-0.5704511558965496,0.1503267973856209,0.1295843520782396,46.0,260.0,6.016562447186074
4,baseline,0.582009697375021,10254,0.7160132631168324,0.06355786345221803,0.01941494380411074,0.8950578726241409,5903,,,,,,,
4,expgrad_dp,0.582009697375021,10254,0.7154281256095182,0.03625174207034765,0.05234869756874466,0.9387630329553572,5895,0.027306121381870385,0.5000950458736119,0.46798029556650245,1.062015503875969,95.0,108.0,-0.1355243096730476
4,expgrad_dp_floor,0.582009697375021,10254,0.7156231714452896,0.03521139473830348,0.05339015194402302,0.9403530640553716,5883,0.028346468713914552,0.5403311153060038,0.4834123222748815,1.15625,102.0,109.0,-0.338810774182619
