seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.7039736298764806,59158,0.6990263362520708,0.08127895032248578,0.05713939073733276,0.8895473429460968,41677,,,,,,,
0,expgrad_dp,0.7039736298764806,59158,0.6149971263396329,0.017510732817112906,0.012158061354475502,0.9779181313206075,46512,0.06376821750537287,-0.8957447876600836,0.22857910287402633,0.16609175577785443,851.0,2872.0,11.601122921515465
0,expgrad_dp_floor,0.7039736298764806,59158,0.5572534568443829,0.0199184853765354,0.0213218199511247,0.9765125192886875,49714,0.06136046494595038,-1.828139942094959,0.17977986139421118,0.10511078944438258,882.0,4024.0,19.284017563644216
1,baseline,0.7044227913210418,59158,0.7009702829710267,0.07876877809765415,0.0543739425368997,0.8927458524699771,41648,,,,,,,
1,expgrad_dp,0.7044227913210418,59158,0.599327225396396,0.01710819079682724,0.015488194936540634,0.9788335519693364,47425,0.06166058730082691,-1.1977977192682128,0.21018951513659856,0.14364067595612215,854.0,3209.0,13.871014214368037
1,expgrad_dp_floor,0.7044227913210418,59158,0.555698299469218,0.016046188873339085,0.022271413298185383,0.9811386538358909,49962,0.06272258922431506,-1.8547098602736591,0.17069275304451986,0.09972929074174337,855.0,4154.0,19.962543219362274
2,baseline,0.7035751802079183,59158,0.6989418168295074,0.07567402222651065,0.05056724728879547,0.8969250016714491,41704,,,,,,,
2,expgrad_dp,0.7035751802079183,59158,0.5566111092329017,0.013893312917258038,0.02487091316418688,0.9835505384803718,49648,0.06178070930925261,-1.7876335641643508,0.1882233502538071,0.1111111111111111,927.0,3998.0,19.04853251486668
2,expgrad_dp_floor,0.7035751802079183,59158,0.555596876162142,0.013695338941373425,0.02386977886587338,0.9838197418458673,49760,0.061978683285137226,-1.8112372526427336,0.18248027513655674,0.10697261944352067,902.0,4041.0,19.31709188567044
3,baseline,0.7043286123084724,59158,0.7008519557794382,0.08393570523002725,0.06250693437087818,0.8859753799823791,41631,,,,,,,
3,expgrad_dp,0.7043286123084724,59158,0.6062071063930491,0.016689824941250153,0.013231917272521265,0.9791881343319788,47060,0.0672458802887771,-0.9787783604125362,0.21778989098116946,0.15528240236502255,879.0,3157.0,13.040762893036439
3,expgrad_dp_floor,0.7043286123084724,59158,0.560634233746915,0.016944137268843695,0.021479820585034726,0.9799671394074958,49650,0.06699156796118355,-1.6374899721629619,0.171607178866707,0.10342128801431127,851.0,4108.0,19.262088347625568
4,baseline,0.7056326294055856,59158,0.7005307819736976,0.07866137279075391,0.05438194532453122,0.8926587397404411,41556,,,,,,,
4,expgrad_dp,0.7056326294055856,59158,0.5959633523783765,0.0091179895368253,0.021268451024731072,0.9886998769819783,47526,0.06954338325392861,-1.0651931103311945,0.21651630811936157,0.14884516680923868,936.0,3387.0,14.366156511695062
4,expgrad_dp_floor,0.7056326294055856,59158,0.5536698333276987,0.01179282538265003,0.02319982597676662,0.9861081144148283,49950,0.06686854740810388,-1.7360098220771758,0.17541812524309608,0.10310930654984507,902.0,4240.0,20.199249205890847
