seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.1453182163943927,59158,0.6784035971466243,0.04455869637746798,0.04183615175309169,0.727356617263891,8651,,,,,,,
0,expgrad_dp,0.1453182163943927,59158,0.6759187261232631,0.015318212872584641,0.015512514953631429,0.8984738699101656,8576,0.02924048350488334,0.42928998727213985,0.48998946259220233,1.1521298174442192,465.0,484.0,-0.8669517974800601
0,expgrad_dp_floor,0.1453182163943927,59158,0.7074106629703506,0.003373938531757187,0.05986618586151832,1.0174594109748067,11509,0.04793263490922517,-0.6219673962553925,0.008928571428571428,0.00591304347826087,16.0,1776.0,33.03664316264016
1,baseline,0.14495598942297244,59158,0.6788600020284662,0.04406577136867916,0.037585195563138774,0.7286818175406766,8602,,,,,,,
1,expgrad_dp,0.14495598942297244,59158,0.6753608979343453,0.014221030526501699,0.01879818105346681,0.9042433038116353,8461,0.02984474084217746,0.4657941524965195,0.5307612095933264,1.3105726872246697,509.0,450.0,-1.6391536851894908
1,expgrad_dp_floor,0.14495598942297244,59158,0.7036410967240272,0.0013584818060685122,0.0509305665101602,0.9927618702597462,11072,0.04270728956261065,-0.5917130365154833,0.008934269304403318,0.006036217303822937,14.0,1553.0,28.71425249941874
2,baseline,0.1445358061361249,59158,0.6776598262280672,0.03764910367202842,0.02887870892182215,0.7609370758444719,8457,,,,,,,
2,expgrad_dp,0.1445358061361249,59158,0.6738226444436931,0.009088263779794326,0.025853727972502127,0.9369221707434872,8316,0.028560839892234097,0.4693841848553595,0.5252416756176155,1.3175675675675675,489.0,442.0,-1.667257892869812
2,expgrad_dp_floor,0.1445358061361249,59158,0.701257649007742,0.0064372782300606834,0.059023608537375094,1.0352020181037807,10965,0.044086381902089106,-0.5757009269115011,0.008125,0.0055511498810467885,13.0,1587.0,29.65590634976942
3,baseline,0.14436193718984316,59158,0.6786571554143143,0.04285725669409092,0.037853590000117676,0.7316657076997172,8470,,,,,,,
3,expgrad_dp,0.14436193718984316,59158,0.6758511105852125,0.014450327834985843,0.01724638911327947,0.9013090695127786,8332,0.028406928859105077,0.46805114628117556,0.5297941495124594,1.3136363636363637,489.0,434.0,-1.629279811097993
3,expgrad_dp_floor,0.14436193718984316,59158,0.7005476858582103,0.0008177910963573509,0.051573854805365194,0.9954323651357052,10573,0.04203946559773357,-0.459674477973508,0.016830294530154277,0.011748120300751879,24.0,1402.0,24.82880755608028
4,baseline,0.14368819502300142,59158,0.6788938097974915,0.044677882749183315,0.04275566298750905,0.7228933845604264,8518,,,,,,,
4,expgrad_dp,0.14368819502300142,59158,0.676121572737415,0.019305505879495866,0.006841355918840442,0.8705829281999545,8384,0.02537237686968745,0.47520764956742245,0.5384615384615384,1.3517060367454068,441.0,378.0,-1.5731392345621038
4,expgrad_dp_floor,0.14368819502300142,59158,0.7036072889550019,0.0013663358492785327,0.04934869245732948,0.9926204456739903,10922,0.04331154689990478,-0.552314630283344,0.009671179883945842,0.006611570247933884,15.0,1536.0,28.222587461845503
