seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.7229402844970756,5936,0.8327156334231806,0.07105235279349975,0.013306032459258266,0.9063923310158222,4298,,,,,,,
0,expgrad_dp,0.7229402844970756,5936,0.8207547169811321,0.0021747476069884364,0.13341555730668636,1.0029947507037733,4317,0.07322710040048819,0.44870842643403486,0.4647887323943662,0.8972972972972973,132.0,152.0,0.44206607724523034
0,expgrad_dp_floor,0.7229402844970756,5936,0.8217654986522911,0.004237652349000975,0.1363611595466434,1.0058328216206212,4325,0.07529000514250073,0.43200583942486465,0.45614035087719296,0.8556149732620321,130.0,155.0,0.6281991624011168
1,baseline,0.7195465376561485,5936,0.8301886792452831,0.0828015309187613,0.01978090838977936,0.8919527879349382,4307,,,,,,,
1,expgrad_dp,0.7195465376561485,5936,0.8190700808625337,0.000204496446519431,0.12125276641405675,0.9997228305023108,4379,0.08259703447224187,0.34556907037358786,0.3968253968253968,0.6855895196506551,125.0,190.0,1.6716972370559555
1,expgrad_dp_floor,0.7195465376561485,5936,0.8204177897574124,0.0018379700054468318,0.125730375226343,1.002492260857971,4383,0.08463950092420813,0.3411512972552383,0.39628482972136225,0.6779661016949152,128.0,195.0,1.7645693057812863
2,baseline,0.723806773052206,5936,0.831199460916442,0.0840371390981196,0.021064909476188665,0.890954392720657,4329,,,,,,,
2,expgrad_dp,0.723806773052206,5936,0.8190700808625337,0.007782106027263147,0.10730333310978468,0.9894285457799171,4347,0.07625503307085646,0.4526533031159451,0.46488294314381273,0.9076923076923077,139.0,160.0,0.4158004158004158
2,expgrad_dp_floor,0.723806773052206,5936,0.8190700808625337,0.004473373960869109,0.11036734625444306,0.9938929425717723,4335,0.0795637651372505,0.4797150922339665,0.4805194805194805,0.9689119170984456,148.0,160.0,0.1386001386001386
3,baseline,0.7188966712398007,5936,0.8325471698113207,0.08071818788670237,0.022726510629736463,0.8948080016857118,4319,,,,,,,
3,expgrad_dp,0.7188966712398007,5936,0.8175539083557951,0.005509254628052074,0.130089573133928,1.007500851420841,4376,0.08622744251475445,0.38105753846761664,0.41823899371069184,0.7397260273972602,133.0,185.0,1.3197499421162306
3,expgrad_dp_floor,0.7188966712398007,5936,0.8212601078167115,0.0021800842716117597,0.1198391707464288,1.0029561628759525,4384,0.08289827215831413,0.3603279070245246,0.4096774193548387,0.7045454545454546,127.0,183.0,1.5049780041676315
4,baseline,0.7209184778684381,5936,0.8330525606469003,0.09333553915471093,0.028380893300248122,0.8785751383967426,4290,,,,,,,
4,expgrad_dp,0.7209184778684381,5936,0.8234501347708895,0.013735779917767643,0.10141212862987053,0.9815076385646855,4369,0.07959975923694329,0.3252248461203784,0.376271186440678,0.6359447004608295,111.0,184.0,1.8414918414918415
4,expgrad_dp_floor,0.7209184778684381,5936,0.8199123989218329,0.014782561006308703,0.10751500570048955,0.9800805651556315,4362,0.07855297814840223,0.3380089503567419,0.38175675675675674,0.6666666666666666,113.0,183.0,1.6783216783216783
