seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.22057307127456802,27432,0.8103310002916302,0.10955896708650559,0.08892523606828123,0.6004050232376013,6043,,,,,,,
0,expgrad_dp,0.22057307127456802,27432,0.7985928842228055,0.02621622633275217,0.05107735336602892,0.8862930320228484,5971,0.08334274075375342,0.5233268618720692,0.49123945489941595,1.0771704180064308,757.0,784.0,-1.1914611947708091
0,expgrad_dp_floor,0.22057307127456802,27432,0.7992855059784194,0.027658368995751137,0.05137669777493614,0.8818032912934486,6046,0.08190059809075445,0.490499060617746,0.4791666666666667,0.9969262295081968,736.0,800.0,0.049644216448783716
1,baseline,0.22082304783926507,27432,0.8125911344415282,0.10451179741563205,0.08127037502189594,0.6191125605296965,6117,,,,,,,
1,expgrad_dp,0.22082304783926507,27432,0.8013998250218722,0.027021996349608945,0.055676899525959445,0.8829438691381142,5968,0.0774898010660231,0.5619289037779459,0.5171957671957672,1.1646408839779006,782.0,730.0,-2.4358345594245545
1,expgrad_dp_floor,0.22082304783926507,27432,0.801363371245261,0.02694128536130236,0.058029295423628224,0.8856041675490238,6097,0.07757051205432969,0.5012332288552523,0.4860557768924303,1.020746887966805,732.0,774.0,-0.3269576589831617
2,baseline,0.22030747117457739,27432,0.8156532516768737,0.10345215465373814,0.08622257747358986,0.6176768197579242,6027,,,,,,,
2,expgrad_dp,0.22030747117457739,27432,0.8025298920968212,0.016613681692876275,0.06370218749172674,0.9261967103891985,5951,0.08683847296086186,0.5237382663027612,0.5049019607843137,1.0761523046092185,824.0,808.0,-1.2609922017587523
2,expgrad_dp_floor,0.22030747117457739,27432,0.8042067658209391,0.01809476554680789,0.06284890723333447,0.9226965885006123,6177,0.08535738910693025,0.42777350882228643,0.45477230193387397,0.8628884826325411,729.0,874.0,2.4888003982080638
3,baseline,0.21962003562166046,27432,0.8125546806649169,0.1046383190676573,0.08263827814949021,0.6164453936883664,6072,,,,,,,
3,expgrad_dp,0.21962003562166046,27432,0.8012540099154273,0.021025308158594214,0.052969453741786965,0.9079482425468582,5982,0.08361301090906309,0.5310727436071967,0.4930555555555556,1.0932642487046633,781.0,803.0,-1.482213438735178
3,expgrad_dp_floor,0.21962003562166046,27432,0.8024569845435987,0.02182924915173709,0.05430181561414382,0.9063981134496416,6103,0.08280906991592021,0.4781876958155727,0.46853146853146854,0.9696376101860921,737.0,836.0,0.5105401844532279
4,baseline,0.22105740086866857,27432,0.8103674540682415,0.10043896569134333,0.09064100829815774,0.6214871095600633,5924,,,,,,,
4,expgrad_dp,0.22105740086866857,27432,0.7981189851268592,0.02076639496448504,0.046193839830069305,0.906798600835505,5832,0.0796725707268583,0.5339284827666844,0.49933155080213903,1.1018826135105204,747.0,749.0,-1.5530047265361242
4,expgrad_dp_floor,0.22105740086866857,27432,0.7983012540099155,0.021107125068216187,0.04889171123527991,0.9092712539466747,6097,0.07933184062312715,0.4123391185294546,0.4318030605455755,0.8347659980897804,649.0,854.0,2.9203241053342337
