seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.28705936719280256,29678,0.7910236538850327,0.10459045490440852,0.06902935846130354,0.6926193781943877,8589,,,,,,,
0,expgrad_dp,0.28705936719280256,29678,0.7802075611564122,0.018924420651549423,0.05240136213154989,0.9369447898439305,8634,0.0856660342528591,0.46855260776789237,0.4769828064337216,0.9622166246851386,860.0,943.0,0.5239259517988124
0,expgrad_dp_floor,0.28705936719280256,29678,0.7820944807601591,0.01936752495826044,0.054313460435201355,0.935888698862658,8686,0.08522292994614808,0.447901094069265,0.4708846584546473,0.9194352159468439,841.0,945.0,1.1293514960996625
1,baseline,0.2882724161335509,29678,0.7904845339982478,0.1094499133359221,0.08954633335029272,0.6804934274109125,8587,,,,,,,
1,expgrad_dp,0.2882724161335509,29678,0.7808814610148932,0.02648289042498525,0.0458492087415176,0.9134994365231898,8704,0.08296702291093686,0.43873580273532103,0.4575604272062957,0.9044117647058824,814.0,965.0,1.3625247467101433
1,expgrad_dp_floor,0.2882724161335509,29678,0.7808477660219691,0.02603394599114972,0.046238978863584065,0.916133620425299,8837,0.08341596734477238,0.3852676015052872,0.4346606842400449,0.8066511987625676,775.0,1008.0,2.9113776639105624
2,baseline,0.28740595260444496,29678,0.7923040636161467,0.09696619394011413,0.05779835224890295,0.7065998096834848,8409,,,,,,,
2,expgrad_dp,0.28740595260444496,29678,0.7777141316800323,0.010326317353044234,0.06418496672742802,0.9644432338116835,8470,0.0866398765870699,0.46252901841625216,0.4723698193411265,0.952006294256491,889.0,993.0,0.7254132477107861
2,expgrad_dp_floor,0.28740595260444496,29678,0.7788597614394501,0.013274213552233571,0.05893122498855241,0.9553218688673498,8626,0.08369198038788056,0.3988866829822544,0.4416711882799783,0.8373313343328336,814.0,1029.0,2.5805684385777146
3,baseline,0.2861351394284229,29678,0.7909562638991846,0.10696874555301022,0.06681229813206913,0.6852658310600643,8543,,,,,,,
3,expgrad_dp,0.2861351394284229,29678,0.7826336006469439,0.023128975862536427,0.054720354252450476,0.9220840709288349,8476,0.0838397696904738,0.5131795746556703,0.4983277591973244,1.0588752196836555,894.0,900.0,-0.7842678216083343
3,expgrad_dp_floor,0.2861351394284229,29678,0.7824988206752477,0.021637857334711297,0.058601876527441754,0.926962052073867,8480,0.08533088821829893,0.5111295372022906,0.4980737479361585,1.0546875,905.0,912.0,-0.7374458621093293
4,baseline,0.2868138691928892,29678,0.791899723701058,0.10481571565210923,0.0735670776102696,0.6927863866690293,8613,,,,,,,
4,expgrad_dp,0.2868138691928892,29678,0.7799380012130197,0.011175440023014738,0.058068664482998855,0.9621182894551121,8594,0.0936402756290945,0.4930892965939623,0.4891304347826087,1.015472312703583,945.0,987.0,-0.22059677232091024
4,expgrad_dp_floor,0.2868138691928892,29678,0.7800727811847159,0.012182659706331922,0.05751356605127467,0.9586120738541795,8560,0.09263305594577731,0.5055310320120188,0.4950546590317543,1.043910521955261,951.0,970.0,-0.6153488912109601
