seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,,15275,0.9072995090016367,0.031202080709761604,0.009166365807598331,0.9662425396969725,13889,,,,,,,
0,postprocess_dp,,15275,0.9061865793780688,0.0019313710879105273,0.11686812652743833,1.0021359803520107,13826,0.03313345179767213,0.6064420067080938,0.6235294117647059,1.65625,159.0,96.0,-0.4535963712290302
1,baseline,,15275,0.9057283142389525,0.042191651377982975,0.02779243501444123,0.9542716699967156,13783,,,,,,,
1,postprocess_dp,,15275,0.9033060556464811,0.005691547851288115,0.09265302155076643,0.9937291536971258,13822,0.03650010352669486,0.4120137400932677,0.4296028880866426,0.7531645569620253,119.0,158.0,0.2829572661974897
2,baseline,,15275,0.9090016366612111,0.03394973515464783,0.024590021661852923,0.9631084517606799,13807,,,,,,,
2,postprocess_dp,,15275,0.9061211129296236,0.0011617785965157834,0.1532506665185514,0.9987208634987854,13865,0.03278795655813205,0.36615763012943436,0.38306451612903225,0.6209150326797386,95.0,153.0,0.4200767726515536
3,baseline,,15275,0.9076923076923077,0.03199132799567472,0.004866974005776514,0.9652651785908652,13833,,,,,,,
3,postprocess_dp,,15275,0.905139116202946,0.00015682637792213683,0.11250451288602537,0.9998267773410807,13828,0.031834501617752586,0.4922463043296564,0.5102880658436214,1.0420168067226891,124.0,119.0,-0.03614544928793465
4,baseline,,15275,0.9096563011456629,0.03129929040527091,0.028715840924239067,0.9659558371165762,13813,,,,,,,
4,postprocess_dp,,15275,0.907430441898527,0.0005291688651712922,0.14233642523883588,1.0005867871678953,13779,0.0318284592704422,0.5518969810423251,0.569672131147541,1.3238095238095238,139.0,105.0,-0.2461449359299211
