seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.6577961019490255,2288,0.6826923076923077,0.08657048576471493,0.08608608608608609,0.8805137031643056,1514,,,,,,,
0,expgrad_dp,0.6577961019490255,2288,0.6761363636363636,0.030884045737088472,0.008008008008007994,0.9549995806893468,1519,0.05568644002762646,0.6862812650726929,0.38461538461538464,0.8780487804878049,25.0,40.0,0.33025099075297226
0,expgrad_dp_floor,0.6577961019490255,2288,0.6726398601398601,0.02989409868774462,0.024482679043052347,0.9563407116839451,1517,0.056676387076970314,0.7023898178863996,0.39436619718309857,0.9347826086956522,28.0,43.0,0.19815059445178335
1,baseline,0.6536731634182908,2288,0.6848776223776224,0.10791573939068377,0.09209209209209213,0.8542557326078507,1515,,,,,,,
1,expgrad_dp,0.6536731634182908,2288,0.6743881118881119,0.05593200828792877,0.03003003003003002,0.9217699305015161,1543,0.051983731102755004,0.49010924121641525,0.23076923076923078,0.5483870967741935,18.0,60.0,1.8481848184818481
1,expgrad_dp_floor,0.6536731634182908,2288,0.6765734265734266,0.05399432123398051,0.029026385291930468,0.9236296537501356,1528,0.05392141815670326,0.6201522806518188,0.3150684931506849,0.75,23.0,50.0,0.858085808580858
2,baseline,0.6607946026986506,2288,0.7067307692307693,0.1246527511319161,0.12812812812812818,0.8298218962807754,1469,,,,,,,
2,expgrad_dp,0.6607946026986506,2288,0.7027972027972028,0.05515309646228228,0.04704704704704704,0.9200089039761818,1486,0.06949965466963381,0.6186164633136424,0.33695652173913043,0.7384615384615385,31.0,61.0,1.1572498298162015
2,expgrad_dp_floor,0.6607946026986506,2288,0.7019230769230769,0.05274345790806545,0.048048048048048075,0.9235037146275633,1490,0.07190929322385065,0.597886985753162,0.32608695652173914,0.676923076923077,30.0,62.0,1.4295439074200136
3,baseline,0.6546101949025487,2288,0.6896853146853147,0.12594582150257072,0.13513513513513514,0.8309957779837299,1496,,,,,,,
3,expgrad_dp,0.6546101949025487,2288,0.6883741258741258,0.06608472104980434,0.049049049049049054,0.9058929595934759,1497,0.05986110045276638,0.7182231908211013,0.4057971014492754,0.9761904761904762,28.0,41.0,0.06684491978609626
3,expgrad_dp_floor,0.6546101949025487,2288,0.680506993006993,0.08101834087944126,0.08408408408408402,0.886934404283802,1505,0.04492748062312946,0.6379707916986932,0.3392857142857143,0.7631578947368421,19.0,37.0,0.6016042780748663
4,baseline,0.6555472263868066,2288,0.6923076923076923,0.11561660655360284,0.11211211211211214,0.8421581980094291,1484,,,,,,,
4,expgrad_dp,0.6555472263868066,2288,0.6870629370629371,0.06066303430281639,0.0470470470470471,0.9136136382263749,1506,0.05495357225078645,0.5505515989386959,0.29333333333333333,0.6071428571428571,22.0,53.0,1.482479784366577
4,expgrad_dp_floor,0.6555472263868066,2288,0.6892482517482518,0.061480316169135074,0.044044044044043995,0.912250821467689,1501,0.05413629038446777,0.5882769863207885,0.3013698630136986,0.6792452830188679,22.0,51.0,1.1455525606469004
