seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.34400843197664993,5286,0.759742716609913,0.14167217807908267,0.05675484008226361,0.6532333583165462,1805,,,,,,,
0,expgrad_dp,0.34400843197664993,5286,0.7565266742338252,0.03396858014005183,0.1099354655698177,0.8998574591845718,1708,0.10770359793903084,0.64389327781384,0.6083333333333333,1.5808383233532934,219.0,141.0,-5.373961218836565
0,expgrad_dp_floor,0.34400843197664993,5286,0.7517972001513432,0.024412961004466216,0.1126586766895965,0.9301734116388186,1787,0.11725921707461645,0.5025550617646697,0.5360824742268041,1.0803571428571428,208.0,180.0,-0.997229916897507
1,baseline,0.3422247446083995,5286,0.7671206961785849,0.11183294743515532,0.026012934586547548,0.711184670074701,1767,,,,,,,
1,expgrad_dp,0.3422247446083995,5286,0.7625804010594022,0.02074805672703217,0.11962264955139901,0.9371462568791539,1693,0.09108489070812315,0.6270202282893431,0.5947712418300654,1.5034013605442176,182.0,124.0,-4.1878890775325415
1,expgrad_dp_floor,0.3422247446083995,5286,0.7555807794173288,0.016492840210590165,0.14513784799426022,0.9519203485379235,1772,0.09534010722456515,0.4634044975289793,0.5015384615384615,0.9752475247524752,163.0,162.0,0.2829654782116582
2,baseline,0.33898167666612616,5286,0.7633371169125993,0.10076761640971549,0.020429620480841015,0.7475821093895246,1858,,,,,,,
2,expgrad_dp,0.33898167666612616,5286,0.7521755580779418,0.014356756800211978,0.15462733139493656,0.956805563054065,1721,0.08641085960950351,0.773448519333804,0.6831683168316832,2.1709401709401708,207.0,96.0,-7.3735199138858984
2,expgrad_dp_floor,0.33898167666612616,5286,0.7447975785092698,0.017219150171070285,0.1455712360825474,0.9512503612145589,1824,0.0835484662386452,0.5505012148058546,0.5628930817610063,1.1789473684210525,179.0,139.0,-1.8299246501614639
3,baseline,0.3386573698718988,5286,0.7593643586833144,0.1113536914165093,0.03551861122559288,0.7223142265124145,1841,,,,,,,
3,expgrad_dp,0.3386573698718988,5286,0.7519863791146425,0.005926628613396601,0.14795404581235372,0.9821881129253967,1744,0.1054270628031127,0.6475723356422823,0.6246418338108882,1.610062893081761,218.0,131.0,-5.268875611080935
3,expgrad_dp_floor,0.3386573698718988,5286,0.7466893681422626,0.015339695132639275,0.13891922558683778,0.9568784125715807,1842,0.09601399628387003,0.4715446182001411,0.5121212121212121,0.9950980392156863,169.0,161.0,0.054318305268875614
4,baseline,0.3418193611156154,5286,0.7640938327657965,0.11611506364837937,0.04581235373377768,0.7027155270161547,1774,,,,,,,
4,expgrad_dp,0.3418193611156154,5286,0.753688989784336,0.01483911006397065,0.09296503794057165,0.9547675319736798,1697,0.10127595358440872,0.617347510110238,0.5823529411764706,1.463855421686747,198.0,142.0,-4.340473506200676
4,expgrad_dp_floor,0.3418193611156154,5286,0.744986757472569,0.01270871648236993,0.10077299482306223,0.9633867929912676,1803,0.10340634716600944,0.42046027213169823,0.4905149051490515,0.8830645161290323,181.0,188.0,1.6347237880496055
