seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.637547696702266,20105,0.7036060681422531,0.10204863277901599,0.023663452944209018,0.8520722402774571,12877,,,,,,,
0,expgrad_dp,0.637547696702266,20105,0.6987813976622731,0.022584981296068007,0.07334222777707322,0.964914006754694,12722,0.07946365148294798,0.580779774482488,0.5491559086395233,1.293560606060606,553.0,454.0,-1.2036965131630037
0,expgrad_dp_floor,0.637547696702266,20105,0.6854513802536683,0.018866523631994925,0.07462971049261097,0.9711143754570769,12948,0.08318210914702107,0.44130569873646447,0.4770731707317073,0.889751552795031,489.0,536.0,0.5513706608682146
1,baseline,0.6368442369593486,20105,0.7025615518527729,0.10276698605080092,0.02801256792308854,0.8516937502473216,12932,,,,,,,
1,expgrad_dp,0.6368442369593486,20105,0.6942551604078587,0.021234053156695798,0.07327974659769004,0.9671797114350937,12801,0.08153293289410513,0.5636763350082548,0.5527093596059113,1.2434944237918215,561.0,454.0,-1.012991030003093
1,expgrad_dp_floor,0.6368442369593486,20105,0.6868440686396419,0.016413215703096506,0.07610104149098945,0.9747438449544198,12906,0.08635377034770442,0.49873598742514835,0.5185528756957328,1.0412044374009508,559.0,519.0,-0.20105165480977422
2,baseline,0.6389332992261942,20105,0.7037055458841084,0.10492614706252201,0.02960218826848582,0.8485777975025145,12911,,,,,,,
2,expgrad_dp,0.6389332992261942,20105,0.697189753792589,0.02088032001694684,0.07416254519671711,0.9677600652401233,12818,0.08404582704557517,0.5387982677720913,0.5234375,1.167870036101083,536.0,488.0,-0.7203160096042135
2,expgrad_dp_floor,0.6389332992261942,20105,0.6883859736383984,0.02220910763970274,0.06808926016618355,0.9658758951602554,12869,0.08271703942281927,0.5090154248513798,0.5150375939849624,1.0669856459330143,548.0,516.0,-0.3253040043373867
3,baseline,0.638997250111914,20105,0.7045511066898782,0.10155121907863873,0.022623334688635643,0.8540368227645491,13000,,,,,,,
3,expgrad_dp,0.638997250111914,20105,0.6973389704053718,0.019195748656258838,0.07896324603181865,0.9704577883595329,12877,0.0823554704223799,0.5580465336487731,0.5454545454545454,1.2299065420560749,552.0,460.0,-0.9461538461538461
3,expgrad_dp_floor,0.638997250111914,20105,0.6897289231534444,0.018775960498703115,0.07499484680072394,0.971312278225226,12976,0.08277525857993562,0.49818163192132303,0.5165250236071766,1.0380348652931854,547.0,512.0,-0.18461538461538463
4,baseline,0.6380593037880241,20105,0.6978363591146481,0.09481261663520146,0.016012014253770968,0.8626765073881166,12959,,,,,,,
4,expgrad_dp,0.6380593037880241,20105,0.6948022879880627,0.02160582561669455,0.0783368817413761,0.966714136251199,12840,0.07320679101850691,0.5646123976040952,0.5296610169491526,1.2310679611650486,500.0,444.0,-0.9182807315379273
4,expgrad_dp_floor,0.6380593037880241,20105,0.6799303655807013,0.014335414898521082,0.07722521245779929,0.9781066404897366,13025,0.08047720173668038,0.44296901080569573,0.47248576850094876,0.9035087719298246,498.0,556.0,0.5092985569874219
