seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.5094540726055723,20105,0.7635911464809749,0.12333404004673626,0.03576434692078362,0.783183604057406,10237,,,,,,,
0,expgrad_dp,0.5094540726055723,20105,0.7532454613280278,0.022570557764885202,0.07933498203479605,0.9563274013717853,10171,0.10076348228185106,0.5163391791685276,0.5056270096463023,1.09375,629.0,615.0,-0.6447201328514213
0,expgrad_dp_floor,0.5094540726055723,20105,0.7464312360109425,0.030926993018476012,0.0635932387087439,0.941156505859072,10266,0.09240704702826025,0.4681507645257314,0.48009950248756217,0.9616908850726552,579.0,627.0,0.28328611898017
1,baseline,0.5073650103387265,20105,0.7593633424521263,0.11871883697520563,0.034165139227896046,0.7923520712899125,10340,,,,,,,
1,expgrad_dp,0.5073650103387265,20105,0.7520019895548371,0.021162777533852373,0.08102588497696717,0.9591351687397481,10206,0.09755605944135326,0.5520800405446478,0.5349019607843137,1.187150837988827,682.0,593.0,-1.2959381044487428
1,expgrad_dp_floor,0.5073650103387265,20105,0.7397164884357125,0.021044288621436813,0.07133317203495648,0.9598568881452136,10335,0.09767454835376882,0.4863064117478225,0.4972762645914397,1.0063131313131313,639.0,646.0,-0.048355899419729204
2,baseline,0.5068320862910618,20105,0.7624471524496393,0.11963840643200735,0.02859992914078624,0.7902133771992221,10302,,,,,,,
2,expgrad_dp,0.5068320862910618,20105,0.7533946779408107,0.01971176633435684,0.07778044333393508,0.9617234007887203,10162,0.09992664009765051,0.5534457991853049,0.5289912629070691,1.2043795620437956,666.0,593.0,-1.3589594253543
2,expgrad_dp_floor,0.5068320862910618,20105,0.7438448147227058,0.02371685205560181,0.07649317308601222,0.954891477462875,10340,0.09592155437640554,0.4640558542719378,0.48106365834004833,0.9512195121951219,597.0,644.0,0.36886041545331005
3,baseline,0.5101575323484897,20105,0.7627953245461329,0.11537762003295343,0.023393863269607962,0.7979236722372556,10357,,,,,,,
3,expgrad_dp,0.5101575323484897,20105,0.7523004227804029,0.014326459629160349,0.0848822356910538,0.9722118623638469,10226,0.10105116040379308,0.5482403899487155,0.544435548438751,1.1943620178041543,680.0,569.0,-1.2648450323452738
3,expgrad_dp_floor,0.5101575323484897,20105,0.7437950758517782,0.015506464961508093,0.07884951714568755,0.9702345848279097,10323,0.09987115507144534,0.5006932921124003,0.5059760956175299,1.046195652173913,635.0,620.0,-0.32828039007434584
4,baseline,0.5097525100722645,20105,0.7609052474508828,0.12497638097237462,0.039074542062526085,0.782652503667514,10345,,,,,,,
4,expgrad_dp,0.5097525100722645,20105,0.7511564287490674,0.026842231156226193,0.07474227806770917,0.9484368837367256,10205,0.09813414981614843,0.5547186553156005,0.5391517128874388,1.2118003025718609,661.0,565.0,-1.3533107781536975
4,expgrad_dp_floor,0.5097525100722645,20105,0.7403630937577717,0.02559206960970506,0.0734440877604221,0.9515733654550358,10376,0.09938431136266956,0.46824568720107007,0.4852354349561053,0.9597402597402598,608.0,645.0,0.2996616723054616
