seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.4240077863090732,19816,0.7803794913201454,0.11855007892818908,0.07156286406392931,0.7381644930765228,8524,,,,,,,
0,expgrad_dp,0.4240077863090732,19816,0.7690250302785627,0.012569553574202752,0.0513552661536035,0.9697738895382382,8193,0.10598052535398633,0.34831526625744924,0.706989247311828,1.631679389312977,789.0,327.0,-3.883153449084937
0,expgrad_dp_floor,0.4240077863090732,19816,0.7640795316915624,0.0148938293876279,0.04757527333353795,0.9677139305367142,9085,0.10365624954056119,-0.0824141809131375,0.4694835680751174,0.4327603640040445,400.0,452.0,6.581417175035194
1,baseline,0.42283983994809127,19816,0.7810859911182882,0.11867901468856179,0.0710954055649411,0.7334376248514755,8374,,,,,,,
1,expgrad_dp,0.42283983994809127,19816,0.768873637464675,0.02300191524221168,0.03439802387649371,0.9435529128172382,7988,0.09567709944635011,0.3942977008477166,0.7416044776119403,1.8265524625267666,795.0,277.0,-4.6095056126104605
1,expgrad_dp_floor,0.42283983994809127,19816,0.7673597093257973,0.02302699616821202,0.03506587911017345,0.9457493848171564,8324,0.09565201852034977,0.21708357498639777,0.6615853658536586,1.076804915514593,651.0,333.0,-0.5970862192500597
2,baseline,0.42301286903860713,19816,0.7823475979006863,0.1220582899530942,0.07796294034044349,0.7264604812775612,8381,,,,,,,
2,expgrad_dp,0.42301286903860713,19816,0.7691259588211546,0.027004748528818068,0.03578083928152123,0.9339925084351997,8005,0.09505354142427613,0.3903242504957811,0.7214566929133859,1.8931116389548694,733.0,283.0,-4.486338145805989
2,expgrad_dp_floor,0.42301286903860713,19816,0.7680662091239403,0.02788761362463882,0.03333066881160665,0.9347199445776773,8360,0.09417067632845538,0.20195798113333543,0.6324503311258278,1.0349417637271214,573.0,333.0,-0.25056675814341967
3,baseline,0.42396452903644427,19816,0.7815906338312475,0.1067328706309501,0.07376905629994679,0.7576560885872085,8324,,,,,,,
3,expgrad_dp,0.42396452903644427,19816,0.7672083165119096,0.008394371424390201,0.060643860263916105,0.979167357701494,7953,0.0983384992065599,0.38109018775979736,0.7242990654205608,1.791044776119403,775.0,295.0,-4.456991830850552
3,expgrad_dp_floor,0.42396452903644427,19816,0.7657448526443278,0.0033968484133418686,0.06587018878374334,0.9921719703973612,8586,0.10333602221760824,0.06275646469062617,0.5437003405221339,0.6628056628056628,479.0,402.0,3.1475252282556463
4,baseline,0.42368335676435603,19816,0.7764432781590633,0.11550670656535977,0.06655887312044106,0.7417924375259723,8428,,,,,,,
4,expgrad_dp,0.42368335676435603,19816,0.7633730318934194,0.02953564497078015,0.024133429731922923,0.9288900858134813,8119,0.08597106159457962,0.37208481480948297,0.7283176593521421,1.695945945945946,697.0,260.0,-3.6663502610346463
4,expgrad_dp_floor,0.42368335676435603,19816,0.7601937828017763,0.030806274383053334,0.023535161337980087,0.9287715942501403,8454,0.08470043218230644,0.17521375680135282,0.6641221374045801,0.9617083946980854,609.0,308.0,0.30849549121974373
