seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.45932734941061965,19816,0.776695599515543,0.12128154027510774,0.0670010641433646,0.752167168528045,9239,,,,,,,
0,expgrad_dp,0.45932734941061965,19816,0.7601937828017763,0.017019718376512283,0.03997531986750663,0.9627429397209764,8988,0.10426182189859545,0.3121922114877115,0.7192118226600985,1.360632183908046,876.0,342.0,-2.7167442363892196
0,expgrad_dp_floor,0.45932734941061965,19816,0.7632721033508276,0.020312992465838342,0.039693939236057824,0.9570860940357463,9303,0.1009685478092694,0.15871716009596187,0.6330097087378641,0.9172056921086675,652.0,378.0,0.6927156618681676
1,baseline,0.45891640532064454,19816,0.7780581348405329,0.1253630154652125,0.07235104312457041,0.7393768889012687,9058,,,,,,,
1,expgrad_dp,0.45891640532064454,19816,0.7706903512313282,0.025053732996349054,0.03462212918600524,0.9440330525055788,8776,0.10030928246886345,0.3325749458063545,0.7102376599634369,1.5044722719141324,777.0,317.0,-3.1132700375358797
1,expgrad_dp_floor,0.45891640532064454,19816,0.7677634234961647,0.024108380093447235,0.0318763038611061,0.9477037614556184,9044,0.10125463537176527,0.19768193757335317,0.6555343511450382,1.0192572214580469,687.0,361.0,-0.1545595054095827
2,baseline,0.45833243214015357,19816,0.781237383932176,0.12706025162802026,0.07308177312438069,0.7360537233991502,9059,,,,,,,
2,expgrad_dp,0.45833243214015357,19816,0.7691764230924505,0.030005532819274428,0.03569590765148342,0.9331575594078755,8782,0.09705471880874583,0.3347325441648236,0.6981677917068466,1.5368217054263567,724.0,313.0,-3.0577326415719175
2,expgrad_dp_floor,0.45833243214015357,19816,0.7658457811869197,0.0276443286424356,0.03685176290229225,0.9402517387548869,9064,0.09941592298558466,0.18816644356790965,0.6368159203980099,0.9929078014184397,640.0,365.0,0.05519372999227288
3,baseline,0.4589596625932735,19816,0.779925312878482,0.11259575159144664,0.06508631263637654,0.764852445855967,9063,,,,,,,
3,expgrad_dp,0.4589596625932735,19816,0.7664008881711748,0.007146034335160645,0.06100910195863757,0.9838681091451336,8751,0.10544971725628599,0.3400159545436337,0.7131647776809067,1.5454545454545454,818.0,329.0,-3.4425686858656075
3,expgrad_dp_floor,0.4589596625932735,19816,0.7638272103350827,0.0062357782280500484,0.05980614177016072,0.9864144578938678,9072,0.10635997336339659,0.18643428044309668,0.6492673992673993,0.9883720930232558,709.0,383.0,0.09930486593843098
4,baseline,0.45911106304747484,19816,0.7769479208720226,0.12392304030060941,0.07393958577630722,0.7451130181735446,9166,,,,,,,
4,expgrad_dp,0.45911106304747484,19816,0.7618086394832458,0.025650032012006885,0.029593141806560003,0.9431130461379402,8838,0.09827300828860253,0.35913609101838245,0.7290909090909091,1.6142322097378277,802.0,298.0,-3.578442068514074
4,expgrad_dp_floor,0.45911106304747484,19816,0.7582256762212354,0.026030915574418445,0.031754972961052064,0.9441826724071468,9143,0.09789212472619097,0.20256118822034822,0.668233082706767,1.0308310991957104,711.0,353.0,-0.2509273401701942
