seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.6530569426377407,10214,0.769727824554533,0.11442071814309274,0.011224017234850447,0.8389387561977324,6696,,,,,,,
0,expgrad_dp,0.6530569426377407,10214,0.7538672410417074,0.021529267968940058,0.11289318268123066,0.9676208577322333,6686,0.09289145017415268,0.4898817832406074,0.5081967213114754,1.0271739130434783,310.0,300.0,-0.14934289127837516
0,expgrad_dp_floor,0.6530569426377407,10214,0.748090855688271,0.01725626003190539,0.11324000046029276,0.974039946011408,6705,0.09716445811118735,0.47027350086803066,0.49761526232114467,0.9766839378238342,313.0,316.0,0.13440860215053763
1,baseline,0.6515882673828207,10214,0.767182298805561,0.13156797914101082,0.029097242833311165,0.8172686045777238,6710,,,,,,,
1,expgrad_dp,0.6515882673828207,10214,0.753181907186215,0.033288182077394146,0.10044865754349447,0.9501894900710236,6663,0.09827979706361667,0.5261627634330951,0.5337620578778135,1.1354466858789625,332.0,290.0,-0.7004470938897168
1,expgrad_dp_floor,0.6515882673828207,10214,0.7512238104562365,0.0350227185019677,0.09648918120317956,0.9478727072506398,6691,0.09654526063904312,0.49860964251701306,0.5154471544715448,1.052924791086351,317.0,298.0,-0.28315946348733234
2,baseline,0.6519239645839453,10214,0.77090268259252,0.11423912990042451,0.012318466057374411,0.8385962558952026,6670,,,,,,,
2,expgrad_dp,0.6519239645839453,10214,0.7535735265322107,0.017171918284676235,0.12311935262386031,0.9740198402737104,6667,0.09706721161574827,0.482367967485079,0.5023847376788553,1.0078947368421052,316.0,313.0,-0.044977511244377814
2,expgrad_dp_floor,0.6519239645839453,10214,0.7491678088897592,0.01681849717447459,0.12018019181420542,0.9744381914907528,6638,0.09742063272594992,0.5115011271285934,0.5149136577708007,1.086021505376344,328.0,309.0,-0.47976011994003
3,baseline,0.651168645881415,10214,0.7693362052085373,0.11497838761930745,0.010876684849911555,0.8388363032789992,6724,,,,,,,
3,expgrad_dp,0.651168645881415,10214,0.754454670060701,0.01644902194298803,0.12862080957818006,0.9753380607012094,6732,0.09852936567631942,0.4713927875631184,0.4913657770800628,0.9794871794871794,313.0,324.0,0.1189767995240928
3,expgrad_dp_floor,0.651168645881415,10214,0.7494615233992559,0.013793793184818104,0.1298188492426267,0.9793190323775408,6745,0.10118459443448935,0.4590227652990884,0.49216300940438873,0.9462915601023018,314.0,324.0,0.3123140987507436
4,baseline,0.6486509168729806,10214,0.76728020364206,0.11380467004402361,0.013403320062634894,0.8387388128712716,6651,,,,,,,
4,expgrad_dp,0.6486509168729806,10214,0.7569022909731741,0.019882222664670768,0.11143718730461533,0.9697817490338042,6623,0.09392244737935285,0.5085293025583821,0.5115894039735099,1.08,309.0,295.0,-0.42098932491354685
4,expgrad_dp_floor,0.6486509168729806,10214,0.7520070491482279,0.018770186713271242,0.11212219237422821,0.9714147041978304,6615,0.09503448333075237,0.5164293976008792,0.5149501661129569,1.1055718475073313,310.0,292.0,-0.5412719891745602
