seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.2380694143167028,4743,0.7948555766392579,0.07310663613225285,0.05299807964967068,0.6970472534243328,1105,,,,,,,
0,expgrad_dp,0.2380694143167028,4743,0.7866329327429896,0.012688702941386049,0.04585509431253254,0.9427304728682018,1044,0.0604179331908668,0.32693105783162363,0.8260869565217391,1.7820512820512822,133.0,28.0,-5.520361990950226
0,expgrad_dp_floor,0.2380694143167028,4743,0.7916930212945393,0.012108484561088345,0.08223406737378625,0.9498226310397503,1138,0.060998151571164505,0.0,0.7107438016528925,0.7272727272727273,86.0,35.0,2.986425339366516
1,baseline,0.23454446854663774,4743,0.8028673835125448,0.0790007574951106,0.0374019634236078,0.6780201910820032,1121,,,,,,,
1,expgrad_dp,0.23454446854663774,4743,0.7891629770187645,0.023049054186854073,0.023008309553294137,0.8990071682031691,1070,0.05595170330825652,0.3062408604179444,0.8085106382978723,1.7391304347826086,114.0,27.0,-4.549509366636931
1,expgrad_dp_floor,0.23454446854663774,4743,0.7845245625131773,0.03411367353456368,0.017826879416749264,0.8722409481352615,1248,0.044887083960546914,-0.48246293156672326,0.4794520547945205,0.22560975609756098,35.0,38.0,11.329170383586083
2,baseline,0.23535791757049893,4743,0.7942230655703142,0.0830856004666381,0.07135806457402327,0.6788172096036676,1182,,,,,,,
2,expgrad_dp,0.23535791757049893,4743,0.7885304659498208,0.041262808573683335,0.0064609917622354684,0.830013410169983,1129,0.041822791892954764,0.3812463844333422,0.8515625,1.8688524590163935,109.0,19.0,-4.483925549915398
2,expgrad_dp_floor,0.23535791757049893,4743,0.7830487033523087,0.03281291102467712,0.01789672274889892,0.874768526679661,1225,0.05027268944196098,-0.06627349410241185,0.6847826086956522,0.5943396226415094,63.0,29.0,3.6379018612521152
3,baseline,0.2366232827187274,4743,0.7963314358001266,0.07236013833743457,0.03030443277957949,0.7166287965574091,1172,,,,,,,
3,expgrad_dp,0.2366232827187274,4743,0.7897954880877082,0.0015818539010998278,0.09617904126061128,0.9930904884694164,1085,0.07077828443633474,0.3732217105140492,0.8333333333333334,2.380952380952381,145.0,29.0,-7.42320819112628
3,expgrad_dp_floor,0.2366232827187274,4743,0.7866329327429896,0.027639333791408205,0.03076149966797681,0.9022386527007599,1326,0.044720804546026366,-0.6119728908255722,0.34375,0.13966480446927373,22.0,42.0,13.139931740614335
4,baseline,0.23797903109182936,4743,0.7975964579380139,0.07111480229905484,0.05068289093486955,0.7180901893767656,1158,,,,,,,
4,expgrad_dp,0.23797903109182936,4743,0.7891629770187645,0.007237993350583005,0.03674853202779596,0.9689017913505625,1100,0.06387680894847184,0.30550237586943013,0.7905405405405406,1.878787878787879,117.0,31.0,-5.008635578583765
4,expgrad_dp_floor,0.23797903109182936,4743,0.788741302972802,0.020056464618116,0.025565184024557916,0.9229641093918433,1224,0.05105833768093884,-0.15847333505643132,0.6129032258064516,0.48031496062992124,57.0,36.0,5.699481865284974
