seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.2985979194934419,4738,0.7783875052764879,0.12456998591055707,0.04206277629108328,0.6473797690026217,1396,,,,,,,
0,expgrad_dp,0.2985979194934419,4738,0.774166314900802,0.03098104004405633,0.11697889976337494,0.8961223951463994,1344,0.09358894586650074,0.5879318645544374,0.5808580858085809,1.3151515151515152,176.0,127.0,-3.7249283667621778
0,expgrad_dp_floor,0.2985979194934419,4738,0.7722667792317434,0.03651454359502504,0.10580571540583306,0.8813750319477683,1377,0.08805544231553203,0.5162037037037037,0.541958041958042,1.1104651162790697,155.0,131.0,-1.3610315186246418
1,baseline,0.3007688828584351,4738,0.7747994934571549,0.12815635705652226,0.05158146763556937,0.6335049675054073,1371,,,,,,,
1,expgrad_dp,0.3007688828584351,4738,0.772055719712959,0.02485213236924355,0.11509920051525457,0.9163367141180365,1352,0.1033042246872787,0.5094813799405987,0.5327102803738317,1.1005291005291005,171.0,150.0,-1.3858497447118892
1,expgrad_dp_floor,0.3007688828584351,4738,0.7665681722245673,0.021519657276088733,0.11999971997031689,0.9320260699641932,1452,0.10663669978043352,0.3103443650423708,0.4437869822485207,0.6823529411764706,150.0,188.0,5.908096280087527
2,baseline,0.30312075983717773,4738,0.7760658505698607,0.11973880890567226,0.04089970479668427,0.6670677020671552,1437,,,,,,,
2,expgrad_dp,0.30312075983717773,4738,0.7695230054875475,0.03526866493588232,0.11513420422564791,0.8851249199231261,1376,0.08447014396978994,0.6230790723665829,0.6101083032490975,1.4206896551724137,169.0,108.0,-4.244954766875435
2,expgrad_dp_floor,0.30312075983717773,4738,0.7682566483748418,0.03831362956923495,0.1050496352613377,0.8823860673688602,1458,0.08142517933643731,0.41622932028687015,0.5130111524163569,0.8858695652173914,138.0,131.0,1.4613778705636744
3,baseline,0.29787426503844416,4738,0.7798649219079781,0.12068323070211201,0.03809551971061205,0.6572213560578744,1399,,,,,,,
3,expgrad_dp,0.29787426503844416,4738,0.7716336006753904,0.029187318070962143,0.09540611304798308,0.9021366394091269,1348,0.09149591263114987,0.5883077139540611,0.5789473684210527,1.34,165.0,120.0,-3.645461043602573
3,expgrad_dp_floor,0.29787426503844416,4738,0.7731110173068806,0.04160819905450541,0.08101608770529678,0.8797772313033415,1547,0.0790750316476066,0.07563526842041002,0.33204633204633205,0.39344262295081966,86.0,173.0,10.578984989278055
4,baseline,0.29914066033469017,4738,0.7710004221190375,0.12397458178671303,0.03897767986949943,0.6571904618290229,1437,,,,,,,
4,expgrad_dp,0.29914066033469017,4738,0.7676234698184888,0.015188705559250726,0.11991221069433367,0.9503993834080718,1417,0.1087858762274623,0.509465469690445,0.5358255451713395,1.10989010989011,172.0,149.0,-1.3917884481558802
4,expgrad_dp_floor,0.29914066033469017,4738,0.7680455888560574,0.021023665972922545,0.11356953837106731,0.9351447057071467,1489,0.10295091581379048,0.3640576045350026,0.4585987261146497,0.7636363636363637,144.0,170.0,3.6186499652052886
