seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.2596110357304387,4738,0.7756437315322922,0.12251593108331366,0.043569118326542644,0.61203288490284,1223,,,,,,,
0,expgrad_dp,0.2596110357304387,4738,0.7691008864499789,0.03156893456633836,0.10426205177748848,0.8807607110054569,1184,0.0909469965169753,0.561169522581254,0.5659722222222222,1.24375,163.0,125.0,-3.188879803761243
0,expgrad_dp_floor,0.2596110357304387,4738,0.772055719712959,0.027737249769347938,0.10830147995687545,0.9013262093311707,1270,0.09477868131396572,0.3659999773619929,0.46,0.7793427230046949,138.0,162.0,3.8430089942763694
1,baseline,0.2638625056535504,4738,0.772055719712959,0.11752919804607317,0.043779140588902477,0.6106166067377127,1168,,,,,,,
1,expgrad_dp,0.2638625056535504,4738,0.7710004221190375,0.02249769347952027,0.10420954621189843,0.911699193667235,1157,0.0950315045665529,0.495093095714737,0.5418060200668896,1.0607734806629834,162.0,137.0,-0.9417808219178082
1,expgrad_dp_floor,0.2638625056535504,4738,0.7680455888560574,0.014780326274307864,0.13164895478920768,0.9459634718717724,1263,0.10274887177176531,0.27552039647929705,0.4231974921630094,0.6169354838709677,135.0,184.0,8.133561643835616
2,baseline,0.2646766169154229,4738,0.774166314900802,0.11474349346664667,0.03532336837332625,0.6380167526863524,1246,,,,,,,
2,expgrad_dp,0.2646766169154229,4738,0.7650907555930773,0.036603228413471495,0.09864045588832421,0.8649986810867846,1203,0.07814026505317517,0.5868071922494315,0.5486381322957199,1.3028169014084507,141.0,116.0,-3.451043338683788
2,expgrad_dp_floor,0.2646766169154229,4738,0.7682566483748418,0.03540920176511397,0.11095476120468761,0.8722211826950995,1234,0.0793342917015327,0.5025873104592252,0.5222672064777328,1.0816326530612246,129.0,118.0,-0.9630818619582665
3,baseline,0.26132971506105834,4738,0.7783875052764879,0.10881126583274331,0.026785142254485958,0.6455861627162075,1212,,,,,,,
3,expgrad_dp,0.26132971506105834,4738,0.7701561840439004,0.026785318371346206,0.1052281541843435,0.8983697753777061,1189,0.0820259474613971,0.5298436212556511,0.5440613026819924,1.1513157894736843,142.0,119.0,-1.8976897689768977
3,expgrad_dp_floor,0.26132971506105834,4738,0.772055719712959,0.02693765600303244,0.09695327704736711,0.9013727864881673,1234,0.08187360982971087,0.4139495879066884,0.48854961832061067,0.8757062146892656,128.0,134.0,1.8151815181518152
4,baseline,0.26241519674355496,4738,0.7722667792317434,0.11579054648443365,0.03516812789843822,0.6374498244906871,1255,,,,,,,
4,expgrad_dp,0.26241519674355496,4738,0.7667792317433516,0.009794666037290511,0.1127819548872181,0.9627802690582961,1225,0.10599588044714314,0.5303988745281012,0.552870090634441,1.1578947368421053,183.0,148.0,-2.3904382470119523
4,expgrad_dp_floor,0.26241519674355496,4738,0.7691008864499789,0.016078056944235863,0.10833648366726867,0.9428031676366758,1296,0.09971248954019779,0.3838788113528284,0.47962382445141066,0.8161434977578476,153.0,166.0,3.266932270916335
