seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.5328423566878981,6460,0.6784829721362229,0.11243309691418318,0.043059161464950535,0.811285026266174,3501,,,,,,,
0,expgrad_dp,0.5328423566878981,6460,0.6712074303405573,0.038108604548953706,0.03995621237000546,0.9322536053240089,3516,0.07432449236522948,0.44755143567714245,0.4666666666666667,0.9202127659574468,140.0,160.0,0.4284490145672665
0,expgrad_dp_floor,0.5328423566878981,6460,0.6682662538699691,0.04481919806847057,0.03380442460902233,0.9204500580408327,3501,0.06761389884571262,0.4787925696594424,0.48905109489051096,1.0,134.0,140.0,0.0
1,baseline,0.5332404458598726,6460,0.6896284829721362,0.08312772328291246,0.008006535253400393,0.8519878136998592,3371,,,,,,,
1,expgrad_dp,0.5332404458598726,6460,0.6684210526315789,0.005243260335403899,0.07625170498727368,0.9902786026710876,3468,0.07788446294750856,0.28600084576605367,0.4152542372881356,0.6523297491039427,147.0,207.0,2.877484425986354
1,expgrad_dp_floor,0.5332404458598726,6460,0.6781733746130031,0.0016564992316688842,0.07978632242566397,0.9968453433749835,3387,0.08147122405124357,0.4483918948862167,0.49303621169916434,0.9322033898305084,177.0,182.0,0.4746366063482646
2,baseline,0.5314490445859873,6460,0.6803405572755418,0.09556428664091132,0.020074941538234914,0.8357504067789951,3463,,,,,,,
2,expgrad_dp,0.5314490445859873,6460,0.663312693498452,0.02478507328167856,0.05414706728024965,0.9554212918058698,3515,0.07077921335923276,0.3650651739781635,0.4720496894409938,0.7787234042553192,152.0,170.0,1.5015882183078255
2,expgrad_dp_floor,0.5314490445859873,6460,0.6688854489164087,0.027145903964526652,0.05214605314036347,0.9507541709867666,3477,0.06841838267638467,0.44711712546209387,0.5,0.9317073170731708,154.0,154.0,0.4042737510828761
3,baseline,0.5333731422505308,6460,0.6837461300309597,0.09205290388607557,0.018322504982174637,0.8406467211391175,3447,,,,,,,
3,expgrad_dp,0.5333731422505308,6460,0.6795665634674922,0.03045035634754356,0.051846131183809985,0.9443094243225534,3438,0.061602547538532004,0.5014083365417749,0.5174825174825175,1.0494505494505495,148.0,138.0,-0.26109660574412535
3,expgrad_dp_floor,0.5333731422505308,6460,0.6747678018575851,0.03336015266180148,0.05501054926342275,0.9389877055881122,3429,0.05869275122427409,0.5262665362201712,0.5227272727272727,1.1125,138.0,126.0,-0.5221932114882507
4,baseline,0.5347664543524416,6460,0.6869969040247678,0.10458309003410848,0.029011341086687736,0.8192344639913536,3414,,,,,,,
4,expgrad_dp,0.5347664543524416,6460,0.6777089783281733,0.04792430592624586,0.0307170365586098,0.9134792825449491,3430,0.056658784107862625,0.4350786032417484,0.49429657794676807,0.9111111111111111,130.0,133.0,0.46865846514352666
4,expgrad_dp_floor,0.5347664543524416,6460,0.6784829721362229,0.04579268303807582,0.03204543434428497,0.9171053958122574,3427,0.05879040699603266,0.4445627691910672,0.5160142348754448,0.9326424870466321,145.0,136.0,0.38078500292911543
