seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.3583466029723992,6460,0.7784829721362229,0.11176439013490419,0.03841479737740025,0.7344314032574295,2373,,,,,,,
0,expgrad_dp,0.3583466029723992,6460,0.7772445820433437,0.032228997311441576,0.09951393859439839,0.9128393301625511,2289,0.07953539282346261,0.6422807415742275,0.5811209439528023,1.5029940119760479,197.0,142.0,-3.5398230088495577
0,expgrad_dp_floor,0.3583466029723992,6460,0.759907120743034,0.023548676312982797,0.08893660617798549,0.9380559428548335,2383,0.0882157138219214,0.4612448159879826,0.46703296703296704,0.9559471365638766,170.0,194.0,0.42140750105351876
1,baseline,0.35881104033970274,6460,0.7835913312693499,0.09248568123446882,0.023563920115644232,0.769504597545184,2306,,,,,,,
1,expgrad_dp,0.35881104033970274,6460,0.7831269349845201,0.011675770162676069,0.1269139545001614,0.966284461288396,2201,0.08080991107179275,0.6799296548692023,0.6070381231671554,1.6730769230769231,207.0,134.0,-4.553339115351258
1,expgrad_dp_floor,0.35881104033970274,6460,0.7639318885448917,0.009991904269304852,0.13308913308913306,0.9726481775002037,2329,0.08249377696516397,0.4356332957358916,0.4535211267605634,0.9017094017094017,161.0,194.0,0.997398091934085
2,baseline,0.36080148619957536,6460,0.7801857585139319,0.10238434680723718,0.02732193417438955,0.7480057779970997,2308,,,,,,,
2,expgrad_dp,0.36080148619957536,6460,0.7739938080495357,0.029172477281109666,0.07836863009276807,0.9198827642695789,2262,0.07321186952612752,0.5760547087107414,0.5581395348837209,1.2893081761006289,168.0,133.0,-1.9930675909878683
2,expgrad_dp_floor,0.36080148619957536,6460,0.7617647058823529,0.02374398785649995,0.08456252134413045,0.9359406994288179,2321,0.07864035895073723,0.45320286066295395,0.47904191616766467,0.9392523364485982,160.0,174.0,0.5632582322357019
3,baseline,0.3607351380042463,6460,0.7862229102167183,0.0995008608975631,0.017056591769235463,0.7549236293766679,2315,,,,,,,
3,expgrad_dp,0.3607351380042463,6460,0.7791021671826626,0.024875335253608744,0.08101179365547184,0.9304935653121157,2235,0.07462552564395436,0.6447398219156931,0.5845697329376854,1.457142857142857,197.0,140.0,-3.4557235421166306
3,expgrad_dp_floor,0.3607351380042463,6460,0.7662538699690402,0.022668814133411597,0.08276610575461141,0.9390368233329098,2332,0.07683204676415151,0.4445415109124786,0.4807121661721068,0.9234234234234234,162.0,175.0,0.734341252699784
4,baseline,0.36133227176220806,6460,0.7808049535603715,0.10222648437973364,0.018993522818855635,0.7494930328190952,2320,,,,,,,
4,expgrad_dp,0.36133227176220806,6460,0.7753869969040248,0.03146196259678319,0.08895999700597401,0.9135245485196988,2253,0.07076452178295045,0.6253563669769088,0.5775577557755776,1.4350649350649352,175.0,128.0,-2.8879310344827585
4,expgrad_dp_floor,0.36133227176220806,6460,0.7643962848297213,0.03393965372626867,0.07042510490786347,0.9097355338891417,2324,0.06828683065346497,0.4697250080152089,0.496875,0.9811320754716981,159.0,161.0,0.1724137931034483
