seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.0801739807842119,6602,0.7468948803392911,0.033000253075045,0.007831281732313077,0.5944030750920758,516,,,,,,,
0,expgrad_dp,0.0801739807842119,6602,0.7382611329900031,0.01104187096522613,0.013247411993307586,0.8614303308974464,519,0.021958382109818868,0.07639774501507694,0.7083333333333334,0.9210526315789473,34.0,14.0,0.5813953488372093
0,expgrad_dp_floor,0.0801739807842119,6602,0.7406846410178733,0.0216940534692349,0.008634434714352296,0.7371580229062821,531,0.0113061996058101,-0.1038633364968405,0.75,0.6808510638297872,30.0,10.0,2.9069767441860463
1,baseline,0.07705790703713321,6602,0.7446228415631627,0.026055737750395776,0.02870786011561638,0.7001578132623374,557,,,,,,,
1,expgrad_dp,0.07705790703713321,6602,0.7331111784307786,0.009834333987350438,0.03268983900376937,0.8839159110918892,553,0.016221403763045338,0.13444225742957627,0.8,1.0851063829787233,48.0,12.0,-0.718132854578097
1,expgrad_dp_floor,0.07705790703713321,6602,0.7379581944865192,0.014632029669712207,0.022305623012076753,0.8306378080365933,561,0.011423708080683569,0.044054982817869306,0.8076923076923077,0.9183673469387755,42.0,10.0,0.718132854578097
2,baseline,0.08023889898727603,6602,0.7411390487730991,0.0423606274900216,0.05383848047031503,0.4793573186226418,510,,,,,,,
2,expgrad_dp,0.08023889898727603,6602,0.7365949712208422,0.028923834356494538,0.0355802487305909,0.6331596242573108,502,0.01343679313352706,0.18727357718826734,0.8157894736842105,1.3478260869565217,31.0,7.0,-1.5686274509803921
2,expgrad_dp_floor,0.08023889898727603,6602,0.7367464404725841,0.019680968416391408,0.01010621335884418,0.7555869734789392,519,0.02267965907363019,0.036984040895925704,0.6956521739130435,0.7804878048780488,32.0,14.0,1.7647058823529411
3,baseline,0.08082316281485329,6602,0.7488639806119358,0.021878821806118345,0.019881276522677654,0.749674363174143,563,,,,,,,
3,expgrad_dp,0.08082316281485329,6602,0.7385640714934868,0.002637790463807785,0.026459309408753823,0.9679104715209016,541,0.01924103134231056,0.270280195865071,0.8208955223880597,1.6111111111111112,55.0,12.0,-3.907637655417407
3,expgrad_dp_floor,0.08082316281485329,6602,0.7406846410178733,0.007494109527843615,0.042293194659078825,1.0886356882846742,563,0.02937293133396196,0.09709179036655566,0.7205882352941176,1.0,49.0,19.0,0.0
4,baseline,0.0813425084393664,6602,0.7453801878218722,0.026709754852197107,0.03441917891104734,0.6776986868948442,530,,,,,,,
4,expgrad_dp,0.0813425084393664,6602,0.7373523174795517,0.011712899316173947,0.04160227635097016,0.8542367581968415,523,0.01499685553602316,0.1677922621852263,0.803921568627451,1.1944444444444444,41.0,10.0,-1.320754716981132
4,expgrad_dp_floor,0.0813425084393664,6602,0.7412905180248409,0.014061498544491347,0.06479096654974204,0.8299785135421645,537,0.01264825630770576,0.013263258085207966,0.7948717948717948,0.8157894736842105,31.0,8.0,1.320754716981132
