seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.6065307712282524,6602,0.785065131778249,0.08040031069812192,0.02193659001748932,0.8770977940326978,4065,,,,,,,
0,expgrad_dp,0.6065307712282524,6602,0.7796122387155408,0.018723533838070683,0.0930147009920681,0.9702290625400206,4093,0.06167677686005124,0.409575942970098,0.45188284518828453,0.8157894736842105,108.0,131.0,0.6888068880688807
0,expgrad_dp_floor,0.6065307712282524,6602,0.777794607694638,0.01547808452842514,0.10006912232082205,0.9754234563781022,4109,0.06492222616969678,0.37568403521294347,0.4230769230769231,0.75,110.0,150.0,1.082410824108241
1,baseline,0.6054920799792262,6602,0.7896092093305059,0.0769685822706414,0.023111256663974233,0.8816079511656593,4049,,,,,,,
1,expgrad_dp,0.6054920799792262,6602,0.7820357467434111,0.011226764760183583,0.09828166588921255,0.9819153518081982,4063,0.06574181751045782,0.4460838748115432,0.466403162055336,0.9078947368421053,118.0,135.0,0.3457643862682144
1,expgrad_dp_floor,0.6054920799792262,6602,0.7827930930021205,0.01259967679745555,0.0932651375359888,0.9797794562486315,4074,0.06436890547318586,0.41951131718103213,0.4493927125506073,0.8376623376623377,111.0,136.0,0.6174364040503828
2,baseline,0.6032848610750454,6602,0.7871857013026355,0.07033958333793056,0.03452492508690741,0.888774322765917,3953,,,,,,,
2,expgrad_dp,0.6032848610750454,6602,0.7817328082399273,0.014071153106355982,0.09570345377679867,0.976678993600438,3939,0.05626843023157457,0.5160265627859547,0.5234042553191489,1.1037037037037036,123.0,112.0,-0.35416139640779154
2,expgrad_dp_floor,0.6032848610750454,6602,0.7823386852468949,0.013280064493398025,0.09461777007815364,0.9780534826702194,3953,0.05705951884453253,0.4783398970009086,0.4957983193277311,1.0,118.0,120.0,0.0
3,baseline,0.607764217086471,6602,0.7852166010299909,0.07474757616480543,0.03628440234419611,0.8825054074342356,3964,,,,,,,
3,expgrad_dp,0.607764217086471,6602,0.7715843683732202,0.0002572601044928957,0.1120841136541581,1.0004257586736538,3990,0.07500483626929833,0.4258339421695492,0.4377104377104377,0.8609625668449198,130.0,167.0,0.6559031281533805
3,expgrad_dp_floor,0.607764217086471,6602,0.7752196304150257,0.004519980963855641,0.1134927045449646,0.9925588841111287,3996,0.07022759520094979,0.4093212150729377,0.43859649122807015,0.8279569892473119,125.0,160.0,0.8072653884964682
4,baseline,0.6068553622435731,6602,0.790972432596183,0.08113329052407514,0.0285561874567985,0.8723512779511582,3940,,,,,,,
4,expgrad_dp,0.6068553622435731,6602,0.7861254165404423,0.00507440499176548,0.10941691859390429,0.9916581141806012,4000,0.07605888553230966,0.3588514895530612,0.41471571906354515,0.7073170731707317,124.0,175.0,1.5228426395939085
4,expgrad_dp_floor,0.6068553622435731,6602,0.7861254165404423,0.0032796525830091072,0.11427199335104735,0.9945982192750438,3998,0.07785363794106603,0.36549717271254334,0.4169381107491857,0.722488038277512,128.0,179.0,1.4720812182741116
