seed,arm,floor_target,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.08874318358867826,0.8585277188730688,0.06397575171807088,0.04112837523277468,0.46128975814905604,582,,,,,,,
0,expgrad_dp,0.08874318358867826,0.8553468645864889,0.01617594163818234,0.08670856610800748,0.8065626979100695,501,0.04779981007988854,0.7350147534613889,0.6574074074074074,1.8526315789473684,142.0,74.0,-13.917525773195877
0,expgrad_dp_floor,0.08874318358867826,0.8554983338382308,0.012804528660504189,0.10483589385474862,0.8761269755427629,642,0.05117122305756669,0.3007370459944011,0.41739130434782606,0.6610169491525424,96.0,134.0,10.309278350515465
1,baseline,0.08861334718254998,0.8547409875795213,0.07083810524163325,0.055283985102420885,0.4259613307007413,591,,,,,,,
1,expgrad_dp,0.08861334718254998,0.8497425022720387,0.020423951412227415,0.07253113361266297,0.7514484499515505,478,0.05041415382940584,0.8178482323932359,0.6652542372881356,2.202127659574468,157.0,79.0,-19.120135363790187
1,expgrad_dp_floor,0.08861334718254998,0.8503483792790064,0.02185276557370658,0.0695923533519553,0.7684279241973986,554,0.048985339667926675,0.5927488681837633,0.5676855895196506,1.2868217054263567,130.0,99.0,-6.260575296108291
2,baseline,0.09257335756946247,0.8544380490760376,0.06791041537484949,0.054149208566108054,0.46844665783867806,629,,,,,,,
2,expgrad_dp,0.09257335756946247,0.849439563768555,0.030692840629663876,0.004422718808193671,0.6757480272129988,528,0.03721757474518561,0.8893928613779203,0.6470588235294118,2.1222222222222222,132.0,72.0,-16.05723370429253
2,expgrad_dp_floor,0.09257335756946247,0.8471675249924265,0.028743621825071966,0.024186743482309148,0.7280411165781653,607,0.03916679354977752,0.5634202223557694,0.5094339622641509,1.161764705882353,108.0,104.0,-3.4976152623211445
3,baseline,0.09166450272656453,0.8598909421387458,0.06445239088236354,0.02984998932308349,0.4801544866537236,615,,,,,,,
3,expgrad_dp,0.09166450272656453,0.8511057255377158,0.016493701081044115,0.08651943668528861,0.8106523115896136,523,0.047958689801319426,0.768906032522632,0.6260869565217392,1.8932038834951457,144.0,86.0,-14.959349593495935
3,expgrad_dp_floor,0.09166450272656453,0.8527718873068767,0.014649666536473552,0.10685084962756053,0.8489417618215123,594,0.04980272434588999,0.5422089790312039,0.5240174672489083,1.1544117647058822,120.0,109.0,-3.4146341463414633
4,baseline,0.09471565827057907,0.8577703726143593,0.07131364107452709,0.05843371741154563,0.43015271494043783,601,,,,,,,
4,expgrad_dp,0.09471565827057907,0.8526204180551348,0.022088326827355842,0.045565642458100575,0.7497625079164029,513,0.04922531424717125,0.7491211882356896,0.6607142857142857,1.907216494845361,148.0,76.0,-14.642262895174708
4,expgrad_dp_floor,0.09471565827057907,0.8524689488033929,0.02396748408812234,0.06404940642458101,0.7738520131520731,624,0.04734615698640475,0.40475857568978363,0.4727272727272727,0.8506493506493507,104.0,116.0,3.826955074875208
