seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.6304437992534219,6201,0.66924689566199,0.17093473573901707,0.08337672023694265,0.7589735870669669,3875,,,,,,,
0,expgrad_dp,0.6304437992534219,6201,0.6605386228027738,0.04407335786419597,0.06899282622051067,0.930911439517622,3821,0.1268613778748211,0.5617902701709668,0.509090909090909,1.1992619926199262,252.0,243.0,-1.3935483870967742
0,expgrad_dp_floor,0.6304437992534219,6201,0.6381228834059023,0.05625194692827007,0.03904725706322054,0.9145894351712305,3912,0.114682788810747,0.4411177137672946,0.46652267818574517,0.8782894736842105,216.0,247.0,0.9548387096774194
1,baseline,0.6196598921609291,6201,0.6713433317206902,0.15937479386230413,0.07325000179284724,0.7689506563149345,3790,,,,,,,
1,expgrad_dp,0.6196598921609291,6201,0.6640864376713433,0.04071522523397997,0.06677614987246883,0.9340711216329732,3705,0.11865956862832416,0.6086655349714857,0.5508474576271186,1.346938775510204,260.0,212.0,-2.242744063324538
1,expgrad_dp_floor,0.6196598921609291,6201,0.6574746008708273,0.048492533887736666,0.05269165390988628,0.9232567804586322,3770,0.11088225997456747,0.5222337532677372,0.5031446540880503,1.0677966101694916,240.0,237.0,-0.5277044854881267
2,baseline,0.6267109083367897,6201,0.6760199967747138,0.1563963187475068,0.06883983658794873,0.7736861741144503,3807,,,,,,,
2,expgrad_dp,0.6267109083367897,6201,0.6577971294952427,0.020166587350256893,0.09059113759744125,0.9672436258181616,3756,0.13622973139724992,0.5535184031087321,0.5124282982791587,1.1783216783216783,268.0,255.0,-1.3396375098502757
2,expgrad_dp_floor,0.6267109083367897,6201,0.6563457506853734,0.021607080170474413,0.08779166636785884,0.9652983888728661,3795,0.1347892385770324,0.5075032863784538,0.49534450651769085,1.0372670807453417,266.0,271.0,-0.31520882584712373
3,baseline,0.6263652702889534,6201,0.6745686179648444,0.1462855053648343,0.0518178275950269,0.7880242769194679,3832,,,,,,,
3,expgrad_dp,0.6263652702889534,6201,0.6636026447347202,0.021271225289747675,0.10273253826533663,0.9658552292718708,3798,0.12501428007508664,0.5370051491865923,0.5151515151515151,1.119718309859155,255.0,240.0,-0.8872651356993737
3,expgrad_dp_floor,0.6263652702889534,6201,0.6568295436219964,0.02620271526393847,0.09275665803709515,0.9586570612075509,3850,0.12008279010089584,0.468973297254866,0.4798387096774194,0.9435736677115988,238.0,258.0,0.4697286012526096
4,baseline,0.6198672749896309,6201,0.6686018384131591,0.16204373729489496,0.07737378952929397,0.7683931485594112,3843,,,,,,,
4,expgrad_dp,0.6198672749896309,6201,0.6597323012417352,0.029685076744088823,0.08177080718764418,0.9525913637161224,3792,0.13235866055080614,0.5552840965366967,0.5107212475633528,1.1808510638297873,262.0,251.0,-1.327088212334114
4,expgrad_dp_floor,0.6198672749896309,6201,0.6452185131430415,0.033812200521594726,0.07159556234447051,0.9473641672910489,3880,0.12823153677330024,0.4466149710621997,0.4559386973180077,0.8918128654970761,238.0,284.0,0.9627894873796513
