seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.6573397760047945,11442,0.8395385422128998,0.08959086726070375,0.009596800071640155,0.8731240446283188,7566,,,,,,,
0,expgrad_dp,0.6573397760047945,11442,0.8247683971333682,0.013217772715440335,0.09095194386195335,0.9803044148733914,7603,0.07637309454526342,0.45862053791100477,0.4591078066914498,0.8905325443786982,247.0,291.0,0.4890298704731694
0,expgrad_dp_floor,0.6573397760047945,11442,0.8256423702149974,0.012874231738004505,0.09248922287809477,0.9808562856187485,7621,0.07671663552269925,0.4383041394488228,0.44840525328330205,0.8387096774193549,239.0,294.0,0.7269362939466032
1,baseline,0.6589504438700977,11442,0.8354308687292431,0.09885400791696364,0.023310423398481106,0.860868527186132,7563,,,,,,,
1,expgrad_dp,0.6589504438700977,11442,0.8224960671211327,0.024410046893160176,0.08147247118016432,0.9640027459297664,7619,0.07444396102380346,0.43521729672936504,0.4424131627056673,0.8453038674033149,242.0,305.0,0.7404469126008197
1,expgrad_dp_floor,0.6589504438700977,11442,0.8215346967313407,0.024236259888566147,0.07954423905932456,0.9642682561415665,7622,0.07461774802839749,0.4318566155846862,0.44,0.8387978142076503,242.0,308.0,0.7801137114901494
2,baseline,0.658875529085665,11442,0.835605663345569,0.10653424471703399,0.03446232961616946,0.8502804486009687,7531,,,,,,,
2,expgrad_dp,0.658875529085665,11442,0.823195245586436,0.036643698754526444,0.06862159802392487,0.9464048360941737,7613,0.06989054596250754,0.3984213319530775,0.41732283464566927,0.7650429799426934,212.0,296.0,1.0888328243261187
2,expgrad_dp_floor,0.658875529085665,11442,0.8225834644292955,0.035421812346699055,0.070927516548137,0.948178696259377,7618,0.07111243237033493,0.3940382128387235,0.41487279843444225,0.7521367521367521,212.0,299.0,1.1552250697118576
3,baseline,0.6584260403790688,11442,0.8315853871700751,0.09186824696331042,0.011927306351331657,0.8703490632326983,7581,,,,,,,
3,expgrad_dp,0.6584260403790688,11442,0.8180388044048243,0.02214274976993391,0.08584177634497409,0.967354737622948,7634,0.0697254971933765,0.43452860878771155,0.44793713163064836,0.8422619047619048,228.0,281.0,0.6991162115815855
3,expgrad_dp_floor,0.6584260403790688,11442,0.8179514070966615,0.02161937224027577,0.08476302769340988,0.9681263579932934,7637,0.07024887472303465,0.4312912258299098,0.43859649122807015,0.8352941176470589,225.0,288.0,0.7386888273314867
4,baseline,0.6592126456156122,11442,0.8292256598496767,0.10637188463573777,0.03456970698002615,0.8511679830262037,7568,,,,,,,
4,expgrad_dp,0.6592126456156122,11442,0.8198741478762455,0.03699194493567315,0.0631470108048991,0.9458816280853974,7609,0.06937993970006462,0.44931402606850634,0.4468503937007874,0.8757575757575757,227.0,281.0,0.5417547568710359
4,expgrad_dp_floor,0.6592126456156122,11442,0.8191749694109421,0.03699396145154921,0.0630661668436942,0.9459202458043149,7615,0.06937792318418856,0.4417541572717027,0.444007858546169,0.8592814371257484,226.0,283.0,0.6210359408033826
