seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.6891627194700666,12035,0.7434150394682177,0.07019481584032583,0.007422637260848353,0.9023712469596936,8234,,,,,,,
0,expgrad_dp,0.6891627194700666,12035,0.7282924802658911,0.028170623713825282,0.05726561865023322,0.9601802652212968,8346,0.04202419212650055,0.2746878651540655,0.4136986301369863,0.6203389830508474,151.0,214.0,1.360213747874666
0,expgrad_dp_floor,0.6891627194700666,12035,0.7350228500207727,0.024132692357829777,0.06392576328357552,0.9654204521602363,8255,0.046062123482496053,0.45825458801408264,0.4691011235955056,0.9078947368421053,167.0,189.0,0.2550400777264999
1,baseline,0.6880586915488444,12035,0.7374324885749897,0.06613686136466979,0.010172408113277354,0.9083305308993468,8288,,,,,,,
1,expgrad_dp,0.6880586915488444,12035,0.7203157457415871,0.022749743814540757,0.058787426425919775,0.9680216860242524,8426,0.04338711755012903,0.2318514647347774,0.3858695652173913,0.5504885993485342,142.0,226.0,1.665057915057915
1,expgrad_dp_floor,0.6880586915488444,12035,0.7284586622351474,0.024251367316700967,0.060306154021334324,0.9654057183231064,8292,0.04188549404796882,0.4882012084958687,0.5043988269794721,0.9815668202764977,172.0,169.0,0.04826254826254826
2,baseline,0.6872751878628156,12035,0.7347735770668883,0.07648699143485505,0.011711839000765667,0.8942987429213853,8252,,,,,,,
2,expgrad_dp,0.6872751878628156,12035,0.7224761113419194,0.033774915389200744,0.04781016073970429,0.9526448353941934,8382,0.0427120760456543,0.24323758102843482,0.38016528925619836,0.5666666666666667,138.0,225.0,1.5753756665050898
2,expgrad_dp_floor,0.6872751878628156,12035,0.7253842958039053,0.028134140208898817,0.0608264064053442,0.9597533790453497,8245,0.04835285122595623,0.5081652784179737,0.5026178010471204,1.0300429184549356,192.0,190.0,-0.08482792050412022
3,baseline,0.6875600982940988,12035,0.7383464894058994,0.06595654281534014,0.006811577071419772,0.9086848229150176,8299,,,,,,,
3,expgrad_dp,0.6875600982940988,12035,0.7214790195263814,0.028691556242153693,0.0498422848340071,0.9599849132814121,8458,0.03726498657318644,0.14160866110919954,0.36752136752136755,0.5015673981191222,129.0,222.0,1.9158934811423063
3,expgrad_dp_floor,0.6875600982940988,12035,0.727710843373494,0.025398015429898835,0.05636491432230173,0.9638550655792287,8305,0.0405585273854413,0.4838442571545098,0.5057803468208093,0.973568281938326,175.0,171.0,0.07229786721291721
4,baseline,0.6868478222158909,12035,0.7328624844204403,0.06991946342237254,0.002184960038859818,0.903682047661684,8319,,,,,,,
4,expgrad_dp,0.6868478222158909,12035,0.7221437474034067,0.021469009844857,0.06445138114289789,0.9696602014217635,8388,0.04845045357751554,0.37780346702190637,0.43548387096774194,0.735632183908046,162.0,210.0,0.8294266137756942
4,expgrad_dp_floor,0.6868478222158909,12035,0.7273784794349814,0.02971129920384752,0.05838710235121092,0.9578748378835326,8311,0.04020816421852502,0.5126684310268201,0.5121951219512195,1.0394088669950738,168.0,160.0,-0.09616540449573266
