seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.49118558353217706,12035,0.8031574574158704,0.16221076251910066,0.09298207084245724,0.6834428517019837,5821,,,,,,,
0,expgrad_dp,0.49118558353217706,12035,0.7875363523057748,0.01229905866994907,0.09902729003927935,0.9745112434177824,5781,0.1499117038491516,0.19940371666435042,0.5994236311239193,1.100502512562814,416.0,278.0,-0.687167153410067
0,expgrad_dp_floor,0.49118558353217706,12035,0.788117989198172,0.011823654277934026,0.09531297936361843,0.9757552651356176,5844,0.15038710824116663,0.1645252479204714,0.5789473684210527,0.9476082004555809,396.0,288.0,0.3951211132107885
1,baseline,0.4910075145126251,12035,0.802492729538845,0.13659872375155568,0.06878621304412424,0.7340018559315823,5889,,,,,,,
1,expgrad_dp,0.4910075145126251,12035,0.7862068965517242,0.0023929303233574117,0.10897294680353625,1.0049415633080052,5833,0.1389916540749131,0.21071058488819155,0.6234939759036144,1.1497326203208555,414.0,250.0,-0.9509254542367125
1,expgrad_dp_floor,0.4910075145126251,12035,0.7850436227669297,0.0034307616422468157,0.11169025371496372,1.0069914389342516,5913,0.1400294853938025,0.16299190075055167,0.5873261205564142,0.9429928741092637,380.0,267.0,0.40753948038716253
2,baseline,0.49236083906122013,12035,0.7974241794765268,0.14526826093086842,0.07341922189996963,0.7167297519225169,5862,,,,,,,
2,expgrad_dp,0.49236083906122013,12035,0.7837141670128791,0.005678054687460743,0.09458314938831569,0.988276877081894,5817,0.13959020624340768,0.2040192926045016,0.6229508196721312,1.1156812339331619,418.0,253.0,-0.7676560900716479
2,expgrad_dp_floor,0.49236083906122013,12035,0.7831325301204819,0.006068046319472331,0.0955106386251739,0.9875778799554652,5866,0.1392002146113961,0.17484540192099207,0.6039453717754173,0.9904306220095693,398.0,261.0,0.06823609689525759
3,baseline,0.48976103137576127,12035,0.8046530951391774,0.1588789073378557,0.08740545044666792,0.6918881824403746,5867,,,,,,,
3,expgrad_dp,0.48976103137576127,12035,0.7885334441213129,0.00964539216624849,0.09571091012366617,0.980209557971365,5845,0.1492335151716072,0.1894823404895246,0.5898203592814372,1.056701030927835,394.0,274.0,-0.3749786943923641
3,expgrad_dp_floor,0.48976103137576127,12035,0.7866223514748649,0.006854610721877041,0.09332245481773405,0.9860570346409149,5902,0.15202429661597866,0.15810333551340747,0.5635276532137519,0.9187935034802784,377.0,292.0,0.5965570138060338
4,baseline,0.48965418996403004,12035,0.7995845450768592,0.1664958411466596,0.10434255090550104,0.6789402494577949,5886,,,,,,,
4,expgrad_dp,0.48965418996403004,12035,0.7862899875363523,0.019858514047132125,0.08045921964355734,0.9592458018456576,5822,0.14663732709952748,0.21349820898240332,0.6099706744868035,1.1720430107526882,416.0,266.0,-1.0873258579680598
4,expgrad_dp_floor,0.48965418996403004,12035,0.7853759867054425,0.015524147901189722,0.0870893672378468,0.9683768540387614,5875,0.15097169324546988,0.18328719076429392,0.5925394548063128,1.0260047281323876,413.0,284.0,-0.18688413183826028
