seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.5278588251836749,12192,0.7987204724409449,0.15179569095397727,0.07637644615795325,0.7272915660000078,6453,,,,,,,
0,expgrad_dp,0.5278588251836749,12192,0.78248031496063,0.008830308079515903,0.0932606183473193,0.9832889512376295,6423,0.14296538287446137,0.19732947897308878,0.6044444444444445,1.0763358778625953,408.0,267.0,-0.46490004649000466
0,expgrad_dp_floor,0.5278588251836749,12192,0.7811679790026247,0.007698707898459944,0.09117911774550086,0.9854744650522829,6445,0.14409698305551732,0.18467176545570435,0.5970588235294118,1.0193236714975846,406.0,274.0,-0.1239733457306679
1,baseline,0.5284915808345344,12192,0.8064304461942258,0.15945777217991025,0.07846708728454244,0.7125446545157109,6413,,,,,,,
1,expgrad_dp,0.5284915808345344,12192,0.7906824146981627,0.003165747173186184,0.11779615273410954,0.9940066650107634,6433,0.15629202500672407,0.16962224554039887,0.5714285714285714,0.9540229885057471,400.0,300.0,0.3118665211289568
1,expgrad_dp_floor,0.5284915808345344,12192,0.7892880577427821,0.0011851735229611027,0.11776089654788052,0.9977954978534576,6552,0.15827259865694915,0.10808467721044615,0.517910447761194,0.7214428857715431,347.0,323.0,2.1674723218462497
2,baseline,0.5255738742222379,12192,0.7987204724409449,0.16268638602982177,0.08274857843670069,0.7117154556365718,6523,,,,,,,
2,expgrad_dp,0.5255738742222379,12192,0.7802657480314961,0.00781514791709026,0.11800692006575816,1.0146704635829549,6512,0.17050153394691203,0.18540973987874043,0.5682119205298013,1.0250569476082005,429.0,326.0,-0.16863406408094436
2,expgrad_dp_floor,0.5255738742222379,12192,0.780757874015748,0.00479317410024116,0.10645243632563417,1.0089774345711093,6520,0.16747956013006293,0.18158732231162153,0.5718085106382979,1.0066964285714286,430.0,322.0,-0.0459911083857121
3,baseline,0.5301086230533976,12192,0.8103674540682415,0.16139297248954232,0.08002307509690834,0.7107773121180594,6449,,,,,,,
3,expgrad_dp,0.5301086230533976,12192,0.7889599737532809,0.013018322082931522,0.09175091458242049,0.9754098360655737,6426,0.1483746504066108,0.1928324312773335,0.5985815602836879,1.0548926014319808,422.0,283.0,-0.35664444099860443
3,expgrad_dp_floor,0.5301086230533976,12192,0.7866633858267716,0.011596988522184937,0.09176938943983307,0.9781111221171147,6434,0.14979598396735738,0.18833138089972512,0.6013986013986014,1.0346420323325636,430.0,285.0,-0.23259420065126377
4,baseline,0.530143776145112,12192,0.801509186351706,0.15987870558059292,0.08483724597080833,0.7110563115198686,6395,,,,,,,
4,expgrad_dp,0.530143776145112,12192,0.7849409448818898,0.014539695659684715,0.08925126637449707,0.972520552502513,6419,0.1453390099209082,0.16657388740107704,0.5765765765765766,0.9433962264150944,384.0,282.0,0.3752931978107897
4,expgrad_dp_floor,0.530143776145112,12192,0.7876476377952756,0.016016242562598815,0.08649635721998969,0.9696840824359519,6406,0.1438624630179941,0.17384662737542927,0.5785498489425982,0.9733009708737864,383.0,279.0,0.17200938232994528
