seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.04102976669348351,2132,0.7073170731707317,0.012640702770424755,0.038784744667097595,0.7014736357356666,89,,,,,,,
0,expgrad_dp,0.04102976669348351,2132,0.7021575984990619,0.01116359789597867,0.04934281404869639,0.7268281044971966,86,0.001477104874446085,1.0,1.0,1.5,9.0,0.0,-3.3707865168539324
0,expgrad_dp_floor,0.04102976669348351,2132,0.702626641651032,0.010671229604496638,0.04934281404869639,0.7356918618691137,85,0.001969473165928118,1.0,1.0,1.8,9.0,0.0,-4.49438202247191
1,baseline,0.03600160901045857,2132,0.7035647279549718,0.028503736636588325,0.09351432880844646,0.2578065498857578,79,,,,,,,
1,expgrad_dp,0.03600160901045857,2132,0.7030956848030019,0.02899610492807035,0.09351432880844646,0.254543175836571,80,-0.000492368291482026,,,0.0,0.0,0.0,1.2658227848101267
1,expgrad_dp_floor,0.03600160901045857,2132,0.7030956848030019,0.02899610492807035,0.09351432880844646,0.254543175836571,80,-0.000492368291482026,,,0.0,0.0,0.0,1.2658227848101267
2,baseline,0.039621882542236524,2132,0.7063789868667918,0.02697300749277291,0.03867700926524456,0.42334549244398123,97,,,,,,,
2,expgrad_dp,0.039621882542236524,2132,0.7073170731707317,0.02795774407573697,0.04169360051712993,0.41461671940389916,99,-0.000984736582964059,,1.0,0.3333333333333333,1.0,0.0,2.0618556701030926
2,expgrad_dp_floor,0.039621882542236524,2132,0.7049718574108818,0.01608728081079895,0.03566041801335919,0.6486745448738422,96,0.010885726681973958,0.09046126287505614,0.6666666666666666,2.0,2.0,1.0,-1.0309278350515463
3,baseline,0.037409493161705554,2132,0.7049718574108818,0.002300968649302154,0.1313294548588666,0.928103579588728,68,,,,,,,
3,expgrad_dp,0.037409493161705554,2132,0.7045028142589118,0.0008238637748560693,0.134346046110752,0.9730118173107632,65,0.001477104874446085,1.0,1.0,,3.0,0.0,-4.411764705882353
3,expgrad_dp_floor,0.037409493161705554,2132,0.7021575984990619,0.008092389741189775,0.13585434173669467,1.2568069306930691,68,0.010393358390491929,0.04737335834896786,0.75,1.0,3.0,1.0,0.0
4,baseline,0.03881737731295253,2132,0.7059099437148217,0.019587483120542485,0.026610644257703084,0.5027227722772277,82,,,,,,,
4,expgrad_dp,0.03881737731295253,2132,0.7045028142589118,0.009686493021532586,0.025102348631760404,0.7540841584158415,83,0.0099009900990099,0.0,0.6666666666666666,0.6666666666666666,2.0,1.0,1.2195121951219512
4,expgrad_dp_floor,0.03881737731295253,2132,0.7045028142589118,0.009686493021532586,0.025102348631760404,0.7540841584158415,83,0.0099009900990099,0.0,0.6666666666666666,0.6666666666666666,2.0,1.0,1.2195121951219512
