seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.712985889442439,14367,0.8294007099603258,0.0855977775099237,0.025924312148161266,0.8861034203777823,10207,,,,,,,
0,expgrad_dp,0.712985889442439,14367,0.8115820978631586,0.013063417946106659,0.13193495303335795,0.9820453114889758,10363,0.07253435956381704,0.33036090588927586,0.38650306748466257,0.6701902748414377,252.0,400.0,1.5283628882139708
0,expgrad_dp_floor,0.712985889442439,14367,0.8127653650727361,0.016599208200061333,0.12825993575185335,0.9772191649357967,10354,0.06899856930986237,0.3317687090330474,0.396875,0.6865671641791045,254.0,386.0,1.4401881062016264
1,baseline,0.7119417678470212,14367,0.8277302150762164,0.0844172397870444,0.03357527439740815,0.8887443928706383,10319,,,,,,,
1,expgrad_dp,0.7119417678470212,14367,0.8105380385605903,0.009406918670768372,0.15056746363690549,0.9872004221364955,10494,0.07501032111627604,0.317671589328299,0.3662182361733931,0.6435845213849287,245.0,424.0,1.6959007655780598
1,expgrad_dp_floor,0.7119417678470212,14367,0.8116517018166632,0.008358211736317456,0.1473855430023437,0.9886065982353482,10482,0.07605902805072695,0.330892159099435,0.38060781476121563,0.6759443339960238,263.0,428.0,1.5796104273669929
2,baseline,0.7122997523940217,14367,0.8271733834481798,0.09756811791169318,0.018350535416791325,0.8723806967605764,10311,,,,,,,
2,expgrad_dp,0.7122997523940217,14367,0.8124869492587179,0.02280247567040672,0.10305617156954427,0.9690919083182837,10442,0.07476564224128646,0.35810247743362483,0.4121306376360809,0.7042889390519187,265.0,378.0,1.270487828532635
2,expgrad_dp_floor,0.7122997523940217,14367,0.813252592747268,0.019567788334722058,0.1171420536250739,0.9734330463721603,10447,0.07800032957697112,0.35869824066601946,0.4030075187969925,0.7017543859649122,268.0,397.0,1.3189797303850257
3,baseline,0.7142686674025238,14367,0.8269645715876662,0.08846544653312394,0.024947538901369026,0.8831617953319597,10268,,,,,,,
3,expgrad_dp,0.7142686674025238,14367,0.8113732860026449,0.012707929004695084,0.14539140466946598,0.982677330353089,10452,0.07575751752842885,0.31100425510982066,0.35987748851454826,0.6142557651991615,235.0,418.0,1.7919750681729645
3,expgrad_dp_floor,0.7142686674025238,14367,0.8116517018166632,0.016623082150262647,0.14182805776441387,0.9773940608661092,10450,0.07184236438286129,0.30372908775988056,0.3588516746411483,0.6077586206896551,225.0,402.0,1.7724970783015193
4,baseline,0.7128068971689389,14367,0.8272429874016844,0.10085922929065838,0.02814768309238347,0.8687652947567988,10346,,,,,,,
4,expgrad_dp,0.7128068971689389,14367,0.8144358599568455,0.02728728455943541,0.1137462122847005,0.9632794062945447,10488,0.07357194473122297,0.34571702189965875,0.391705069124424,0.6919739696312365,255.0,396.0,1.3725111154069205
4,expgrad_dp_floor,0.7128068971689389,14367,0.8163151667014686,0.028536590904723713,0.11427339237476303,0.9616327692479687,10489,0.07232263838593467,0.342433989380331,0.3837753510140406,0.6864035087719298,246.0,395.0,1.3821766866421805
