seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,,15003,0.799506765313604,0.12046846706507164,0.02409601965856706,0.8199715205707514,9181,,,,,,,
0,postprocess_dp,,15003,0.7841098446977272,0.010088915846221291,0.09857562818940097,0.9832411661491596,8960,0.11037955121885035,0.6084238117296153,0.6320191158900836,1.7175324675324675,529.0,308.0,-2.4071451911556476
1,baseline,,15003,0.7961740985136306,0.11522953723917806,0.022327499130537054,0.827571606224733,9205,,,,,,,
1,postprocess_dp,,15003,0.7780443911217756,0.003788068952795931,0.10410305273375015,1.006524954983856,8737,0.11901760619197399,0.7370653427210611,0.7560175054704595,3.098654708520179,691.0,223.0,-5.084193373166757
2,baseline,,15003,0.7981736985936146,0.11172870449823347,0.019205857972197538,0.8311097667755546,9129,,,,,,,
2,postprocess_dp,,15003,0.7822435512897421,0.0018558206406092959,0.11271373411029859,1.0032470677890004,8588,0.11358452513884276,0.7924396965338542,0.8084378563283923,4.220238095238095,709.0,168.0,-5.926169350421733
3,baseline,,15003,0.7987069252816104,0.11787591217494942,0.020483440798165775,0.8233095032917076,9169,,,,,,,
3,postprocess_dp,,15003,0.7847097247217223,0.013477084578994436,0.10173973830615851,0.9775562377951925,8913,0.10439882759595498,0.6384146382044017,0.6612090680100756,1.9516728624535316,525.0,269.0,-2.7920165775984294
4,baseline,,15003,0.7988402319536093,0.1062620237741011,0.008730946299693843,0.8403231664882499,9227,,,,,,,
4,postprocess_dp,,15003,0.7828434313137372,0.005325779452685864,0.10983647906770364,1.00907052210785,8847,0.11158780322678696,0.7019522826442535,0.7224824355971897,2.6033755274261603,617.0,237.0,-4.118348325566273
