seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.008022519352568614,9135,0.6866995073891625,0.009224023268592821,0.016457182634434818,0.2731167237356444,76,,,,,,,
0,expgrad_dp,0.008022519352568614,9135,0.6869184455391352,0.009200999620470302,0.015969074648643253,0.2866257229741816,78,2.3023648122519683e-05,-9.035490605428103,0.0,0.0,0.0,1.0,2.6315789473684212
0,expgrad_dp_floor,0.008022519352568614,9135,0.6866995073891625,0.009224023268592821,0.016457182634434818,0.2731167237356444,76,0.0,,,,0.0,0.0,0.0
1,baseline,0.008632418484635234,9135,0.6884510125889436,0.006821392631740449,0.0028251499250374814,0.4955317787572871,94,,,,,,,
1,expgrad_dp,0.008632418484635234,9135,0.6886699507389162,0.006798368983617928,0.0028251499250374814,0.5048521256931608,96,2.302364812252055e-05,-9.035490605427762,0.0,0.0,0.0,1.0,2.127659574468085
1,expgrad_dp_floor,0.008632418484635234,9135,0.6884510125889436,0.006821392631740449,0.0028251499250374814,0.4955317787572871,94,0.0,,,,0.0,0.0,0.0
2,baseline,0.008679333802486512,9135,0.6851669403393541,0.006288580232078372,0.008184954254247818,0.3702248921749846,64,,,,,,,
2,expgrad_dp,0.008679333802486512,9135,0.6851669403393541,0.006288580232078372,0.008184954254247818,0.3702248921749846,64,0.0,,,,0.0,0.0,0.0
2,expgrad_dp_floor,0.008679333802486512,9135,0.6851669403393541,0.006288580232078372,0.008184954254247818,0.3702248921749846,64,0.0,,,,0.0,0.0,0.0
3,baseline,0.009758386113065917,9135,0.6879036672140121,0.009293911336171412,0.015054525424729723,0.3430024736327063,89,,,,,,,
3,expgrad_dp,0.009758386113065917,9135,0.6877941981390258,0.009085881379857701,0.014535584065103364,0.3481219135376721,88,0.0002080299563137107,0.9999999999999917,1.0,,1.0,0.0,-1.1235955056179776
3,expgrad_dp_floor,0.009758386113065917,9135,0.6879036672140121,0.009293911336171412,0.015054525424729723,0.3430024736327063,89,0.0,,,,0.0,0.0,0.0
4,baseline,0.00928923293455313,9135,0.6864805692391899,0.010079166741970177,0.017983173339479103,0.24296008548983367,78,,,,,,,
4,expgrad_dp,0.00928923293455313,9135,0.6871373836891078,0.010888262919102495,0.019570830792192993,0.24145101663585952,84,-0.000809096177132318,,0.0,0.0,0.0,1.0,7.6923076923076925
4,expgrad_dp_floor,0.00928923293455313,9135,0.6864805692391899,0.010079166741970177,0.017983173339479103,0.24296008548983367,78,0.0,,,,0.0,0.0,0.0
