seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.8254071358975549,9237,0.6589801883728483,0.045718686941278786,0.016552765473130338,0.9463327020602499,7663,,,,,,,
0,expgrad_dp,0.8254071358975549,9237,0.6564902024466818,0.016278836963101395,0.06114488498072834,0.9804496992270086,7618,0.02943984997817739,0.6530843778183588,0.6153846153846154,1.6923076923076923,96.0,60.0,-0.5872373743964505
0,expgrad_dp_floor,0.8254071358975549,9237,0.6528093536862618,0.01513292032548752,0.06336927197197151,0.9819359112482894,7670,0.030585766615791266,0.4628272572506559,0.4915254237288136,0.9363636363636364,87.0,90.0,0.09134803601722563
1,baseline,0.8264742727230548,9237,0.6645014615134784,0.0483435809716668,0.016854907031659927,0.9430111659429891,7618,,,,,,,
1,expgrad_dp,0.8264742727230548,9237,0.6627692973909278,0.017295845015478428,0.06779180632996207,0.9791648677886843,7590,0.03104773595618837,0.5852373167658299,0.5681818181818182,1.3111111111111111,100.0,76.0,-0.36755053819900235
1,expgrad_dp_floor,0.8264742727230548,9237,0.6596297499188049,0.018191121707342606,0.06581611695618039,0.9781973717293359,7625,0.030152459264324194,0.4624711990080467,0.5027624309392266,0.9391304347826087,91.0,90.0,0.09188763454975059
2,baseline,0.8286549436273373,9237,0.664393201255819,0.04292186788727648,0.022559517160039122,0.9492507617510668,7619,,,,,,,
2,expgrad_dp,0.8286549436273373,9237,0.6615784345566742,0.01522242453969136,0.06896004843525982,0.9816951891904575,7613,0.027699443347585118,0.5110545470557076,0.4935064935064935,1.0689655172413792,76.0,78.0,-0.07875049219057619
2,expgrad_dp_floor,0.8286549436273373,9237,0.6573562845079571,0.014459668500408474,0.06622070881329178,0.9826520631147191,7634,0.028462199386868003,0.43054944366706915,0.5,0.875,89.0,89.0,0.19687623047644048
3,baseline,0.8250823551245766,9237,0.660712352495399,0.052186070066976176,0.006139514455944517,0.9390131679933338,7669,,,,,,,
3,expgrad_dp,0.8250823551245766,9237,0.6563819421890225,0.023598527252250645,0.051173634734008266,0.971957863548857,7667,0.02858754281472553,0.4951781468396642,0.5029940119760479,1.02,84.0,83.0,-0.026079019428869473
3,expgrad_dp_floor,0.8250823551245766,9237,0.6554075998700877,0.026767764522480975,0.046884227882649454,0.9683111982278884,7682,0.0254183055444952,0.4322353110529976,0.47468354430379744,0.8773584905660378,75.0,83.0,0.1695136262876516
4,baseline,0.8286085463740547,9237,0.6632023384215654,0.035985385106423684,0.03780975539074749,0.9575052825078085,7660,,,,,,,
4,expgrad_dp,0.8286085463740547,9237,0.6613619140413555,0.010337877470419587,0.08063899659675933,0.9875688074015508,7635,0.025647507636004097,0.5931312747032864,0.5947712418300654,1.308641975308642,91.0,62.0,-0.3263707571801567
4,expgrad_dp_floor,0.8286085463740547,9237,0.6598462704341236,0.011508890939584071,0.07813523478000484,0.986213216700316,7659,0.024476494166839613,0.4920272300757425,0.53125,1.0097087378640777,85.0,75.0,-0.013054830287206266
