seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,,9500,0.9231578947368421,0.02570849791904551,0.03588195841716968,0.3484088439796559,257,,,,,,,
0,postprocess_dp,,9500,0.92,0.0008125722693859694,0.12407780013413816,0.9759312177796939,317,0.02489592564965954,0.22873337848918057,0.2413793103448276,0.3181818181818182,28.0,88.0,23.346303501945524
1,baseline,,9500,0.9232631578947369,0.026348269335556757,0.06785953818146978,0.33561825475419194,256,,,,,,,
1,postprocess_dp,,9500,0.9209473684210526,0.0017866738414077793,0.09528600172463353,0.9236080410591126,214,0.024561595494148977,0.6624196456640277,0.6779661016949152,2.1052631578947367,80.0,38.0,-16.40625
2,baseline,,9500,0.9216842105263158,0.021471371305233536,0.06759605250550925,0.32323889289850455,203,,,,,,,
2,postprocess_dp,,9500,0.9192631578947369,0.0023483875537057206,0.12733544121874102,1.0895117953610156,260,0.023819758858939256,0.23052933384752092,0.24324324324324326,0.32142857142857145,27.0,84.0,28.07881773399015
3,baseline,,9500,0.9207368421052632,0.02489086676490666,0.05037367059499856,0.4029834542290437,282,,,,,,,
3,postprocess_dp,,9500,0.9181052631578948,0.001958720299187769,0.10019641659480694,0.9455874140615466,333,0.02293214646571889,0.2483208099588404,0.2616822429906542,0.35443037974683544,28.0,79.0,18.085106382978722
4,baseline,,9500,0.923578947368421,0.022062550802407904,0.06064961195745905,0.3801053583117733,237,,,,,,,
4,postprocess_dp,,9500,0.9210526315789473,0.0023294389239734356,0.11365813931206287,1.1013615149484723,229,0.02439198972638134,0.5169448972463178,0.5344827586206896,1.1481481481481481,62.0,54.0,-3.3755274261603376
