seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.2009315424610052,3957,0.8054081374778873,0.2252907140134425,0.2753028898344704,0.29627501538211076,825,,,,,,,
0,expgrad_dp,0.2009315424610052,3957,0.7950467525903462,0.00978014161929161,0.13860428998185437,0.9498170625395731,752,0.2155105723941509,0.5811803087457412,0.585480093676815,1.4124293785310735,250.0,177.0,-8.848484848484848
0,expgrad_dp_floor,0.2009315424610052,3957,0.7952994692949203,0.010818168718875781,0.13896086401851016,0.9513669712547836,859,0.21447254529456672,0.45551467040867016,0.45990566037735847,0.851528384279476,195.0,229.0,4.121212121212121
1,baseline,0.20103986135181975,3957,0.8076825878190549,0.23212564854338966,0.3163326756523324,0.2478526063431724,766,,,,,,,
1,expgrad_dp,0.20103986135181975,3957,0.7942886024766237,0.02955170923182418,0.09486850341914876,0.8532706178439775,739,0.20257393931156548,0.5292607194295413,0.5336658354114713,1.1443850267379678,214.0,187.0,-3.524804177545692
1,expgrad_dp_floor,0.20103986135181975,3957,0.7930250189537529,0.013537784390811186,0.14160743575724438,0.9364201937786844,816,0.21858786415257847,0.4377707936188838,0.44212962962962965,0.7925311203319502,191.0,241.0,6.527415143603133
2,baseline,0.20309792027729637,3957,0.8018701036138489,0.2184644659027387,0.2558062138968788,0.2780545133412808,769,,,,,,,
2,expgrad_dp,0.20309792027729637,3957,0.7975739196360879,0.026241417051338783,0.09615216995110976,0.859576760229297,688,0.19222304885139993,0.6020686052863472,0.6062992125984252,1.54,231.0,150.0,-10.533159947984394
2,expgrad_dp_floor,0.20309792027729637,3957,0.7963103361132171,0.01927235398895702,0.12602118842164478,0.9064048210171333,777,0.1991921119137817,0.4854277905111015,0.48984771573604063,0.9601990049751243,193.0,201.0,1.0403120936280885
3,baseline,0.20028162911611785,3957,0.8061662875916098,0.22684737143844036,0.29223223270814025,0.2880701990705551,816,,,,,,,
3,expgrad_dp,0.20028162911611785,3957,0.7965630528177913,0.006872490519028884,0.1667142098715541,0.9631250239892967,724,0.21997488091941148,0.6012710565192749,0.6055045871559633,1.5348837209302326,264.0,172.0,-11.27450980392157
3,expgrad_dp_floor,0.20028162911611785,3957,0.7955521859994946,0.011569543983428354,0.15146472690390728,0.9446215592543813,804,0.215277827455012,0.5096643726613429,0.5140845070422535,1.0579710144927537,219.0,207.0,-1.4705882352941178
4,baseline,0.1994150779896014,3957,0.8001010866818297,0.23191104289149433,0.2866815635375314,0.27672743498215197,814,,,,,,,
4,expgrad_dp,0.1994150779896014,3957,0.7851908011119535,0.00035052256476236776,0.18484798060237234,0.9980565471131508,713,0.23156052032673197,0.6058051731975233,0.6100217864923747,1.5642458100558658,280.0,179.0,-12.407862407862408
4,expgrad_dp_floor,0.1994150779896014,3957,0.7829163507707859,0.0024674540309584103,0.1836237430765208,1.012628303194341,778,0.23437849692245274,0.5343941643394223,0.5387931034482759,1.1682242990654206,250.0,214.0,-4.422604422604422
