seed,arm,floor_target,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.5695407279029463,0.7836745008845085,0.20786016185950057,0.13966565537737596,0.67345193585129,2239,,,,,,,
0,expgrad_dp,0.5695407279029463,0.7311094263330806,0.024857116679177116,0.11254448347756552,0.9596631872906579,2405,0.18300304518032345,0.11092020953219052,0.4266666666666667,0.5818639798488665,192.0,258.0,7.414024117909781
0,expgrad_dp_floor,0.5695407279029463,0.7311094263330806,0.021793156510659273,0.11631451175277757,0.9644585061528224,2397,0.1860670053488413,0.12556066155387144,0.4310722100656455,0.601010101010101,197.0,260.0,7.056721750781599
1,baseline,0.5680242634315424,0.7854435178165277,0.20527138867848504,0.12558479351123775,0.6777128106797808,2244,,,,,,,
1,expgrad_dp,0.5680242634315424,0.7407126611068992,0.05128917945166267,0.08331762488218664,0.9170284711596709,2377,0.15398220922682238,0.1218761318362913,0.46568627450980393,0.6295264623955432,190.0,218.0,5.926916221033868
1,expgrad_dp_floor,0.5680242634315424,0.7407126611068992,0.050523189409533265,0.08426013195098964,0.9181662236052783,2375,0.15474819926895178,0.12622276812638808,0.4669926650366748,0.6340782122905028,191.0,218.0,5.837789661319073
2,baseline,0.5715987868284229,0.7879706848622694,0.20130315051818143,0.1326010773326729,0.6797059561225035,2216,,,,,,,
2,expgrad_dp,0.5715987868284229,0.7343947434925449,0.021170860737205643,0.12613829149173167,0.9642681852715941,2316,0.18013228978097579,0.19986162405340432,0.4611973392461197,0.7198879551820728,208.0,243.0,4.512635379061372
2,expgrad_dp_floor,0.5715987868284229,0.7303512762193581,0.014193579227897879,0.13071944706251964,0.9761522294954689,2336,0.18710957129028355,0.17808050439566953,0.44759825327510916,0.6765498652291105,205.0,253.0,5.415162454873646
3,baseline,0.5691074523396881,0.7874652514531211,0.19478682884106163,0.13211689678657668,0.6987035485165807,2296,,,,,,,
3,expgrad_dp,0.5691074523396881,0.7379327773565832,0.011368919811769018,0.14324622283151972,0.9814357413204947,2408,0.18341790902929261,0.18584094135168083,0.4841628959276018,0.6827195467422096,214.0,228.0,4.878048780487805
3,expgrad_dp_floor,0.5691074523396881,0.7354056103108415,0.010242982740184314,0.14068831576842883,0.9832638123062445,2408,0.18454384610087732,0.18678245102241575,0.4899328859060403,0.6862745098039216,219.0,228.0,4.878048780487805
4,baseline,0.567157712305026,0.7821582006570634,0.20134384018238077,0.10455204012135466,0.6923880826704528,2319,,,,,,,
4,expgrad_dp,0.567157712305026,0.7268132423553196,0.02227716433445659,0.11739753805729297,0.9645978843108545,2460,0.17906667584792418,0.14116345920074752,0.4725274725274725,0.6375321336760925,215.0,240.0,6.0802069857697285
4,expgrad_dp_floor,0.567157712305026,0.7252969421278747,0.00881201545865784,0.13328877845371723,0.985927723325654,2466,0.19253182472372293,0.1472049184567752,0.46794871794871795,0.6269035532994924,219.0,249.0,6.338939197930142
