seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.31744653132124634,3948,0.7801418439716312,0.2135239239156321,0.13362047820413447,0.47774279057202673,1331,,,,,,,
0,expgrad_dp,0.31744653132124634,3948,0.7221377912867275,0.044044303163969345,0.04481324136848408,0.8652460176243552,1232,0.16947962075166276,0.48382498192593204,0.659047619047619,1.3193548387096774,346.0,179.0,-7.43801652892562
0,expgrad_dp_floor,0.31744653132124634,3948,0.7216312056737588,0.04721621089907535,0.04394493882636885,0.8613651679984596,1282,0.16630771301655675,0.4104950762174558,0.620889748549323,1.1449704142011834,321.0,196.0,-3.681442524417731
1,baseline,0.3170122679405059,3948,0.7854609929078015,0.19249579782625953,0.14881822552318902,0.49778708268611693,1258,,,,,,,
1,expgrad_dp,0.3170122679405059,3948,0.7297365754812564,0.0004521435400423046,0.06967365396511066,0.9985254721865785,1210,0.19204365428621722,0.39917506874427117,0.629277566539924,1.1476923076923078,331.0,195.0,-3.8155802861685215
1,expgrad_dp_floor,0.3170122679405059,3948,0.7307497467071935,0.010444170627237015,0.08953245832005052,1.0336834137572146,1238,0.20293996845349654,0.36082859961223157,0.591796875,1.0625,303.0,209.0,-1.589825119236884
2,baseline,0.31516664857235915,3948,0.7915400202634245,0.1984599507819322,0.1609204988079237,0.4738503630432495,1226,,,,,,,
2,expgrad_dp,0.31516664857235915,3948,0.7396149949341438,0.018760505434351205,0.05737762023691648,0.9356992872563806,1127,0.179699445347581,0.47541030836750575,0.6519230769230769,1.3344594594594594,339.0,181.0,-8.075040783034257
2,expgrad_dp_floor,0.31516664857235915,3948,0.7335359675785208,0.031900279914817586,0.04848427910629574,0.9003068725427275,1221,0.16655967086711462,0.3434699269543594,0.5987525987525988,1.0151057401812689,288.0,193.0,-0.4078303425774878
3,baseline,0.31462381934643363,3948,0.7847011144883486,0.19816484946381296,0.15099634037459653,0.4845354808590103,1255,,,,,,,
3,expgrad_dp,0.31462381934643363,3948,0.725177304964539,0.013281285054067393,0.059573774091190246,0.9567946285213837,1196,0.18488356440974557,0.4166970027909233,0.6330798479087453,1.1820987654320987,333.0,193.0,-4.701195219123506
3,expgrad_dp_floor,0.31462381934643363,3948,0.7282168186423505,0.015655901508640768,0.06006303980205588,0.9506613296206057,1232,0.1825089479551722,0.3677865294968655,0.6179775280898876,1.0642458100558658,330.0,204.0,-1.8326693227091633
4,baseline,0.31668657040495063,3948,0.7938196555217831,0.19211440957301773,0.12800349283282486,0.49828288655333414,1257,,,,,,,
4,expgrad_dp,0.31668657040495063,3948,0.7365754812563323,0.03745715853671161,0.04126154057474751,0.8796413361724781,1179,0.15465725103630612,0.4636122207592223,0.6553784860557769,1.2484076433121019,329.0,173.0,-6.205250596658711
4,expgrad_dp_floor,0.31668657040495063,3948,0.7297365754812564,0.02230344699048431,0.04628984625648769,0.934070306641432,1306,0.16981096258253342,0.2627770607424871,0.5794573643410853,0.8771929824561403,299.0,217.0,3.898170246618934
