seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.10085767017696233,3948,0.7738095238095238,0.08484766904473462,0.06830156098231019,0.3661806602983073,416,,,,,,,
0,expgrad_dp,0.10085767017696233,3948,0.7310030395136778,0.01625818431579637,0.023645300864378008,0.769573193102605,257,0.06858948472893825,0.9230343439426342,0.821917808219178,4.0,180.0,39.0,-38.22115384615385
0,expgrad_dp_floor,0.10085767017696233,3948,0.7315096251266464,0.026622970962720593,0.05986872442922597,0.7783954607484019,439,0.058224698082014026,0.235810189987848,0.49673202614379086,0.8034188034188035,76.0,77.0,5.528846153846154
1,baseline,0.0979263923569645,3948,0.7788753799392097,0.08899979636283312,0.12688009575856285,0.33705265322912376,412,,,,,,,
1,expgrad_dp,0.0979263923569645,3948,0.7408814589665653,0.019386948583341106,0.037253613021594745,0.759087302438292,292,0.069612847779492,0.7724973969953891,0.7828282828282829,3.1052631578947367,155.0,43.0,-29.12621359223301
1,expgrad_dp_floor,0.0979263923569645,3948,0.743920972644377,0.03308931388080669,0.08775742472258471,0.7354872530625759,450,0.05591048248202643,0.16371380949441322,0.45384615384615384,0.6415094339622641,59.0,71.0,9.223300970873787
2,baseline,0.09684073390511345,3948,0.7811550151975684,0.08512551297582932,0.136706140910295,0.3195149541993157,381,,,,,,,
2,expgrad_dp,0.09684073390511345,3948,0.7494934143870314,0.025064628914406813,0.06170344279505116,0.695743254566784,292,0.06006088406142251,0.711203057207712,0.75,2.5892857142857144,126.0,42.0,-23.35958005249344
2,expgrad_dp_floor,0.09684073390511345,3948,0.7487335359675785,0.023875594948417678,0.10087517047182676,0.784131689811203,405,0.06124991802741164,0.2366167023554605,0.4930555555555556,0.7735849056603774,71.0,73.0,6.299212598425197
3,baseline,0.10118336771251764,3948,0.7750759878419453,0.07148182279424709,0.06481363382161043,0.39927775844065433,375,,,,,,,
3,expgrad_dp,0.10118336771251764,3948,0.7345491388044579,0.0030045110809682057,0.019894166601571988,0.9541986741029149,255,0.06847731171327888,0.7797379032258065,0.7688442211055276,3.0338983050847457,153.0,46.0,-32.0
3,expgrad_dp_floor,0.10118336771251764,3948,0.7365754812563323,0.014063044686277948,0.046603808757591514,0.8719676973353445,415,0.05741877810796914,0.15941332050973808,0.4492753623188406,0.6491228070175439,62.0,76.0,10.666666666666666
4,baseline,0.09846922158289002,3948,0.7771023302938197,0.07873682829935355,0.06496080374400284,0.38003614474202707,397,,,,,,,
4,expgrad_dp,0.09846922158289002,3948,0.7426545086119554,0.024206936779288375,0.021663412576160446,0.6694240196078431,257,0.054529891520065175,0.9861700107601746,0.8315217391304348,4.255813953488372,153.0,31.0,-35.26448362720403
4,expgrad_dp_floor,0.09846922158289002,3948,0.7380952380952381,0.007708874783851238,0.036478532477320656,0.9328482734775484,443,0.07102795351550231,0.17182564750473786,0.41830065359477125,0.6198347107438017,64.0,89.0,11.586901763224182
