seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.4845440494590417,1665,0.7195195195195195,0.11251629726205997,0.03694160526107282,0.7899221032132424,804,,,,,,,
0,expgrad_dp,0.4845440494590417,1665,0.7183183183183183,0.019817470664928283,0.08249534450651763,0.9588299024918744,786,0.09269882659713169,0.5850914205344582,0.5526315789473685,1.2727272727272727,63.0,51.0,-2.2388059701492535
0,expgrad_dp_floor,0.4845440494590417,1665,0.6954954954954955,0.024467622772707476,0.08805090006207328,0.9514487754398069,820,0.0880486744893525,0.3593287265547878,0.4918032786885246,0.8297872340425532,60.0,62.0,1.9900497512437811
1,baseline,0.4809376609994848,1665,0.7087087087087087,0.14704476314645798,0.11236510577608749,0.7305701544831981,794,,,,,,,
1,expgrad_dp,0.4809376609994848,1665,0.7117117117117117,0.06468926553672316,0.12129112352576032,0.8656103286384976,751,0.08235549760973482,0.7820580474934036,0.6907216494845361,2.075,67.0,30.0,-5.415617128463476
1,expgrad_dp_floor,0.4809376609994848,1665,0.6954954954954955,0.060517166449369886,0.12135319677219125,0.8796456352636127,790,0.0865275966970881,0.49623304871923635,0.5963302752293578,1.056338028169014,65.0,44.0,-0.5037783375314862
2,baseline,0.4714064914992272,1665,0.7003003003003003,0.14267709691438507,0.07359163299263133,0.7358384293530736,788,,,,,,,
2,expgrad_dp,0.4714064914992272,1665,0.6858858858858858,0.025858322468491957,0.07934512725015519,0.9455128205128205,770,0.11681877444589311,0.5610119047619045,0.5691056910569106,1.2769230769230768,70.0,53.0,-2.284263959390863
2,expgrad_dp_floor,0.4714064914992272,1665,0.6684684684684684,0.028161668839634946,0.0515673494723774,0.9442436757873,819,0.11451542807475013,0.3058823529411761,0.4144144144144144,0.6125,46.0,65.0,3.934010152284264
3,baseline,0.4685729005667182,1665,0.6858858858858858,0.07346805736636247,0.03215394165114838,0.8589604538628399,810,,,,,,,
3,expgrad_dp,0.4685729005667182,1665,0.6804804804804805,0.00949587136027813,0.11835816263190568,1.0205976621417798,775,0.0829639287266406,0.7218438973284446,0.62,1.7446808510638299,62.0,38.0,-4.320987654320987
3,expgrad_dp_floor,0.4685729005667182,1665,0.6768768768768769,0.023381138635375942,0.12681564245810062,1.049860982391103,799,0.09684919600173841,0.5366838680726947,0.5272727272727272,1.171875,58.0,52.0,-1.3580246913580247
4,baseline,0.47295208655332305,1665,0.7123123123123123,0.12657540199913087,0.05023056810078441,0.7505139626520472,746,,,,,,,
4,expgrad_dp,0.47295208655332305,1665,0.7171171171171171,0.04519774011299432,0.034738927184850665,0.8984771573604061,706,0.08137766188613654,0.7636849132176232,0.6853932584269663,2.176470588235294,61.0,28.0,-5.361930294906166
4,expgrad_dp_floor,0.47295208655332305,1665,0.6870870870870871,0.012755323772272953,0.06810986964618249,0.9721272554605888,752,0.11382007822685791,0.4368079419625813,0.47863247863247865,0.9178082191780822,56.0,61.0,0.8042895442359249
