seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.2985574446161772,1665,0.7687687687687688,0.09658843980877879,0.04523587833643705,0.7233632063729151,506,,,,,,,
0,expgrad_dp,0.2985574446161772,1665,0.7693693693693694,0.021164710995219493,0.13983550589695837,0.9271176294522597,467,0.0754237288135593,0.7790262172284644,0.7157894736842105,1.9069767441860466,68.0,27.0,-7.707509881422925
0,expgrad_dp_floor,0.2985574446161772,1665,0.7573573573573573,0.03274663189917426,0.12319987585350711,0.8972313147845064,505,0.06384180790960453,0.47787610619469045,0.5806451612903226,1.0151515151515151,54.0,39.0,-0.1976284584980237
1,baseline,0.3047398248325605,1665,0.757957957957958,0.1264232942199044,0.10021075984470326,0.6629981464318814,526,,,,,,,
1,expgrad_dp,0.3047398248325605,1665,0.7543543543543544,0.05182529335071706,0.11474239602731229,0.8379315031258494,492,0.07459800086918733,0.7422079813574136,0.6629213483146067,1.85,59.0,30.0,-6.4638783269961975
1,expgrad_dp_floor,0.3047398248325605,1665,0.7465465465465465,0.0318339852238157,0.15662631905648672,0.9021768162393163,517,0.0945893089960887,0.52561451872272,0.5631067961165048,1.152542372881356,58.0,45.0,-1.7110266159695817
2,baseline,0.30602782071097373,1665,0.7513513513513513,0.14702303346371143,0.08639568972347675,0.597165991902834,493,,,,,,,
2,expgrad_dp,0.30602782071097373,1665,0.7363363363363363,0.04461103867883531,0.08375232774674118,0.8498830067271131,460,0.10241199478487611,0.6619987269255252,0.6952380952380952,1.7333333333333334,73.0,32.0,-6.693711967545639
2,expgrad_dp_floor,0.30602782071097373,1665,0.7297297297297297,0.041351586266840545,0.07825884543761641,0.8674052396878482,487,0.10567144719687088,0.5025704297758585,0.5966386554621849,1.0833333333333333,71.0,48.0,-1.2170385395537526
3,baseline,0.30370942812983,1665,0.7375375375375376,0.09009126466753586,0.034574122494255594,0.7492743105950653,528,,,,,,,
3,expgrad_dp,0.30370942812983,1665,0.7255255255255255,0.003498478922207726,0.15909373060211046,1.0119542619542619,490,0.09358974358974359,0.7123287671232875,0.6666666666666666,1.6551724137931034,78.0,39.0,-7.196969696969697
3,expgrad_dp_floor,0.30370942812983,1665,0.7273273273273273,0.013885267275097757,0.0979826194909994,0.9573317307692308,531,0.07620599739243811,0.44482463644140297,0.5,0.9615384615384616,54.0,54.0,0.5681818181818182
4,baseline,0.2975270479134467,1665,0.7585585585585586,0.10149934810951758,0.03903969574518659,0.7025598573611819,489,,,,,,,
4,expgrad_dp,0.2975270479134467,1665,0.7543543543543544,0.031486310299869646,0.10628491620111724,0.8948476052249636,474,0.07001303780964793,0.5971446306641837,0.5882352941176471,1.3125,50.0,35.0,-3.067484662576687
4,expgrad_dp_floor,0.2975270479134467,1665,0.7501501501501502,0.04196001738374622,0.07560521415270016,0.8634756787330317,479,0.05953933072577136,0.5693430656934305,0.5930232558139535,1.1785714285714286,51.0,35.0,-2.044989775051125
