seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.01898699445755364,15621,0.68670379617182,0.018610040700220973,0.033799227082601406,0.2495197154810387,246,,,,,,,
0,expgrad_dp,0.01898699445755364,15621,0.6868318289482107,0.01885222424000827,0.03388672716546133,0.2510440617521468,250,-0.00024218353978729817,,0.5,0.2,1.0,1.0,1.6260162601626016
0,expgrad_dp_floor,0.01898699445755364,15621,0.68670379617182,0.018610040700220973,0.033799227082601406,0.2495197154810387,246,0.0,,,,0.0,0.0,0.0
1,baseline,0.017285847555287275,15621,0.688560271429486,0.020331409054445772,0.03533478724885156,0.3057040099492454,303,,,,,,,
1,expgrad_dp,0.017285847555287275,15621,0.688560271429486,0.020331409054445772,0.03533478724885156,0.3057040099492454,303,0.0,,,,0.0,0.0,0.0
1,expgrad_dp_floor,0.017285847555287275,15621,0.688560271429486,0.020331409054445772,0.03533478724885156,0.3057040099492454,303,0.0,,,,0.0,0.0,0.0
2,baseline,0.01857542665861823,15621,0.6895205172524166,0.021231833773801265,0.03582034642078259,0.28409468052623893,302,,,,,,,
2,expgrad_dp,0.01857542665861823,15621,0.6895205172524166,0.021231833773801265,0.03582034642078259,0.28409468052623893,302,0.0,,,,0.0,0.0,0.0
2,expgrad_dp_floor,0.01857542665861823,15621,0.6895205172524166,0.021231833773801265,0.03582034642078259,0.28409468052623893,302,0.0,,,,0.0,0.0,0.0
3,baseline,0.018493113098831147,15621,0.6879841239357275,0.018981805475582328,0.03129752016810622,0.3107285568255738,286,,,,,,,
3,expgrad_dp,0.018493113098831147,15621,0.6883682222648998,0.01792158194425989,0.02871693060315398,0.35215903106898366,296,0.0010602235313224365,-0.11753237710625193,0.26666666666666666,0.375,4.0,11.0,3.4965034965034967
3,expgrad_dp_floor,0.018493113098831147,15621,0.6883682222648998,0.018184878416087166,0.029250548532716414,0.34264121941847064,294,0.0007969270594951616,-0.1563638609275599,0.1111111111111111,0.2,1.0,8.0,2.797202797202797
4,baseline,0.01860286451188059,15621,0.6881121567121183,0.018269330144247097,0.030811960996175183,0.30185059805912884,270,,,,,,,
4,expgrad_dp,0.01860286451188059,15621,0.6881121567121183,0.018269330144247097,0.030811960996175183,0.30185059805912884,270,0.0,,,,0.0,0.0,0.0
4,expgrad_dp_floor,0.01860286451188059,15621,0.6881121567121183,0.018269330144247097,0.030811960996175183,0.30185059805912884,270,0.0,,,,0.0,0.0,0.0
