seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.7875487021895407,15621,0.8371423084309583,0.07071970543549022,0.015600972617325848,0.9139045795153431,12294,,,,,,,
0,expgrad_dp,0.7875487021895407,15621,0.8350937840087063,0.028174033907229168,0.07147171634804145,0.9648197248565815,12296,0.04254567152826105,0.4833231990739974,0.4847715736040609,0.9912663755458515,191.0,203.0,0.016268098259313486
0,expgrad_dp_floor,0.7875487021895407,15621,0.8334293579156264,0.02762649592357591,0.0690385304765394,0.9655195204089636,12306,0.04309320951191431,0.4685061041764218,0.4731457800511509,0.9475982532751092,185.0,206.0,0.09760858955588092
1,baseline,0.7883443999341492,15621,0.8395109147941873,0.07058807452855331,0.016372465212532772,0.9140648293101029,12295,,,,,,,
1,expgrad_dp,0.7883443999341492,15621,0.8343255873503617,0.0216345172721929,0.07558699131905461,0.9729602232722623,12334,0.048953557256360414,0.43533234342908267,0.4592760180995475,0.8560885608856088,203.0,239.0,0.31720211468076454
1,expgrad_dp_floor,0.7883443999341492,15621,0.8353498495614877,0.020672532225621376,0.08031286069387161,0.9741101297676937,12316,0.04991554230293194,0.4594001251492064,0.47216035634743875,0.9207547169811321,212.0,237.0,0.17080113867425784
2,baseline,0.7872468858036548,15621,0.835221816785097,0.059111086511427935,0.012303148960085497,0.9276639685576181,12316,,,,,,,
2,expgrad_dp,0.7872468858036548,15621,0.830996735164202,0.013129001832202447,0.08854341063589793,0.9835240677664072,12348,0.04598208467922549,0.44178201071640866,0.4777777777777778,0.8885017421602788,215.0,235.0,0.25982461838259174
2,expgrad_dp_floor,0.7872468858036548,15621,0.8308687023878113,0.012630497345662017,0.09765111554941025,0.9841397322845709,12344,0.04648058916576592,0.4477689006659535,0.47757847533632286,0.899641577060932,213.0,233.0,0.2273465410847678
3,baseline,0.7894144762113812,15621,0.8391268164650151,0.06389036785917102,0.008215755764982569,0.9219701199844766,12305,,,,,,,
3,expgrad_dp,0.7894144762113812,15621,0.8357979642788553,0.015138489362765961,0.08981318437456093,0.9809874411258672,12323,0.048751878496405054,0.46269659163216853,0.4766949152542373,0.9381443298969072,225.0,247.0,0.14628199918732224
3,expgrad_dp_floor,0.7894144762113812,15621,0.8363100953844184,0.016433784076229863,0.08745747177149854,0.9793703561596263,12319,0.04745658378294115,0.4674472514184853,0.485838779956427,0.9501779359430605,223.0,236.0,0.11377488825680618
4,baseline,0.7863414366459969,15621,0.8369502592663722,0.0654039756471011,0.013653022179677565,0.9206889072703129,12385,,,,,,,
4,expgrad_dp,0.7863414366459969,15621,0.8304205876704437,0.020530976505786058,0.06209285499499051,0.974442979292208,12393,0.04487299914131504,0.4749195999243971,0.49295774647887325,0.9686274509803922,210.0,216.0,0.06459426725878079
4,expgrad_dp_floor,0.7863414366459969,15621,0.8302285385058575,0.019721636722057068,0.0653743075005942,0.9753893603331593,12368,0.04568233892504403,0.5101552436709038,0.5199063231850117,1.0708333333333333,222.0,205.0,-0.13726281792490916
