seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.16789282969144614,15613,0.7648113751361045,0.09359678208163617,0.08197738416395528,0.5064133823856316,2600,,,,,,,
0,expgrad_dp,0.16789282969144614,15613,0.7137001216934605,0.02386295421360861,0.019685512866070343,0.7836327358889459,1630,0.06973382786802756,1.1377080123010548,0.9154545454545454,6.808383233532934,1007.0,93.0,-37.30769230769231
0,expgrad_dp_floor,0.16789282969144614,15613,0.7339396656632293,0.022323668631740262,0.03491071800539339,0.8877132835289712,3018,0.07127311344989591,-0.12885186327441356,0.5588599752168525,0.5431693989071038,451.0,356.0,16.076923076923077
1,baseline,0.17019874821565828,15613,0.7577019150707743,0.07924527843839327,0.04345616951189302,0.5695498963346398,2569,,,,,,,
1,expgrad_dp,0.17019874821565828,15613,0.705950169730353,0.004919613835671827,0.05575326068816597,0.9508873864961794,1545,0.07432566460272144,1.1292004165341614,0.9154315605928509,7.4,1050.0,97.0,-39.85986765278319
1,expgrad_dp_floor,0.17019874821565828,15613,0.7297124191378979,0.008480184183717598,0.06738553029872829,0.9593945578173783,3228,0.07076509425467567,-0.349676605674113,0.5116851168511685,0.40307971014492755,416.0,397.0,25.65200467107824
2,baseline,0.17088503349072143,15613,0.7624415551143278,0.09700776495389228,0.10067174007435781,0.508694523747729,2709,,,,,,,
2,expgrad_dp,0.17088503349072143,15613,0.7082559405623519,0.020367820110135937,0.042402770775921916,0.8780419732712839,2529,0.07663994484375634,0.3972103181025233,0.6895306859205776,1.3805496828752644,573.0,258.0,-6.644518272425249
2,expgrad_dp_floor,0.17088503349072143,15613,0.7324024851085634,0.016958404176620034,0.039324755034472816,0.9147367109375582,3040,0.08004936077727225,-0.018058585568405276,0.573170731707317,0.6045400238948626,470.0,350.0,12.218530823181986
3,baseline,0.16975952563961788,15613,0.7610324729392173,0.0879719796041957,0.07533313611037479,0.5362839622835762,2623,,,,,,,
3,expgrad_dp,0.16975952563961788,15613,0.713059629795683,0.02382746636157708,0.009460329229549307,0.7878796332989051,1662,0.06414451324261862,1.2063534115266974,0.9175355450236967,7.627586206896551,968.0,87.0,-36.6374380480366
3,expgrad_dp_floor,0.16975952563961788,15613,0.7322103375392301,0.015674022009530525,0.03674845680962739,0.9208899146643438,3033,0.07229795759466517,-0.1164399054553645,0.540920716112532,0.5346197502837684,423.0,359.0,15.63095691955776
4,baseline,0.16855166355550674,15613,0.762633702683661,0.08489376155341452,0.050523959241800864,0.5592270923319406,2680,,,,,,,
4,expgrad_dp,0.16855166355550674,15613,0.7090885800294626,0.01447829326384073,0.03059006581876038,0.9108561629409597,2480,0.07041546828957379,0.42869948270161085,0.7110036275695284,1.423728813559322,588.0,239.0,-7.462686567164179
4,expgrad_dp_floor,0.16855166355550674,15613,0.7356689937872286,0.012698581898370559,0.061791209328034225,0.936534074320086,3075,0.07219517965504396,-0.10364948509074186,0.56625,0.5551801801801802,453.0,347.0,14.738805970149254
