seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.33162283515073765,1337,0.7599102468212415,0.413134345931944,0.42644293655984306,0.1879773200647998,434,,,,,,,
0,expgrad_dp,0.33162283515073765,1337,0.7195213163799551,0.0040599045367678555,0.20333960104643556,1.0132528161310352,412,0.41719425046871184,0.4852155790022144,0.539568345323741,1.171875,150.0,128.0,-5.0691244239631335
0,expgrad_dp_floor,0.33162283515073765,1337,0.7232610321615557,0.019466257279750765,0.16319898626553309,0.937825445498727,407,0.3936680886521932,0.49707232339035307,0.5513307984790875,1.228813559322034,145.0,118.0,-6.221198156682028
1,baseline,0.33899935856318153,1337,0.762902019446522,0.4040522058890127,0.4421599084368868,0.1994580626637476,434,,,,,,,
1,expgrad_dp,0.33899935856318153,1337,0.7569184741959611,0.029714516026773163,0.12416203400915637,0.9143250724675529,446,0.37433768986223953,0.421797593772116,0.47560975609756095,0.9069767441860465,117.0,129.0,2.7649769585253456
1,expgrad_dp_floor,0.33899935856318153,1337,0.7539267015706806,0.030115298571674387,0.1372220405493787,0.9161073825503356,462,0.3739369073173383,0.3897689289347478,0.4426229508196721,0.7941176470588235,108.0,136.0,6.451612903225806
2,baseline,0.34124438742783836,1337,0.7756170531039641,0.42192439022181166,0.47189748201438847,0.1900363389783357,445,,,,,,,
2,expgrad_dp,0.34124438742783836,1337,0.7359760658189978,0.01055394034906576,0.18001962066710264,1.0304298435745436,470,0.4324783305708774,0.4025382464737851,0.4558303886925795,0.8376623376623377,129.0,154.0,5.617977528089888
2,expgrad_dp_floor,0.34124438742783836,1337,0.7270007479431563,0.011210589716418029,0.13117233485938518,1.032073540462802,474,0.4331349799382297,0.3956965413408055,0.44876325088339225,0.8141025641025641,127.0,156.0,6.51685393258427
3,baseline,0.3354714560615779,1337,0.7673896783844428,0.42196061915242417,0.45902141922825374,0.20032527163185088,454,,,,,,,
3,expgrad_dp,0.3354714560615779,1337,0.7389678384442783,0.0005592841163311046,0.1983935578809679,1.0016778523489933,446,0.42251990326875527,0.45993569131832795,0.5142857142857142,1.0588235294117647,144.0,136.0,-1.7621145374449338
3,expgrad_dp_floor,0.3354714560615779,1337,0.7329842931937173,0.004243313497993839,0.20407537606278603,1.012678610088764,450,0.426203932650418,0.4527937012224601,0.5070921985815603,1.0287769784172662,143.0,139.0,-0.8810572687224669
4,baseline,0.3290570878768441,1337,0.7591623036649214,0.4229093642728401,0.46223021582733814,0.18178632134158096,439,,,,,,,
4,expgrad_dp,0.3290570878768441,1337,0.7337322363500374,0.0017752176000144781,0.18533355134074558,0.9946308724832215,441,0.4211341466728256,0.4422220788437963,0.49640287769784175,0.9857142857142858,138.0,140.0,0.45558086560364464
4,expgrad_dp_floor,0.3290570878768441,1337,0.7329842931937173,0.006942368828628087,0.18684597776324396,1.0209117695203798,448,0.4298517331014682,0.4301140972829464,0.4840989399293286,0.9383561643835616,137.0,146.0,2.050113895216401
