seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.5752293577981651,2337,0.7385537013264869,0.031671771526340264,0.05316867303168671,0.9440002701060167,1318,,,,,,,
0,expgrad_dp,0.5752293577981651,2337,0.7107402652973898,0.0580311791080117,0.09426456344264567,1.103513815466783,1317,0.08970295063435196,0.05526226158038098,0.8735632183908046,1.013157894736842,76.0,11.0,-0.07587253414264036
0,expgrad_dp_floor,0.5752293577981651,2337,0.691484809584938,0.04063137311813991,0.09388404593884048,1.0724184875093594,1316,0.07230314464448018,0.062328332981195764,0.9130434782608695,1.019047619047619,105.0,10.0,-0.15174506828528073
1,baseline,0.5592660550458716,2337,0.7154471544715447,0.08900405588102744,0.07256786550916355,0.8488905891354247,1366,,,,,,,
1,expgrad_dp,0.5592660550458716,2337,0.7013264869490801,0.006282414585895402,0.05240763802407633,1.0111883450771284,1313,0.09528647046692285,0.28849699398797585,0.9038461538461539,2.2325581395348837,94.0,10.0,-3.8799414348462666
1,expgrad_dp_floor,0.5592660550458716,2337,0.676936243046641,0.012866537835794056,0.0723329182233291,1.0224986977601473,1338,0.1018705937168215,0.168103771462847,0.9083333333333333,1.3414634146341464,109.0,11.0,-2.049780380673499
2,baseline,0.5601834862385321,2337,0.7270004278990159,0.11425210623200255,0.1072713435727134,0.8002163721601153,1323,,,,,,,
2,expgrad_dp,0.5601834862385321,2337,0.7171587505348738,0.012832165962679776,0.03097009783657162,0.9768875192604006,1296,0.10141994026932277,0.16440729025455686,0.8924731182795699,1.4821428571428572,83.0,10.0,-2.0408163265306123
2,expgrad_dp_floor,0.5601834862385321,2337,0.6936243046640993,0.022208049128863983,0.015532032655320327,0.9600651045243523,1297,0.09204405710313857,0.17136218414173693,0.9152542372881356,1.3132530120481927,108.0,10.0,-1.965230536659108
3,baseline,0.5669724770642202,2337,0.7244330338040222,0.14913955744303814,0.19823963070139178,0.7434568387859677,1341,,,,,,,
3,expgrad_dp,0.5669724770642202,2337,0.7188703465982028,0.09865491403212628,0.13373294749896653,0.8278968127065345,1328,0.050484643410911856,0.16067781223995653,0.8863636363636364,1.5,39.0,5.0,-0.9694258016405667
3,expgrad_dp_floor,0.5669724770642202,2337,0.699614890885751,0.08576164251724316,0.11480294887694642,0.8514402148745023,1339,0.06337791492579498,0.06399517927086504,0.8787878787878788,1.0350877192982457,58.0,8.0,-0.14914243102162567
4,baseline,0.5656880733944954,2337,0.7265725288831836,0.08882837741844324,0.07506545404437098,0.8446728372801218,1326,,,,,,,
4,expgrad_dp,0.5656880733944954,2337,0.7214377406931964,0.025450462492648263,0.04531617545316169,0.9551789077212806,1324,0.06337791492579498,0.06399517927086504,0.8297872340425532,1.0526315789473684,39.0,8.0,-0.15082956259426847
4,expgrad_dp_floor,0.5656880733944954,2337,0.7098844672657253,0.08215641493725223,0.07770084056772769,0.8567909782044284,1331,0.006671962481191007,-0.2701774470520828,0.9649122807017544,0.9180327868852459,55.0,2.0,0.3770739064856712
