seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.3007339449541284,2337,0.8065896448438169,0.010735481702706218,0.12522485125224847,0.9650703315274118,717,,,,,,,
0,expgrad_dp,0.3007339449541284,2337,0.810012836970475,0.017842821243345186,0.18078040680780405,1.0586566227244192,713,0.028578302946051404,0.1103835360149667,0.8695652173913043,1.25,20.0,3.0,-0.5578800557880056
0,expgrad_dp_floor,0.3007339449541284,2337,0.8044501497646556,0.0031622123265174773,0.12647018126470178,0.989741302408564,720,0.00757326937618874,-0.11901159858799547,0.75,0.5,3.0,1.0,0.41841004184100417
1,baseline,0.3053211009174312,2337,0.7813436029097133,0.0720358078535911,0.12228448872284492,0.7792162187470737,754,,,,,,,
1,expgrad_dp,0.3053211009174312,2337,0.7830551989730423,0.03543358208385211,0.03646049536460494,0.8904914782116047,752,0.03660222576973898,0.0738731218697819,0.75,1.2,12.0,4.0,-0.26525198938992045
1,expgrad_dp_floor,0.3053211009174312,2337,0.7800599058622165,0.03678554242634868,0.03396983533969833,0.8867862432121113,755,0.03525026542724241,0.038353196099675156,0.6363636363636364,0.875,7.0,4.0,0.13262599469496023
2,baseline,0.30788990825688073,2337,0.7757809157038938,0.004426333437721974,0.033658502836585,0.9852963564396631,703,,,,,,,
2,expgrad_dp,0.30788990825688073,2337,0.7766367137355584,0.0017224127527287747,0.03614916286149161,0.99422653489682,697,0.0027039206849931996,1.0,1.0,1.8571428571428572,13.0,0.0,-0.8534850640113798
2,expgrad_dp_floor,0.30788990825688073,2337,0.7740693196405648,0.005400203175961071,0.06641760066417601,1.0180196253345228,701,0.009826536613683046,0.13758258841818422,0.8888888888888888,1.3333333333333333,8.0,1.0,-0.2844950213371266
3,baseline,0.3069724770642202,2337,0.7984595635430038,0.03615921051626553,0.13892348138923483,0.8823500173964909,714,,,,,,,
3,expgrad_dp,0.3069724770642202,2337,0.7988874625588361,0.015154176946402809,0.17168257921682584,0.9500339990429899,707,0.02100503356986272,0.19309090909090773,0.8947368421052632,1.7,17.0,2.0,-0.9803921568627451
3,expgrad_dp_floor,0.3069724770642202,2337,0.7988874625588361,0.020562018316389263,0.164210599142106,0.9333910676728937,719,0.015597192199876264,-0.0866797257590602,0.5,0.2857142857142857,2.0,2.0,0.7002801120448179
4,baseline,0.3036697247706422,2337,0.7860504920838682,0.07050816904851018,0.07975058564144964,0.7709258753753381,711,,,,,,,
4,expgrad_dp,0.3036697247706422,2337,0.7847667950363714,0.05130574926864295,0.07551542825515423,0.8320833958302084,708,0.019202419779867225,0.11734287987271264,0.7777777777777778,1.75,7.0,2.0,-0.4219409282700422
4,expgrad_dp_floor,0.3036697247706422,2337,0.7860504920838682,0.07050816904851018,0.07975058564144964,0.7709258753753381,711,0.0,,,,0.0,0.0,0.0
