seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.7011899778747832,14335,0.7408440878967562,0.06718952503707365,0.016105346049204883,0.908702157606501,10087,,,,,,,
0,expgrad_dp,0.7011899778747832,14335,0.7334495988838508,0.008862530674751512,0.09903289722549574,0.9875251339765261,10123,0.05832699436232214,0.4373065972684131,0.43313373253493015,0.8842443729903537,217.0,284.0,0.356895013383563
0,expgrad_dp_floor,0.7011899778747832,14335,0.7329612835716777,0.009588641624504679,0.09651318325986064,0.9865030628380697,10118,0.05760088341256897,0.44281924030205455,0.442,0.9,221.0,279.0,0.3073262615247348
1,baseline,0.703731387908868,14335,0.7404952912452041,0.06774085857604584,0.007978336461379576,0.9073275196450018,10012,,,,,,,
1,expgrad_dp,0.703731387908868,14335,0.732682246250436,0.014186778935955102,0.08340425996246342,0.9799473783123474,10044,0.053554079640090735,0.4386796762860331,0.4641350210970464,0.8929765886287625,220.0,254.0,0.31961646024770274
1,expgrad_dp_floor,0.703731387908868,14335,0.7314265783048483,0.015304652525936269,0.08231512701322513,0.9783837018077931,10044,0.05243620605010957,0.4377910459081519,0.46203904555314534,0.8896551724137931,213.0,248.0,0.31961646024770274
2,baseline,0.6997249297374873,14335,0.7370770840599931,0.07541484437090207,0.014750588674361742,0.8978608771420273,10065,,,,,,,
2,expgrad_dp,0.6997249297374873,14335,0.7322636902685734,0.022806395328684226,0.08458682510584431,0.9679764677090728,10052,0.05260844904221784,0.4976008787143017,0.4989247311827957,1.048148148148148,232.0,233.0,-0.12916045702930948
2,expgrad_dp_floor,0.6997249297374873,14335,0.7334495988838508,0.025916010067022932,0.08096001920474877,0.9637535938811014,10071,0.049498834303879136,0.4719068729854149,0.47415730337078654,0.977859778597786,211.0,234.0,0.05961251862891207
3,baseline,0.6996651318543323,14335,0.7379839553540286,0.07009143441741339,0.002324211077648297,0.9045326211418335,10042,,,,,,,
3,expgrad_dp,0.6996651318543323,14335,0.7311475409836066,0.023704749270545555,0.06994297680881095,0.9668649507757001,10092,0.046386685146867834,0.40516947905940653,0.4309133489461358,0.8257839721254355,184.0,243.0,0.49790878311093406
3,expgrad_dp_floor,0.6996651318543323,14335,0.7309382629926753,0.023356890559941612,0.06925644341146181,0.967302109043224,10079,0.04673454385747178,0.42513389618608116,0.45754716981132076,0.8659420289855072,194.0,230.0,0.3684524995020912
4,baseline,0.7042097709741075,14335,0.7392396232996163,0.07094588442965077,0.005529645828802443,0.9038610345431202,10090,,,,,,,
4,expgrad_dp,0.7042097709741075,14335,0.734147192186955,0.027767597862775384,0.07013347846012835,0.9614749792363916,10141,0.04317828656687539,0.39796656912495526,0.4430051813471503,0.8023255813953488,171.0,215.0,0.5054509415262636
4,expgrad_dp_floor,0.7042097709741075,14335,0.7320544122776421,0.021290851953414847,0.07805566467344649,0.970211202817245,10099,0.04965503247623593,0.4677188342659357,0.48226950354609927,0.964,204.0,219.0,0.08919722497522299
