seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.5970818633020392,14335,0.7829089640739448,0.10354707598856594,0.04134425283634291,0.8356681441856949,8635,,,,,,,
0,expgrad_dp,0.5970818633020392,14335,0.7734914544820369,0.00610422125615373,0.08978343536491085,0.9898809347522771,8624,0.09744285473241221,0.27575072733175854,0.5586107091172214,1.0268948655256724,386.0,305.0,-0.12738853503184713
0,expgrad_dp_floor,0.5970818633020392,14335,0.7709103592605511,0.002248838732729852,0.09334322308351267,0.9962755937352059,8647,0.10129823725583609,0.25961199294532655,0.5415472779369628,0.9715639810426541,378.0,320.0,0.13896931094383325
1,baseline,0.5965137834120672,14335,0.7833275200558074,0.11132198368270607,0.054057061072689705,0.8248389477136432,8683,,,,,,,
1,expgrad_dp,0.5965137834120672,14335,0.76909661667248,0.020198978680323942,0.07250562392483789,0.9668042152756029,8645,0.09112300500238213,0.2969667758616465,0.5761689291101055,1.1002638522427441,382.0,281.0,-0.437636761487965
1,expgrad_dp_floor,0.5965137834120672,14335,0.7689570980118591,0.021075512148642228,0.06868936433978956,0.9653691091279161,8643,0.09024647153406384,0.2987952999789655,0.5840840840840841,1.1044386422976502,389.0,277.0,-0.4606702752504895
2,baseline,0.5989056987382647,14335,0.7873735612138123,0.11296004049547403,0.05347926687822713,0.8202947362437472,8577,,,,,,,
2,expgrad_dp,0.5989056987382647,14335,0.7734216951517265,0.0058950442671112935,0.09783348307250855,0.9902997037341905,8689,0.10706499622836274,0.1949010441955086,0.4986072423398329,0.7755511022044088,358.0,360.0,1.3058178850413897
2,expgrad_dp_floor,0.5989056987382647,14335,0.774956400418556,0.008879972606002817,0.09475791005899026,0.9853027420753825,8627,0.10408006788947122,0.23436348941831117,0.5263157894736842,0.8881431767337807,370.0,333.0,0.5829544129649061
3,baseline,0.5971117622436166,14335,0.7868154865713289,0.1113979126965221,0.04764738090892495,0.8238744962714674,8639,,,,,,,
3,expgrad_dp,0.5971117622436166,14335,0.7770491803278688,0.01637473697792602,0.07876210972051012,0.9728252902303394,8575,0.09502317571859609,0.31486012570798866,0.5842857142857143,1.16580310880829,409.0,291.0,-0.7408264845468225
3,expgrad_dp_floor,0.5971117622436166,14335,0.7778165329612836,0.014551820311259345,0.08361313665266784,0.9758505132563778,8582,0.09684609238526276,0.3089335699050082,0.578125,1.146153846153846,407.0,297.0,-0.6597985877995138
4,baseline,0.598546911439335,14335,0.784722706662016,0.11341710338256317,0.05546561946199269,0.8187985233673314,8537,,,,,,,
4,expgrad_dp,0.598546911439335,14335,0.7742588071154517,0.009501796490392289,0.09398919092093078,0.9840980140062722,8529,0.10391530689217088,0.2732463042071503,0.546079779917469,1.0186480186480187,397.0,330.0,-0.0937097340986295
4,expgrad_dp_floor,0.598546911439335,14335,0.7740495291245204,0.013764118826425253,0.08833113948030058,0.9771179428032104,8570,0.09965298455613791,0.2447750862467148,0.5264663805436338,0.9255079006772009,368.0,331.0,0.38655265315684667
