seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.24339839265212398,2614,0.8102524866105585,0.14347025861058357,0.14467850385069225,0.5385778381027787,632,,,,,,,
0,expgrad_dp,0.24339839265212398,2614,0.7976281560826319,0.015944526505826367,0.0683908086104692,0.9345791245791245,617,0.1275257321047572,0.5270173374271477,0.5449101796407185,1.1973684210526316,91.0,76.0,-2.3734177215189876
0,expgrad_dp_floor,0.24339839265212398,2614,0.8029839326702372,0.023705188623947854,0.07554758031294295,0.911334736472858,669,0.11976506998663572,0.36383391084747746,0.38064516129032255,0.6145833333333334,59.0,96.0,5.8544303797468356
1,baseline,0.2474987698868296,2614,0.8175210405508799,0.172990082295843,0.1889457551616034,0.4759987216363055,645,,,,,,,
1,expgrad_dp,0.2474987698868296,2614,0.809487375669472,0.06789641508991581,0.014711529733767992,0.7587093280006666,650,0.1050936672059272,0.4638192019811038,0.48175182481751827,0.9295774647887324,66.0,71.0,0.7751937984496124
1,expgrad_dp_floor,0.2474987698868296,2614,0.8045141545524102,0.05669738106961153,0.022503683119095674,0.8066290832033904,695,0.11629270122623148,0.317540322580645,0.3548387096774194,0.5238095238095238,55.0,100.0,7.751937984496124
2,baseline,0.24585861899294736,2614,0.806044376434583,0.16691636772877544,0.19356798234895722,0.4886770092652445,643,,,,,,,
2,expgrad_dp,0.24585861899294736,2614,0.796097934200459,0.04018428641766897,0.02410261065067265,0.8449871116537784,627,0.12673208131110647,0.5303177466352158,0.5481927710843374,1.2133333333333334,91.0,75.0,-2.488335925349922
2,expgrad_dp_floor,0.24585861899294736,2614,0.7972456006120887,0.03406719654873275,0.05383986985148825,0.8817256817256817,710,0.1328491711800427,0.2890851812959418,0.3081395348837209,0.44166666666666665,53.0,119.0,10.419906687402799
3,baseline,0.24454649827784156,2614,0.8006885998469778,0.14677733230170453,0.1275511272788209,0.5410242310935152,651,,,,,,,
3,expgrad_dp,0.24454649827784156,2614,0.7999234889058914,0.004613021969004233,0.09891705825263053,0.9812993061496056,639,0.1421643103327003,0.5143111594884101,0.532258064516129,1.1379310344827587,99.0,87.0,-1.8433179723502304
3,expgrad_dp_floor,0.24454649827784156,2614,0.7983932670237185,0.018171906872054555,0.10147254941663586,0.9345618034447822,703,0.12860542542964998,0.32733835902390995,0.3433734939759036,0.5229357798165137,57.0,109.0,7.987711213517665
4,baseline,0.24503854354600624,2614,0.8129303749043612,0.1524208107664533,0.13215240781728932,0.5050892619237943,613,,,,,,,
4,expgrad_dp,0.24503854354600624,2614,0.8006885998469778,0.021852946003610707,0.0625536757877686,0.9124589086127547,625,0.1305678647628426,0.44686066243479355,0.4647058823529412,0.8681318681318682,79.0,91.0,1.9575856443719413
4,expgrad_dp_floor,0.24503854354600624,2614,0.8006885998469778,0.013530749572108508,0.07552663366405765,0.9468967103749713,649,0.1388900611943448,0.3828623518687329,0.41621621621621624,0.6814159292035398,77.0,108.0,5.872756933115824
