seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.2957352373600926,4443,0.7812288993923024,0.05277970855435643,0.004553980998334456,0.8337864823348694,1300,,,,,,,
0,expgrad_dp,0.2957352373600926,4443,0.7760522169705154,0.024557648923846154,0.03674516908212566,0.918730831315577,1291,0.028222059630510277,0.5444293214077381,0.5368421052631579,1.152542372881356,51.0,44.0,-0.6923076923076923
0,expgrad_dp_floor,0.2957352373600926,4443,0.7756020706729687,0.020698737881836515,0.04651268115942031,0.9315978238968364,1301,0.032080970672519915,0.4656378287973236,0.5,0.9841269841269841,49.0,49.0,0.07692307692307693
1,baseline,0.29583172520262446,4443,0.7859554355165429,0.07156270959087863,0.03407306763285034,0.7790890269151138,1289,,,,,,,
1,expgrad_dp,0.29583172520262446,4443,0.775151924375422,0.03303030303030302,0.02676630434782612,0.891,1277,0.038532406560575605,0.5427472823077042,0.5625,1.1904761904761905,63.0,49.0,-0.9309542280837859
1,expgrad_dp_floor,0.29583172520262446,4443,0.7760522169705154,0.035788671422474216,0.020033212560386482,0.8822291332263243,1275,0.03577403816840441,0.560734920661974,0.5545454545454546,1.2222222222222223,61.0,49.0,-1.0861132660977502
2,baseline,0.29862987263604784,4443,0.7767274364168355,0.05469849399426863,0.015398550724637694,0.8320333270923048,1332,,,,,,,
2,expgrad_dp,0.29862987263604784,4443,0.7704253882511817,0.016413023596122178,0.04000603864734298,0.945760628652025,1310,0.03828547039814645,0.6019875143330351,0.5666666666666667,1.3333333333333333,68.0,52.0,-1.6516516516516517
2,expgrad_dp_floor,0.29862987263604784,4443,0.7713256808462751,0.015608804341198712,0.04565217391304344,0.9481991096721974,1306,0.039089689653069914,0.622358097674346,0.5785123966942148,1.40625,70.0,51.0,-1.951951951951952
3,baseline,0.29525279814743344,4443,0.7724510465901417,0.05423632705322845,0.01716485507246379,0.8374990865911582,1369,,,,,,,
3,expgrad_dp,0.29525279814743344,4443,0.7735764123340085,0.016525821596244106,0.07711352657004833,0.9466666666666668,1342,0.037710505456984345,0.6338016782809743,0.5970149253731343,1.3461538461538463,80.0,54.0,-1.9722425127830534
3,expgrad_dp_floor,0.29525279814743344,4443,0.7697501688048616,0.014751539540271974,0.08275966183574879,0.9528473981679983,1359,0.039484787512956476,0.5296561095755024,0.556390977443609,1.119047619047619,74.0,59.0,-0.7304601899196493
4,baseline,0.2987263604785797,4443,0.7670492910195814,0.05130174989329922,0.0168780193236715,0.8386577181208053,1305,,,,,,,
4,expgrad_dp,0.2987263604785797,4443,0.7625478280441144,0.008797634290592049,0.05481582125603868,0.969686974789916,1271,0.04250411560270717,0.6526946966762781,0.5683453237410072,1.4594594594594594,79.0,60.0,-2.6053639846743293
4,expgrad_dp_floor,0.2987263604785797,4443,0.7573711456223272,0.01495945369184809,0.04786936769938194,0.9548906048906048,1442,0.03634229620145113,-0.3758073987081618,0.19548872180451127,0.1696969696969697,26.0,107.0,10.49808429118774
